1.7, -1.2, 1.6, -1.1, 0.4, 0.9, 1.5, 2.3, -1.8, -0.3, 2.1, -1.0, -0.3, 0.1, -0.2, -0.3, 0.0, -1.7, -0.1, 0.9, -0.5, 0.4
parameter ends

state | action | reward
[1.] | [ 2.45 -1.9 ] | -9.816390050063141
0.999297672437867 | [ 2.01 -0.36] | -4.39469607138496
0.9879415843297077 | [0.99 0.36] | -1.369535715374734
0.9393847353616447 | [-0.61  0.35] | -0.7724592047405235
0.849685067197571 | [-0.3  -0.15] | -0.39998989289357706
0.7515024161542968 | [0.   0.06] | -0.2992424749856081
0.6444957163047512 | [-0.26  0.13] | -0.39092634477966137
0.5342907472522922 | [-0.27  0.01] | -0.38239648458785597
0.435579194268799 | [-0.16  0.01] | -0.3409159229102694
0.34916281900625834 | [-0.17  0.02] | -0.34749486292947884
0.2737893272945704 | [-0.16 -0.01] | -0.34800914008857653
0.21095453299268938 | [-0.12 -0.02] | -0.33871096031517034
0.1597297457449151 | [-0.11 -0.02] | -0.335208344582548
0.11824642954191533 | [-0.1  -0.03] | -0.33365195327607794
0.08557835447885899 | [-0.09 -0.04] | -0.3307546657541392
0.06082361327071265 | [-0.08 -0.05] | -0.32791376270513245
0.042967607850725203 | [-0.07 -0.06] | -0.3253311992702406
0.03131763724990871 | [-0.07 -0.06] | -0.32223826868570576
0.025390945394662634 | [-0.06 -0.07] | -0.3184526812330923
0.024784454957750654 | [-0.06 -0.07] | -0.3139771580559422
0.02923066505117001 | [-0.06 -0.07] | -0.30857272698197097
0.03858349565822541 | [-0.06 -0.07] | -0.3020086309810335
0.052760706256205714 | [-0.06 -0.07] | -0.29416187298335694
0.07172329889385202 | [-0.07 -0.07] | -0.28491829673696406
0.09545177768968538 | [-0.07 -0.07] | -0.2742083323618918
0.12390555020269681 | [-0.07 -0.06] | -0.26207318602942364
0.1569862109629293 | [-0.07 -0.05] | -0.24865776610813953
0.19450535657270726 | [-0.07 -0.04] | -0.23420006783114733
0.2361548406230163 | [-0.06 -0.02] | -0.2190190902904021
0.281487266514374 | [-0.06 -0.01] | -0.20347617589872855
0.32991229835315783 | [-0.05  0.  ] | -0.18793406654091574
0.38071000990766385 | [-0.05  0.01] | -0.17273196281663994
0.4330611693093311 | [-0.04  0.02] | -0.15817624997897367
0.4860913390315701 | [-0.03  0.03] | -0.14454497073619255
0.538922115965332 | [-0.03  0.03] | -0.132097703952142
0.5907215956660122 | [-0.02  0.04] | -0.12107895489845781
0.6407469402230737 | [-0.02  0.04] | -0.11170850562397087
0.6883740328955136 | [-0.01  0.04] | -0.1041584568830746
0.7331121859860396 | [-0.01  0.04] | -0.09852249844040889
0.7746047930116363 | [-0.01  0.04] | -0.0947892728032556
0.8126188273876562 | [-0.    0.03] | -0.09283434921977592
0.8470269661795484 | [-0.    0.03] | -0.09243882709693044
0.8777860380517849 | [-0.    0.03] | -0.09332872261772858
0.9049147905623249 | [-0.    0.02] | -0.09521898388631785
0.928473016854732 | [-0.01  0.02] | -0.09784737406730441
0.9485431657891908 | [-0.01  0.02] | -0.10099260340097588
0.9652148305297318 | [-0.01  0.02] | -0.10447907941826579
0.9785720076553889 | [-0.01  0.01] | -0.10817358860871135
0.9886827196836623 | [-0.01  0.01] | -0.11197855622642029
0.9955904475855778 | [-0.02  0.01] | -0.11582476270790522
[1.] | [ 3.12 -2.74] | -17.576796666640263
0.9997611783515509 | [ 2.67 -1.2 ] | -8.946824781176446
0.9902246723253059 | [2.11 0.23] | -4.8534866838300035
0.9444718442679297 | [0.48 0.27] | -0.6280102217349182
0.8341419037325515 | [-0.61  0.26] | -0.7502216286504089
0.6798267457974073 | [-0.44 -0.08] | -0.4925797948408322
0.5266472754874434 | [-0.22  0.02] | -0.32961518929128997
0.3816416726402152 | [-0.36  0.05] | -0.40373119863382967
0.2521374655820699 | [-0.34 -0.04] | -0.37638362130695024
0.14832547093688692 | [-0.24 -0.05] | -0.3112094114307255
0.06799136731016693 | [-0.23 -0.03] | -0.2980043408038544
0.00734300141219338 | [-0.22 -0.05] | -0.29056061962401525
-0.03466761576662521 | [-0.18 -0.05] | -0.2752342892033987
-0.06019882040333175 | [-0.16 -0.04] | -0.26672174032809426
-0.07179337128852657 | [-0.15 -0.03] | -0.2626667282335947
-0.07102304773448521 | [-0.13 -0.02] | -0.25814082936259186
-0.059267080069238025 | [-0.11 -0.01] | -0.25452964270576717
-0.0380428428153895 | [-0.1  0. ] | -0.2521782671282232
-0.008731524836763108 | [-0.09  0.02] | -0.25005461757937364
0.02734730051381215 | [-0.07  0.03] | -0.2480491307461828
0.06880633587061623 | [-0.06  0.04] | -0.24615735100605826
0.1142604683664831 | [-0.04  0.04] | -0.24411566947442312
0.1623906390283561 | [-0.03  0.05] | -0.24180765522209108
0.2119609914675677 | [-0.02  0.05] | -0.23921195467137643
0.2618618803936925 | [-0.01  0.05] | -0.23631094521486176
0.3111533909597901 | [-0.    0.05] | -0.23313510161189338
0.3590789914686776 | [0.   0.04] | -0.2297485425108585
0.4050636646808416 | [0.01 0.04] | -0.2262191408439552
0.4487042102882875 | [0.01 0.04] | -0.2226157329805901
0.48974887169203285 | [0.01 0.03] | -0.21900271934498994
0.5280709453112594 | [0.02 0.03] | -0.21543323620905655
0.5636425143813845 | [0.02 0.03] | -0.21194887662414938
0.596510023382823 | [0.02 0.03] | -0.20858077304196673
0.6267725346667644 | [0.02 0.02] | -0.20535031115261437
0.654563789448045 | [0.02 0.02] | -0.20227075769266256
0.6800381789420894 | [0.02 0.02] | -0.1993491089096745
0.7033600761895229 | [0.01 0.02] | -0.19658753450066188
0.7246960420873669 | [0.01 0.01] | -0.1939846167789735
0.7442094173806646 | [0.01 0.01] | -0.1915364206263333
0.7620567516973126 | [0.01 0.01] | -0.1892373080248558
0.7783856018704327 | [0.01 0.01] | -0.1870805464900887
0.7933333417687248 | [0.01 0.01] | -0.1850587741758299
0.8070266912862609 | [0.01 0.01] | -0.18316434077421523
0.819581734036664 | [0.01 0.01] | -0.1813895480173139
0.8311042566716731 | [0.01 0.01] | -0.17972681856761424
0.8416902888468611 | [0.01 0.01] | -0.17816881139697305
0.851426755638704 | [0.01 0.01] | -0.17670849617413723
0.860392181196356 | [0.01 0.01] | -0.17533919804454798
0.8686574027435887 | [0.01 0.  ] | -0.17405462133527827
0.8762862679660637 | [0.01 0.  ] | -0.17284885802428626
[1.] | [ 3.05 -2.61] | -16.397801539384027
0.9930404967281377 | [ 2.6  -1.07] | -8.178481914735949
0.9722596733086963 | [2.01 0.38] | -4.483160091349892
0.9085792130976861 | [0.24 0.27] | -0.3949553946141626
0.7833905402019671 | [-0.58  0.19] | -0.6141533437066434
0.6277603244531775 | [-0.38 -0.06] | -0.38114506484415966
0.4790594171501866 | [-0.23  0.03] | -0.27221124099660154
0.34141368449461185 | [-0.34  0.03] | -0.3221310213261283
0.22111659239844758 | [-0.3  -0.04] | -0.2899986616168652
0.12509931750846978 | [-0.22 -0.05] | -0.2414791226358266
0.05058692901370092 | [-0.21 -0.04] | -0.23090325166969664
-0.005626574528719877 | [-0.2  -0.05] | -0.22335972498613732
-0.04468054974776842 | [-0.17 -0.06] | -0.21137775161543088
-0.06861930519442334 | [-0.15 -0.05] | -0.20502362700696478
-0.07958089122813827 | [-0.14 -0.04] | -0.20193766617661382
-0.07889266438128176 | [-0.13 -0.03] | -0.19872678992765366
-0.06774828870110637 | [-0.11 -0.02] | -0.19646833913292946
-0.047415265029967124 | [-0.1  -0.01] | -0.1953267793423716
-0.01904652382851242 | [-0.09  0.  ] | -0.19454081345846655
0.016219251312003885 | [-0.07  0.02] | -0.1940347247940472
0.05715487251663431 | [-0.06  0.03] | -0.19375787190642768
0.10249780573992479 | [-0.05  0.03] | -0.19344537773973125
0.1509947622960776 | [-0.04  0.04] | -0.1929368739365482
