1.4, -1.2, 1.2, -1.5, 0.7, 0.8, 1.7, 2.4, -2.4, -0.6, 2.4, -1.0, -0.1, -0.2, -0.4, -0.3, 0.3, -1.7, 0.1, 0.7, -0.1, 0.2
parameter ends

state | action | reward
[1.] | [ 2.64 -3.06] | -16.566712341370465
0.9999454796612948 | [ 3.79 -2.72] | -21.998107780506913
0.9917426933510558 | [ 4.81 -2.48] | -29.518638381980047
0.9481084709318074 | [ 5.65 -2.25] | -37.09957302754615
0.828807197910085 | [ 6.21 -1.87] | -42.1872236944481
0.591482893428485 | [ 6.44 -1.16] | -42.937308090746264
0.21476187911331618 | [6.38 0.07] | -40.721225886142115
-0.26765328660973003 | [4.54 0.52] | -20.95717924170543
-0.7365306895015382 | [2.22 0.49] | -5.236240459377354
-0.9930811752082478 | [0.38 0.03] | -0.24980990940432246
-0.8526975834079955 | [ 0.25 -0.04] | -0.17772079777033195
-0.33534357941387133 | [-5.48 -5.47] | -60.13546653196459
0.2897382055249438 | [-5.27 -6.16] | -65.76935505743864
0.7433753070525833 | [-3.87 -5.52] | -45.56529352589801
0.9614681119577472 | [-2.61 -4.44] | -26.664525148107497
0.9961733526761569 | [-1.71 -3.23] | -13.507965216923353
0.9333743086699283 | [-1.09 -2.04] | -5.492920374422661
0.8462139749039895 | [-0.63 -0.94] | -1.4155733713679453
0.7723178618076825 | [-0.38 -0.23] | -0.33422107040797633
0.7165454142359564 | [-0.27  0.2 ] | -0.24803572568973442
0.6762100237482092 | [-0.51  0.24] | -0.45743182901198753
0.6581974391994423 | [-0.73  0.33] | -0.7874818456394634
0.6772681256355836 | [-1.01  0.35] | -1.2897513482455554
0.7431805211504955 | [-1.21  0.39] | -1.765333508382647
0.8462488982303324 | [-1.48  0.19] | -2.3785282624774537
0.9507944575442099 | [-1.49  0.09] | -2.3981733379499697
0.999980991733479 | [-1.46  0.08] | -2.3454291956897277
0.9210035490272614 | [-1.62  0.18] | -2.880050799060227
0.6482672609116858 | [-2.18  0.41] | -5.165611579365901
0.16920804259587185 | [-3.25  0.72] | -11.31704745792121
-0.42031704869332054 | [-4.66  1.  ] | -22.91753098277844
-0.8933654279396541 | [-5.89  1.07] | -36.021396625959646
-0.9635624085922699 | [-6.1   0.92] | -38.18148566620613
-0.47831123257650293 | [-5.16  0.37] | -26.889748494114517
0.357658916404753 | [-3.07  0.05] | -9.595508137590203
0.9614497371881711 | [-1.41  0.28] | -2.3126967207851865
0.7592036912246002 | [-1.77  1.39] | -5.328445275648328
-0.18383530149867627 | [-4.33  3.31] | -29.992102686211382
-0.9609658528158123 | [-6.52  5.7 ] | -75.18965800719471
-0.6350182320263724 | [-7.51  6.08] | -93.44620040892488
0.5067309794925028 | [-5.67  5.22] | -59.59973913279625
0.9724842748879389 | [ 6.48 13.08] | -213.16150233270707
0.0865045490997538 | [ 5.92 13.87] | -227.49156496022582
-0.8716368574011368 | [ 4.08 14.19] | -218.12253424868678
-0.8622893201622719 | [ 3.8  13.65] | -200.96713213872343
-0.09617711710633596 | [ 4.41 11.95] | -162.40120299994828
0.6810956762628678 | [4.66 9.75] | -116.82294774759545
0.9974178045992846 | [4.09 7.83] | -78.17474912966095
0.8343992476290788 | [2.93 6.56] | -51.68320463790646
0.41101970290078027 | [1.62 5.83] | -36.76894691226419
[1.] | [ 2.67 -3.02] | -16.55398905166765
0.9950546175517742 | [ 3.81 -2.68] | -21.973266564815905
0.9764393431280307 | [ 4.81 -2.41] | -29.23399728638368
0.9161911953125972 | [ 5.61 -2.14] | -36.300475136244124
0.7760313962310681 | [ 6.13 -1.71] | -40.76008646083608
0.5179114814396308 | [ 6.33 -0.93] | -41.14118225809124
0.12774022932612664 | [6.14 0.27] | -38.006894691842234
-0.3515115803820646 | [4.03 0.47] | -16.5896698112576
-0.7931890071541718 | [1.83 0.41] | -3.6326641855597326
-0.9995582021930071 | [ 0.18 -0.06] | -0.13387622957039064
-0.8081567179616366 | [0.37 0.07] | -0.23748352184556265
-0.26917823666987417 | [-5.33 -5.43] | -57.99394227492719
0.3500231060597109 | [-5.08 -6.07] | -62.732805419802794
0.7808790882831377 | [-3.7  -5.39] | -42.792943775031134
0.9745493522586371 | [-2.47 -4.28] | -24.488530346531853
0.9909727022052424 | [-1.6  -3.05] | -11.97164529435847
0.9176347998523061 | [-1.01 -1.86] | -4.546724183945344
0.826274788212216 | [-0.56 -0.76] | -0.9749859153588738
0.7501053736716198 | [-0.35 -0.11] | -0.22880337938205686
0.6906077562638451 | [-0.25  0.29] | -0.24511489249719712
0.6456461526327878 | [-0.66  0.21] | -0.5796133129840008
0.6278286579512469 | [-0.77  0.44] | -0.8984335915145014
0.6540334142991737 | [-1.21  0.33] | -1.684371309447643
0.7288220270147133 | [-1.37  0.34] | -2.10078173291024
0.8400763895013879 | [-1.56  0.16] | -2.561989867014294
0.9501903734807601 | [-1.5   0.06] | -2.381121502155084
0.9999079527243309 | [-1.44  0.06] | -2.1732166341676566
0.9144258154635989 | [-1.58  0.19] | -2.6134138503774156
0.62861351013693 | [-2.16  0.43] | -4.87894409493629
0.13527739683094636 | [-3.25  0.76] | -11.171281920777716
-0.458890107989587 | [-4.67  1.03] | -22.987319529669744
-0.9152691566817686 | [-5.83  1.13] | -35.41364062531966
-0.9458962005692673 | [-5.93  0.99] | -36.38965413237598
-0.4177332811088984 | [-5.02  0.36] | -25.621388505653545
0.4272933426361301 | [-2.93  0.1 ] | -8.891997052161122
0.9810430787923279 | [-1.48  0.4 ] | -2.6251727563864877
0.6967592241796534 | [-2.19  1.57] | -7.479400948527763
-0.27986176294879694 | [-4.88  3.61] | -36.89250726044851
-0.9848745084766112 | [-7.08  5.81] | -83.87119285631859
-0.5434904384508198 | [-8.06  5.68] | -97.28911147746197
0.6067196001963383 | [0.65 9.7 ] | -94.56436672687035
0.9562201164376994 | [ 6.73 12.59] | -203.99407818414426
0.14689842216403493 | [ 5.27 12.57] | -185.83577552131126
-0.7691139413413717 | [ 3.33 12.67] | -171.66129525632408
-0.9731932328311862 | [ 2.76 12.36] | -160.56016111673011
-0.4888991074840809 | [ 3.17 11.19] | -135.4216993467444
0.2196933605624269 | [3.64 9.42] | -102.04819243623021
0.7579371425848722 | [3.65 7.56] | -70.50707806042583
0.9866091551153339 | [3.15 5.96] | -45.55023921082359
0.9573895208866975 | [2.34 4.73] | -27.90928511541418
[1.] | [ 3.04 -2.94] | -18.261656117705165
0.9996751791486469 | [ 4.2  -2.61] | -24.779682942621026
0.9957235431096354 | [ 5.23 -2.39] | -33.461035023025104
0.9590036235995105 | [ 6.09 -2.19] | -42.245088310388724
0.8486101644845431 | [ 6.67 -1.88] | -48.40266748698269
0.6205341095743456 | [ 6.92 -1.25] | -49.70690421913771
0.2504271171518326 | [ 6.84 -0.1 ] | -47.01765557384744
-0.2320050848602385 | [5.23 0.5 ] | -27.77654391282285
-0.7110335086478798 | [2.87 0.51] | -8.639237136088303
-0.9880425398932763 | [0.94 0.09] | -1.0210977591250152
-0.8605170231256424 | [ 0.45 -0.46] | -0.5561077519207065
-0.3012121367920403 | [-5.23 -6.01] | -63.550294924768934
0.378138387048497 | [-4.99 -6.77] | -70.80053871378769
0.83526480040263 | [-3.58 -6.1 ] | -50.14721991265628
0.9973778963616747 | [-2.36 -4.9 ] | -29.78230593884197
0.9400430566291235 | [-1.57 -3.55] | -15.189724707514713
0.7769414916433591 | [-1.09 -2.21] | -6.236733290319187
0.5992837470651752 | [-0.75 -1.  ] | -1.7173992049276943
0.45259431636491954 | [-0.56 -0.1 ] | -0.47987640678415755
0.34480424700865436 | [-0.46  0.51] | -0.6357414905539975
0.2735014657554016 | [-1.2   0.33] | -1.7051636043166238
0.2584473513851761 | [-1.39  0.62] | -2.505273430441321
0.319583448729352 | [-2.    0.34] | -4.312715406329603
0.4502827801790109 | [-2.11  0.16] | -4.663913288152144
0.6328633001765674 | [-1.89  0.02] | -3.7791099563388655
0.829528921266989 | [-1.46 -0.07] | -2.340887128932261
0.9745369229745466 | [-1.01 -0.06] | -1.2307485536983036
0.9775830687791468 | [-0.83  0.08] | -0.8616187543952016
0.755780866198355 | [-1.23  0.23] | -1.6873348256025298
0.28856405845151895 | [-2.    0.78] | -4.680658544583875
-0.33288108000482136 | [-3.56  1.1 ] | -13.919544536970403
-0.8614126692723756 | [-4.86  1.35] | -25.566950944390687
-0.9733925510847053 | [-5.1  1.4] | -28.16535393870754
-0.4896544271335393 | [-4.28  0.9 ] | -19.378502903329114
0.3699033965893884 | [-2.99  0.04] | -9.27131680436192
0.9713824155632766 | [-1.35  0.41] | -2.327510667615945
0.7161019285920468 | [-2.09  1.54] | -7.013362799198058
-0.27004720682083433 | [-4.86  3.56] | -36.51000989358581
-0.9859946579626853 | [-7.16  5.7 ] | -83.82058381403544
-0.5239959905414706 | [-8.17  5.37] | -95.73998041553179
0.6373898569815291 | [1.31 9.77] | -97.2858217232743
0.9433784816375186 | [ 7.49 12.71] | -217.89031848524135
0.11786628828837865 | [ 5.83 12.63] | -193.65546591863009
-0.7802979603700122 | [ 3.72 12.6 ] | -172.84837915124174
-0.9717213615020689 | [ 3.06 12.2 ] | -158.32082334085868
