1.5, -1.5, 1.6, -1.0, 0.1, 0.7, 1.2, 1.9, -1.4, -0.4, 1.9, -0.9, -0.2, 0.3, -0.1, -0.4, -0.2, -1.6, -0.2, 1.0, -0.7, 0.5
parameter ends

state | action | reward
[1.] | [ 2.32 -2.2 ] | -10.33268353381896
0.9999977792605086 | [1.88 0.53] | -3.9381768362780827
0.9932786589213016 | [0.82 0.83] | -1.4674354005983061
0.9542312730218955 | [-0.18  0.66] | -0.5853152239562459
0.8713295761160794 | [-0.29 -0.21] | -0.26424167419543176
0.7653328984632086 | [0.01 0.24] | -0.20956390582877263
0.6443368131698558 | [-0.15  0.34] | -0.3078530682896692
0.512156833232727 | [-0.23  0.15] | -0.2661812869377683
0.3831314416638398 | [-0.17  0.19] | -0.2743229663420935
0.26404033290307005 | [-0.18  0.23] | -0.3079489109754862
0.15709858828409634 | [-0.21  0.19] | -0.3138106317119571
0.06612676277157904 | [-0.22  0.16] | -0.3154705042510191
-0.0063117597633177746 | [-0.24  0.13] | -0.3184853119792733
-0.05894942107162132 | [-0.27  0.08] | -0.3184008088613589
-0.09040599594406519 | [-0.28  0.02] | -0.3155995536118545
-0.09961349119922193 | [-0.28 -0.04] | -0.3099415783958547
-0.08640333207820004 | [-0.27 -0.1 ] | -0.2993574566659216
-0.05172099001641339 | [-0.23 -0.14] | -0.2813711877474169
0.002130903364336472 | [-0.19 -0.16] | -0.25711156415132624
0.0714661742986772 | [-0.13 -0.16] | -0.23126750152867015
0.1516367047468105 | [-0.09 -0.15] | -0.20819588347628315
0.23773286310115033 | [-0.05 -0.14] | -0.18972301923488943
0.32526747152684216 | [-0.02 -0.13] | -0.17557047449611066
0.41063387457308753 | [ 0.01 -0.11] | -0.16463490125562755
0.4912731291887526 | [ 0.02 -0.1 ] | -0.15588290575375757
0.5656096710246797 | [ 0.03 -0.08] | -0.1486322622886064
0.6328644896641188 | [ 0.03 -0.07] | -0.14249501266989179
0.6928369946605664 | [ 0.03 -0.07] | -0.13725101942830553
0.7457076737504599 | [ 0.03 -0.06] | -0.13275813532824007
0.7918824388195568 | [ 0.03 -0.05] | -0.12890630108897475
0.8318808635585031 | [ 0.02 -0.05] | -0.12559855008825255
0.8662616035559181 | [ 0.02 -0.04] | -0.12274536976187433
0.8955758718717594 | [ 0.02 -0.04] | -0.12026445753106543
0.9203406196427711 | [ 0.02 -0.03] | -0.11808168433273658
0.9410248046868934 | [ 0.01 -0.03] | -0.11613171658464773
0.9580439051608529 | [ 0.01 -0.03] | -0.11435804749593835
0.9717593411653584 | [ 0.01 -0.02] | -0.1127125289488992
0.9824806007095912 | [ 0.   -0.02] | -0.11115456735310837
0.9904686599255718 | [ 0.   -0.02] | -0.1096501609623017
0.9959398249518159 | [-0.   -0.02] | -0.10817090937929809
0.9990694755064967 | [-0.   -0.02] | -0.10669307049939765
0.9999954126653645 | [-0.   -0.01] | -0.10519670730151033
0.9988206489607568 | [-0.01 -0.01] | -0.1036649458793519
0.9956155576538754 | [-0.01 -0.01] | -0.1020833514547047
0.9904193395895061 | [-0.01 -0.01] | -0.10043942271963739
0.9832407836655995 | [-0.01 -0.01] | -0.09872220443185277
0.9740582992480877 | [-0.02 -0.01] | -0.09692202129557867
0.9628191912300775 | [-0.02 -0.01] | -0.09503034294156158
0.9494381343640855 | [-0.02 -0.01] | -0.09303980092118305
0.9337947853832588 | [-0.03 -0.01] | -0.09094439506374667
[1.] | [ 2.8  -2.49] | -14.328839601575861
0.9964748170330092 | [2.36 0.24] | -5.883902676524776
0.9796465709290048 | [1.38 0.99] | -3.1250819284634
0.9222350630483686 | [0.13 0.77] | -0.8047814298077036
0.806578620411024 | [-0.32  0.14] | -0.2711326440202697
0.6558997754862471 | [-0.18  0.1 ] | -0.14718846326885213
0.4940303891363454 | [-0.16  0.31] | -0.18855503452200678
0.32924808746245365 | [-0.25  0.22] | -0.15338079488997347
0.1734877956147049 | [-0.24  0.17] | -0.133641296451829
0.03594991559553591 | [-0.22  0.2 ] | -0.1616499617712603
-0.08128505717387345 | [-0.25  0.18] | -0.18995309283722583
-0.17688404928897514 | [-0.26  0.13] | -0.20913461681650847
-0.24954004712254094 | [-0.28  0.09] | -0.22711668650098976
-0.29896673242603256 | [-0.3   0.03] | -0.2443203831740096
-0.3251467790151306 | [-0.3  -0.04] | -0.257441333808383
-0.3281830200814398 | [-0.29 -0.09] | -0.2617645180215128
-0.3087864261539007 | [-0.26 -0.13] | -0.25483176883472564
-0.2685843979557795 | [-0.22 -0.16] | -0.23793622308137044
-0.21026972902115273 | [-0.16 -0.16] | -0.21609062460218
-0.1375717095549114 | [-0.11 -0.16] | -0.19542612846768248
-0.05490745740498838 | [-0.06 -0.14] | -0.17956200748548246
0.03319088022406521 | [-0.02 -0.12] | -0.16892716043862616
0.12262857378231794 | [ 0.   -0.11] | -0.1623160238859491
0.2101110612981531 | [ 0.02 -0.09] | -0.15830331973807413
0.2932772276170592 | [ 0.03 -0.08] | -0.1558271603081353
0.37064834970795696 | [ 0.04 -0.07] | -0.15424545864586675
0.44147189002527537 | [ 0.04 -0.06] | -0.15321006244170893
0.5055331802167534 | [ 0.04 -0.06] | -0.15253497547124015
0.562981000749685 | [ 0.04 -0.05] | -0.15211149562916054
0.6141868420363943 | [ 0.04 -0.04] | -0.15186606224417407
0.6596413324677223 | [ 0.04 -0.04] | -0.15174279054741271
0.6998833920208957 | [ 0.03 -0.03] | -0.15169699679765736
0.7354548751178522 | [ 0.03 -0.03] | -0.15169289185256246
0.7668735658672079 | [ 0.03 -0.03] | -0.15170257861364841
0.7946186871896834 | [ 0.02 -0.02] | -0.15170521329809192
0.8191245498494123 | [ 0.02 -0.02] | -0.15168604311095385
0.8407792386962673 | [ 0.02 -0.02] | -0.15163537621057183
0.8599262371927381 | [ 0.02 -0.02] | -0.15154757527396165
0.8768676229506968 | [ 0.02 -0.01] | -0.15142013482049693
0.8918679707278082 | [ 0.01 -0.01] | -0.15125288006340834
