1.4, -1.6, 1.6, -1.3, 0.3, 0.8, 1.1, 1.7, -1.8, -0.3, 1.8, -0.8, 0.2, 0.3, -0.2, -0.5, 0.1, -1.6, -0.1, 1.1, -0.4, 0.3
parameter ends

state | action | reward
[1.] | [ 2.6  -3.25] | -17.55082300894742
0.9991223139987148 | [ 4.15 -0.11] | -17.470545956336714
0.9971007732672009 | [4.92 1.23] | -25.901278334707058
0.9635040031902696 | [4.81 0.53] | -23.627387422615662
0.8571579862453962 | [5.07 1.07] | -27.09471060644985
0.6333742598371055 | [4.88 1.02] | -25.03236300826974
0.26654284806102285 | [4.54 1.35] | -22.646060657067466
-0.21545027449704993 | [4.02 1.92] | -19.994234403140887
-0.6987042781661781 | [3.34 2.36] | -16.919769579654805
-0.9851360192718566 | [2.66 2.22] | -12.212349523959139
-0.8684028809746557 | [2.17 1.26] | -6.446729957027281
-0.29061465203455106 | [ 1.96 -0.32] | -4.027588252681635
0.5026325073620231 | [3.05 0.58] | -9.680276751796775
0.9872974644577722 | [3.3  0.04] | -10.953385695415415
0.7061466346770656 | [ 8.83 15.04] | -304.1851134259483
-0.2208759649132403 | [ 9.15 19.93] | -480.9363637481194
-0.9604797667075442 | [ 8.4  21.13] | -517.3601195114628
-0.6659613861406286 | [ 8.9  20.17] | -486.17249364721994
0.4369813852188004 | [10.83 18.81] | -470.9653931348706
0.9930142471250999 | [12.4 19.4] | -530.0710966684347
0.16030509443520116 | [12.   22.14] | -634.1338969027978
-0.926176691946367 | [10.82 24.1 ] | -697.9048550049987
-0.53097311349979 | [11.52 23.25] | -673.0450162997957
0.7767362052241575 | [13.92 22.13] | -683.3641570536455
0.6834031758904431 | [14.69 24.13] | -798.1059779812108
-0.7151184282033171 | [13.22 27.03] | -905.47941593748
-0.6794957185049219 | [13.32 26.53] | -881.2206530667899
0.7822098100601719 | [15.86 25.03] | -878.3261816249588
0.5239596353563108 | [16.41 27.33] | -1016.1875302928692
-0.9269098349127904 | [14.69 29.9 ] | -1109.668825184413
-0.17226256411814417 | [15.78 28.27] | -1048.2555510381844
0.9966110200320197 | [18.17 27.96] | -1111.7334190502745
-0.37171982846204193 | [16.93 31.43] | -1274.8466092170734
-0.7507828771602832 | [16.35 31.36] | -1250.6946530537077
0.8928270814183296 | [19.12 29.57] | -1239.615746121257
0.04463820444684014 | [18.77 32.68] | -1420.1340552758963
-0.9140524778328819 | [17.4  33.63] | -1433.6932020710808
0.7949056290270857 | [20.11 31.36] | -1388.1486079627994
0.11231874303252264 | [20.02 34.3 ] | -1577.4046977311696
-0.8941607753336318 | [18.55 35.26] | -1587.6376822395357
0.8808774750485605 | [21.38 33.  ] | -1546.5140620848283
-0.15569493028328374 | [20.73 36.35] | -1751.2784197792193
-0.666733903838601 | [19.84 36.27] | -1709.1135581093447
0.9999434517091708 | [22.74 34.76] | -1725.4104985350311
-0.6760585238246639 | [20.95 38.5 ] | -1921.6027036049895
-0.042166673792201556 | [21.65 36.59] | -1807.3358632099864
0.7133268122591296 | [23.53 37.27] | -1942.9741446392902
-0.9984105606654842 | [21.23 39.81] | -2035.8481023761992
0.8065316589954619 | [23.9  37.01] | -1941.0655395947551
-0.2763262063661884 | [23.16 40.43] | -2170.677847277207
[1.] | [ 2.31 -2.86] | -13.667016236846095
