1.4, -1.6, 1.6, -1.0, 0.1, 0.7, 1.2, 1.9, -1.4, -0.4, 1.9, -0.9, -0.2, 0.3, -0.1, -0.4, -0.2, -1.6, -0.2, 1.0, -0.7, 0.5
parameter ends

state | action | reward
[1.] | [ 1.96 -2.15] | -8.513270159258699
0.9938175740862916 | [1.51 0.59] | -2.696456804211798
0.9738382763047371 | [0.4  0.83] | -0.9449779833128015
0.9209558584478518 | [-0.28  0.19] | -0.24558142885169307
0.840375998032874 | [-0.14 -0.1 ] | -0.19495544676436707
0.748051347384979 | [-0.01  0.25] | -0.2565021254081829
0.6451389319436387 | [-0.14  0.2 ] | -0.2842636989379942
0.5365434783172967 | [-0.15  0.12] | -0.28126846680635526
0.430935263345193 | [-0.11  0.18] | -0.3111652652643759
0.3306892188969017 | [-0.12  0.2 ] | -0.3399175866749
0.23730546733935245 | [-0.13  0.18] | -0.3527981157023873
0.1532344452463185 | [-0.13  0.19] | -0.36841688165766595
0.0797501231908675 | [-0.14  0.19] | -0.38175976144701984
0.017856897117422 | [-0.16  0.18] | -0.3878441096284803
-0.030894301444655953 | [-0.19  0.15] | -0.38952120385078065
-0.06477017466968579 | [-0.22  0.11] | -0.38837111470086366
-0.08200409908313931 | [-0.24  0.05] | -0.3855824472792819
-0.08092988439097924 | [-0.25 -0.01] | -0.38157298177124027
-0.06043438400291827 | [-0.25 -0.07] | -0.3746525914702113
-0.020480340599747574 | [-0.23 -0.12] | -0.3622594377980374
0.03750415771660908 | [-0.19 -0.15] | -0.3436692247413272
0.1105174000090666 | [-0.14 -0.16] | -0.32141861765012597
0.19429891437310834 | [-0.09 -0.16] | -0.2995096380143464
0.284013787011394 | [-0.05 -0.15] | -0.28067827592536904
0.37503381621331905 | [-0.02 -0.14] | -0.26556769420985976
0.46352550611010523 | [ 0.   -0.12] | -0.25357805855914944
0.5467152622144109 | [ 0.01 -0.11] | -0.24385943233745455
0.6228736070154114 | [ 0.02 -0.09] | -0.23576197618182737
0.6911368468760658 | [ 0.03 -0.08] | -0.2288808763908532
0.7512754959679468 | [ 0.03 -0.07] | -0.22297078645085314
0.8034771352618156 | [ 0.03 -0.06] | -0.21786629935627283
0.8481729605493422 | [ 0.02 -0.06] | -0.21343682957736343
0.8859128559050037 | [ 0.02 -0.05] | -0.2095673287542511
0.9172822146401535 | [ 0.02 -0.04] | -0.20615253390552088
0.9428503461299189 | [ 0.01 -0.04] | -0.20309649823178316
0.9631408994830023 | [ 0.01 -0.03] | -0.20031327169001187
0.9786166809251238 | [ 0.01 -0.03] | -0.19772725854579645
0.9896733223476859 | [ 0.   -0.03] | -0.19527298185376843
0.9966380047761138 | [-0.   -0.02] | -0.1928943687007436
0.9997707400874982 | [-0.01 -0.02] | -0.19054376462557773
0.9992666167021917 | [-0.01 -0.02] | -0.18818087432471126
0.9952580129744021 | [-0.01 -0.02] | -0.18577177414129564
0.9878161613694211 | [-0.02 -0.02] | -0.18328809931139517
0.9769516763122098 | [-0.02 -0.01] | -0.18070648916732182
0.962613790346302 | [-0.03 -0.01] | -0.1780083722726568
0.9446881135754408 | [-0.03 -0.01] | -0.17518019141597801
0.9229927672561075 | [-0.04 -0.01] | -0.17221420878189067
0.8972727661463522 | [-0.04 -0.01] | -0.16911009807776373
0.8671925581853986 | [-0.05 -0.01] | -0.16587763019760068
0.8323267026771702 | [-0.05 -0.01] | -0.16254090333869944
[1.] | [ 1.8  -2.32] | -8.75913747714131
0.9999790975779752 | [1.36 0.41] | -2.1361966988151755
0.9937782193356667 | [0.32 0.9 ] | -1.0623882672130665
0.9611792557049783 | [-0.31 -0.02] | -0.27695283058787157
0.9028031484507404 | [-0.05 -0.11] | -0.21816770424681495
0.8298895279934131 | [-9.31e-05  2.55e-01] | -0.29116584003181695
0.7424019760662216 | [-0.15  0.13] | -0.28654820263357317
0.6465657951076774 | [-0.12  0.07] | -0.28494158069901404
0.5503758574929132 | [-0.09  0.14] | -0.3101913230491103
0.4557586956568502 | [-0.11  0.15] | -0.32871691945083326
0.3648197237200599 | [-0.1   0.14] | -0.3370395719342784
0.2799533160059908 | [-0.09  0.16] | -0.3512607563341862
0.20175709457646943 | [-0.08  0.17] | -0.36452074755260067
0.13052062486485758 | [-0.09  0.18] | -0.3735202573445584
0.0668735094089493 | [-0.09  0.19] | -0.38123630137150505
0.011451186603209694 | [-0.11  0.19] | -0.3859330036533342
-0.0348604896209987 | [-0.13  0.18] | -0.38605109586386516
-0.07070850867422424 | [-0.16  0.15] | -0.38228766272454895
-0.09437212804741342 | [-0.19  0.12] | -0.37590601026627085
-0.10391076854232217 | [-0.21  0.07] | -0.36858101797636683
-0.09740513558762115 | [-0.23  0.01] | -0.36134627436571387
-0.07337283370572566 | [-0.24 -0.05] | -0.35324971461365745
-0.03127511089212861 | [-0.22 -0.1 ] | -0.3418539399167452
0.028031947568359198 | [-0.19 -0.14] | -0.32561245683432094
0.10209219221417326 | [-0.14 -0.16] | -0.30575970700399757
0.18705801634048827 | [-0.1  -0.16] | -0.2854798559822345
0.27830309602670383 | [-0.06 -0.15] | -0.267506128233918
0.37120785569163267 | [-0.03 -0.14] | -0.2528300048219497
0.4618152735838605 | [-0.   -0.12] | -0.24111462565699698
0.5471783071058367 | [ 0.01 -0.11] | -0.23161337297393436
0.6254034741892656 | [ 0.02 -0.1 ] | -0.22370191438675374
0.6955007114616143 | [ 0.02 -0.08] | -0.2169850594361586
0.7571571225981367 | [ 0.03 -0.07] | -0.21123003149737496
0.8105132488978442 | [ 0.02 -0.07] | -0.20628691937600308
0.8559791168320233 | [ 0.02 -0.06] | -0.20204004802712042
0.8940992602549052 | [ 0.02 -0.05] | -0.19838614238694174
0.925461579193451 | [ 0.01 -0.05] | -0.19522758527191106
0.9506400363282294 | [ 0.01 -0.04] | -0.19247209212206226
0.9701612171872237 | [ 0.01 -0.04] | -0.1900340248306183
0.9844866007665045 | [ 0.   -0.03] | -0.18783546517139155
0.9940045173477526 | [-0.   -0.03] | -0.18580663174284412
0.9990276226757421 | [-0.01 -0.03] | -0.18388570437767243
0.9997931200203584 | [-0.01 -0.02] | -0.1820182502752175
0.9964639422979514 | [-0.01 -0.02] | -0.18015646544248787
0.9891297588231939 | [-0.02 -0.02] | -0.17825840553233446
0.9778070864968968 | [-0.02 -0.02] | -0.17628733917284378
0.9624380387287951 | [-0.03 -0.02] | -0.17421134184364379
0.942887396211086 | [-0.03 -0.02] | -0.172003255330194
0.9189377770500881 | [-0.04 -0.01] | -0.16964116731368062
0.8902827582063648 | [-0.05 -0.01] | -0.1671096241710405
[1.] | [ 2.16 -2.03] | -8.919456232424075
0.9976313299269722 | [1.72 0.7 ] | -3.58054568037116
0.9825853597704404 | [0.59 0.76] | -1.06636767437749
0.9339163850683557 | [-0.19  0.47] | -0.42628539255783027
0.8491483836500142 | [-0.23 -0.11] | -0.2507366060569542
0.7472383692242561 | [-0.02  0.25] | -0.2696725218681123
0.6337500142763728 | [-0.14  0.3 ] | -0.3361956385297623
0.5127522973514693 | [-0.19  0.17] | -0.31030490746750616
0.3955591731690073 | [-0.16  0.2 ] | -0.32414460231015596
0.287421429576171 | [-0.18  0.23] | -0.34874596669808644
0.19074723209263553 | [-0.2   0.19] | -0.35082798035567053
0.10914980920766681 | [-0.22  0.16] | -0.3494186981418367
0.04525966202928145 | [-0.24  0.13] | -0.3476384129160356
0.0008001541729387202 | [-0.27  0.07] | -0.3434865517449869
-0.022558935320874197 | [-0.28  0.  ] | -0.3377463628238464
-0.02369648024968208 | [-0.28 -0.06] | -0.3295935276889359
-0.002603548572135871 | [-0.26 -0.12] | -0.3164861680131732
0.03935327274615773 | [-0.22 -0.15] | -0.2964379440122582
0.09927665427529103 | [-0.17 -0.17] | -0.2713769290307721
0.17291977973530528 | [-0.12 -0.17] | -0.24603753112405136
0.2552969510037812 | [-0.07 -0.16] | -0.2241408467727341
0.3414669378570648 | [-0.04 -0.14] | -0.20683826680927822
0.427177290831537 | [-0.01 -0.13] | -0.1935368375519243
0.5092079487864143 | [ 0.01 -0.11] | -0.18314418524309448
0.5854201482971896 | [ 0.02 -0.1 ] | -0.1747507042485173
0.6546126383997787 | [ 0.02 -0.08] | -0.1677737349178206
0.7162988919488031 | [ 0.03 -0.07] | -0.16187251272902145
0.7704835435634364 | [ 0.03 -0.06] | -0.15683907479296622
0.817475873936072 | [ 0.02 -0.06] | -0.15252820371608222
0.8577507569492557 | [ 0.02 -0.05] | -0.14882307635926967
0.8918531933110023 | [ 0.02 -0.04] | -0.1456213322372215
0.9203371677296777 | [ 0.02 -0.04] | -0.1428307588640546
0.9437291646037294 | [ 0.01 -0.03] | -0.14036857297107957
0.9625082994615233 | [ 0.01 -0.03] | -0.1381614312987017
0.9770970405297823 | [ 0.01 -0.03] | -0.13614522096261855
0.9878582933335985 | [ 0.   -0.02] | -0.1342644946853725
0.995096024495268 | [ 0.   -0.02] | -0.13247162798413736
0.9990576035070082 | [-0.   -0.02] | -0.13072582425980325
0.9999367199519105 | [-0.01 -0.02] | -0.12899208849766966
0.9978761770299178 | [-0.01 -0.02] | -0.1272402519493911
0.9929701406629285 | [-0.01 -0.01] | -0.12544409675544338
0.9852655901873443 | [-0.02 -0.01] | -0.1235806120563181
0.9747628102951312 | [-0.02 -0.01] | -0.12162940468473923
0.9614148105291449 | [-0.02 -0.01] | -0.11957228712415811
0.9451255760231045 | [-0.03 -0.01] | -0.11739307451452576
0.9257470540438766 | [-0.03 -0.01] | -0.11507764084988815
0.9030747754143893 | [-0.04 -0.01] | -0.11261431372440125
0.8768420082810775 | [-0.04 -0.01] | -0.10999473134893044
0.8467123570837786 | [-0.05 -0.01] | -0.10721535146622124
0.8122707718009017 | [-0.05 -0.01] | -0.10427989892538743
[1.] | [ 1.86 -2.21] | -8.555202012702859
0.9958924437919888 | [1.41 0.53] | -2.494593393554004
0.978301401186874 | [0.33 0.85] | -1.073883673057388
0.9298745250781861 | [-0.3   0.06] | -0.35336215323622727
0.8565421772084487 | [-0.09 -0.09] | -0.2930199155019158
0.7718869126528435 | [-0.01  0.25] | -0.3540437255967419
0.6758257074764831 | [-0.15  0.16] | -0.3518243844751224
0.5740407054050617 | [-0.13  0.09] | -0.34041252035391395
0.47438632915084894 | [-0.09  0.16] | -0.3584100816089642
0.3785176834509904 | [-0.11  0.17] | -0.37106858694460676
0.2879819643433589 | [-0.11  0.16] | -0.37210710626678395
0.20493839901841346 | [-0.1   0.18] | -0.3783281942658411
0.13012276626619373 | [-0.1   0.19] | -0.38295318975766507
0.06408778411031554 | [-0.12  0.19] | -0.38189813303552633
0.007899999442857917 | [-0.14  0.18] | -0.3778682043959344
-0.037189260533078895 | [-0.16  0.16] | -0.3705671932378077
-0.06966439557097613 | [-0.19  0.13] | -0.36036747378723955
-0.08768838810920805 | [-0.22  0.08] | -0.3494430977686599
-0.08938235710928549 | [-0.24  0.02] | -0.33938963519759796
-0.07321698565549568 | [-0.24 -0.04] | -0.3298118123155702
-0.03846871398587878 | [-0.23 -0.09] | -0.3183303648537133
0.014303830688540553 | [-0.2  -0.13] | -0.302799995398408
0.08297182998074304 | [-0.16 -0.16] | -0.28368325579636355
0.1639389082932476 | [-0.11 -0.16] | -0.26382532159014427
0.2526668140380553 | [-0.07 -0.16] | -0.24614981061806115
0.344439792886881 | [-0.04 -0.14] | -0.23194832888697303
0.4350695329490003 | [-0.01 -0.13] | -0.2209814127451155
0.5213214320125104 | [ 0.01 -0.11] | -0.21242309646055427
0.6010247985568807 | [ 0.02 -0.1 ] | -0.20552988942947104
0.6729603116409758 | [ 0.02 -0.09] | -0.1998235790980818
0.7366456324506614 | [ 0.03 -0.08] | -0.19503481582561843
0.7921077464670796 | [ 0.02 -0.07] | -0.19100926276635014
0.8396882769141981 | [ 0.02 -0.06] | -0.1876434760624252
0.8798967130082835 | [ 0.02 -0.05] | -0.18485256472416944
0.9133091277713489 | [ 0.02 -0.05] | -0.18255771961782497
0.9405031722190133 | [ 0.01 -0.04] | -0.18068337196183556
0.9620192539035084 | [ 0.01 -0.04] | -0.17915772766936425
0.9783393123530028 | [ 0.   -0.03] | -0.17791385290366263
0.989876692595624 | [ 0.   -0.03] | -0.17689042911655983
0.9969725455815943 | [-0.   -0.03] | -0.17603201469560809
0.9998956907416905 | [-0.01 -0.02] | -0.17528888639585824
0.9988439495036517 | [-0.01 -0.02] | -0.17461661623180036
0.9939456839453087 | [-0.02 -0.02] | -0.1739755289107284
0.9852607433643846 | [-0.02 -0.02] | -0.17333014799431087
0.9727803107919353 | [-0.02 -0.02] | -0.17264871836985388
0.9564253127114692 | [-0.03 -0.01] | -0.17190288627178318
0.9360431539709111 | [-0.03 -0.01] | -0.17106762358026023
0.9114026012155375 | [-0.04 -0.01] | -0.17012150519176267
0.8821866936772835 | [-0.05 -0.01] | -0.16904748820928234
0.847983644538616 | [-0.05 -0.01] | -0.16783439948638432
[1.] | [ 2.52 -2.76] | -14.27458349899922
0.9994461383205174 | [ 2.07 -0.03] | -4.640213467992378
0.9885580001167423 | [1.19 1.12] | -2.999889925225163
0.9406290293057373 | [-0.09  0.83] | -1.0229451779570193
0.8401542806899147 | [-0.38 -0.22] | -0.492897070731414
0.7129751356166771 | [-0.03  0.14] | -0.29824313296918137
0.5728027995834243 | [-0.13  0.34] | -0.3850976176843611
0.4224220005921032 | [-0.23  0.13] | -0.29963491262093644
0.276664853608857 | [-0.16  0.15] | -0.2501660602285405
0.14261010240999902 | [-0.14  0.22] | -0.2434479228326173
0.020577939065221575 | [-0.16  0.19] | -0.2125048162836089
-0.08724411966813132 | [-0.16  0.19] | -0.18118170760301802
-0.17953241855859767 | [-0.16  0.19] | -0.15869897293016155
-0.2563048405802639 | [-0.19  0.17] | -0.1346652183529627
-0.3169986349301645 | [-0.21  0.13] | -0.11157894973845385
-0.3606213207612566 | [-0.24  0.09] | -0.09408972129618308
-0.38619104200382026 | [-0.26  0.03] | -0.08524445442612778
-0.3927053899064327 | [-0.28 -0.03] | -0.09170983350939221
-0.37937540240666695 | [-0.27 -0.09] | -0.10446317296582257
-0.3460729659974827 | [-0.24 -0.13] | -0.11018750151675391
-0.29372832503050655 | [-0.2  -0.16] | -0.10741091002334938
-0.22458351760229972 | [-0.15 -0.16] | -0.10007676506234599
-0.14215294825507999 | [-0.1  -0.16] | -0.09328921260285347
-0.05080541231848296 | [-0.05 -0.14] | -0.08991300953583443
0.04489100838202512 | [-0.01 -0.13] | -0.09007316097532474
0.14079913239204617 | [ 0.01 -0.11] | -0.09253712082370842
0.23362528099271843 | [ 0.03 -0.1 ] | -0.09599697032488327
0.32106527486929975 | [ 0.04 -0.08] | -0.0995872073316615
0.40174156319532645 | [ 0.04 -0.07] | -0.10288852776901512
0.4750271264888793 | [ 0.05 -0.06] | -0.1057666430606162
0.5408387402032065 | [ 0.04 -0.06] | -0.10822527990831284
0.5994494363887412 | [ 0.04 -0.05] | -0.11031760718312758
0.6513405354740026 | [ 0.04 -0.04] | -0.11210488796619013
0.6970954506903442 | [ 0.04 -0.04] | -0.1136416394116158
0.7373290712982634 | [ 0.03 -0.03] | -0.11497256192451372
0.7726441227169543 | [ 0.03 -0.03] | -0.1161336255611355
0.8036064742249612 | [ 0.03 -0.03] | -0.11715406562731345
0.8307330113379681 | [ 0.02 -0.02] | -0.1180581261669823
0.8544874202299148 | [ 0.02 -0.02] | -0.11886629912145767
0.8752806792087359 | [ 0.02 -0.02] | -0.11959613514927626
0.8934741461891247 | [ 0.02 -0.02] | -0.12026276194679486
0.9093839047166095 | [ 0.02 -0.01] | -0.12087922356909238
0.9232855532549596 | [ 0.01 -0.01] | -0.1214567206940615
