1.9, -1.7, 1.5, -1.3, -0.2, 1.0, 1.1, 1.8, -1.2, -0.8, 2.1, -0.7, -0.3, 0.3, 0.0, -0.3, -0.5, -1.9, 0.3, 1.0, -0.6, 1.1
parameter ends

state | action | reward
[1.] | [ 2.46 -1.86] | -9.741404742781423
0.9995075049354928 | [1.23 0.48] | -1.9895808488709887
0.996250331548158 | [-0.02  1.08] | -1.4551499770208556
0.9711589377790214 | [-0.01  0.05] | -0.3029506509018951
0.9247907362148537 | [-0.01  0.29] | -0.40726683542394077
0.8597377646206457 | [-0.03  0.31] | -0.4374591073821752
0.7792509507168854 | [-0.04  0.36] | -0.4849436950181185
0.6872410257758684 | [-0.05  0.42] | -0.5457383603482848
0.5874578908365513 | [-0.06  0.48] | -0.6062315941185241
0.48383865825595057 | [-0.09  0.53] | -0.6651684485528901
0.38080616177259957 | [-0.14  0.56] | -0.6994926148149292
0.2839212754728569 | [-0.23  0.53] | -0.6812871114356607
0.20046341226414272 | [-0.34  0.41] | -0.6001800946008161
0.13942358119139847 | [-0.45  0.17] | -0.5148253185327061
0.11020442444546952 | [-0.52 -0.16] | -0.5430924769121326
0.11965920478457723 | [-0.49 -0.49] | -0.695448229762653
0.16836146996268347 | [-0.37 -0.66] | -0.7750819291974533
0.24869525224497357 | [-0.21 -0.65] | -0.6529414143485974
0.3472139426952945 | [-0.07 -0.52] | -0.4538648559989792
0.4501088862481446 | [0.05 0.95] | -1.0801848280491373
0.5462946841809829 | [0.16 1.5 ] | -2.463916919583632
0.6277047967647562 | [0.13 1.54] | -2.5628798559601913
0.6931092143220701 | [0.1  1.47] | -2.3531206329602568
0.745978211023662 | [0.08 1.41] | -2.172447058211316
0.789220508676049 | [0.06 1.36] | -2.0443556495845137
0.8249898435781833 | [0.05 1.33] | -1.950431976288073
0.8548292747834345 | [0.04 1.3 ] | -1.874406282775452
0.8798751345598476 | [0.03 1.27] | -1.8074158824282032
0.9009895165857831 | [0.03 1.25] | -1.7453044751630138
0.9188424956363163 | [0.02 1.22] | -1.6863150095384594
0.9339637637232581 | [0.02 1.2 ] | -1.6297587633910422
0.946776964496616 | [0.02 1.18] | -1.5753741394719498
0.9576237889816668 | [0.01 1.15] | -1.5230465820070431
0.9667816004191478 | [0.01 1.13] | -1.4726979758593217
0.9744766836118236 | [0.01 1.11] | -1.424248833522633
0.9808943802573646 | [0.01 1.09] | -1.3776092546585619
0.9861869306211538 | [0.01 1.07] | -1.3326799295425626
0.9904795883829635 | [0.   1.05] | -1.2893557790560537
0.9938754163724742 | [0.   1.03] | -1.2475295870324319
0.9964590637472529 | [0.   1.01] | -1.2070948679217819
0.998299749441396 | [4.78e-04 9.86e-01] | -1.1679493515256327
0.9994536215943004 | [-5.25e-04  9.67e-01] | -1.1306372783710517
0.9999656151545687 | [-0.    0.95] | -1.094579271825539
0.9998710185490339 | [-0.    0.93] | -1.0593589150883744
0.9991966988533594 | [-0.    0.91] | -1.0249224762625881
0.9979619251310994 | [-0.    0.89] | -0.9912466177709998
0.9961789541098139 | [-0.    0.87] | -0.9582945436696877
0.9938534648901813 | [-0.01  0.85] | -0.9260178278475601
0.9909848503351202 | [-0.01  0.84] | -0.8943636502373236
0.9875663671349773 | [-0.01  0.82] | -0.8632794239424912
[1.] | [ 2.81 -2.37] | -13.869850512070961
0.9985893451622515 | [ 1.58 -0.03] | -2.838688592092734
0.9978982473384733 | [0.31 1.14] | -1.7235376386469385
0.9731510314933006 | [-0.13  0.43] | -0.5264448352821919
0.9196925145639099 | [-0.02  0.05] | -0.3265247127463941
0.844313057465552 | [-0.06  0.33] | -0.4276586848066569
0.7509831767365777 | [-0.07  0.28] | -0.39109799048698946
0.6456185364550969 | [-0.07  0.34] | -0.41722006169244574
0.5330968930619142 | [-0.07  0.39] | -0.43553443120063223
0.41743728140311 | [-0.07  0.44] | -0.4601624540690612
0.30211099412836706 | [-0.08  0.5 ] | -0.48693050249688163
0.1904807787536586 | [-0.12  0.53] | -0.5013089311962822
0.08657368777178258 | [-0.18  0.53] | -0.48189440973430253
-0.004247615437789185 | [-0.28  0.45] | -0.4114510789681444
-0.07499252016060694 | [-0.39  0.27] | -0.3166790501473006
-0.11761333866398364 | [-0.49 -0.01] | -0.2931246583054525
-0.12480876022734837 | [-0.51 -0.33] | -0.4190091011063337
-0.09290181293967452 | [-0.43 -0.57] | -0.5821178132340624
-0.02458546354555798 | [-0.28 -0.65] | -0.5855590237959291
0.07065275269017834 | [-0.13 -0.57] | -0.44113247000833844
0.17966162806519875 | [-0.02 -0.17] | -0.13442761146489293
0.2903246564024942 | [0.13 1.26] | -1.7046559570464757
0.3911967342148465 | [0.15 1.47] | -2.283683358546267
0.4757921359480945 | [0.13 1.47] | -2.2739681052203795
0.5453285979740344 | [0.1  1.43] | -2.164617043832357
0.602829572408148 | [0.08 1.4 ] | -2.0772858331218
0.6508103423254566 | [0.07 1.38] | -2.0148727305488077
0.6912038158189835 | [0.06 1.36] | -1.9669411486995279
0.7254728714594929 | [0.05 1.35] | -1.925821237430278
0.7547435732846675 | [0.04 1.34] | -1.8877356680566661
0.7798980891929905 | [0.03 1.32] | -1.8511876681060806
0.8016374128886157 | [0.03 1.31] | -1.8157523078635383
0.8205244827294339 | [0.03 1.29] | -1.7814205147944326
0.8370150844545948 | [0.02 1.28] | -1.7483008428475315
0.8514807758425839 | [0.02 1.27] | -1.7165020246439904
0.864226307671363 | [0.02 1.26] | -1.686096547560317
0.8755030677639659 | [0.02 1.25] | -1.6571164866615327
0.8855195611675852 | [0.01 1.23] | -1.6295601151563912
0.8944496392826768 | [0.01 1.22] | -1.6034006630726183
0.9024389996174302 | [0.01 1.21] | -1.5785941962651442
0.9096103469079584 | [0.01 1.2 ] | -1.5550858460041437
0.9160675121587671 | [0.01 1.19] | -1.5328144384057512
0.9218987564574799 | [0.01 1.19] | -1.51171581041534
0.9271794340428776 | [0.01 1.18] | -1.4917251209389115
0.9319741494200883 | [0.01 1.17] | -1.4727784198997418
0.9363385130925059 | [0.01 1.16] | -1.4548136801233467
0.940320577372193 | [0.01 1.15] | -1.43777144543686
0.943962016000905 | [0.   1.15] | -1.4215952074635814
0.9472990976617317 | [0.   1.14] | -1.40623159269701
0.9503634929090764 | [0.   1.13] | -1.3916304186555302
[1.] | [ 2.93 -2.59] | -15.52640749842962
0.9999279443005626 | [ 1.69 -0.24] | -3.141619986011496
0.9915525461057365 | [0.38 1.19] | -1.7732035679095235
0.9552492615020983 | [-0.19  0.55] | -0.5357029957596753
0.8895037716127189 | [-0.04 -0.05] | -0.17317464155057008
0.8043956011461026 | [-0.08  0.3 ] | -0.24326634537412367
0.7040352901855427 | [-0.09  0.22] | -0.17631078506200754
0.5948282889636796 | [-0.08  0.27] | -0.17715774917131477
0.48143289223690133 | [-0.07  0.31] | -0.17799630532393154
0.36706967582599587 | [-0.06  0.35] | -0.1941062616261044
0.2540230086393806 | [-0.05  0.41] | -0.23572391478035648
0.14394334622791974 | [-0.06  0.46] | -0.298338268719365
0.038553878668821394 | [-0.08  0.51] | -0.368499187310511
-0.059688898584894914 | [-0.13  0.52] | -0.42167513554090463
-0.14697460776892743 | [-0.22  0.48] | -0.4318842868870953
-0.21778944499368294 | [-0.33  0.35] | -0.3979018755677837
-0.2651568346877152 | [-0.44  0.11] | -0.3788354193497153
-0.2817844128734212 | [-0.5 -0.2] | -0.46128794642286486
-0.26220897825077283 | [-0.47 -0.48] | -0.6169562668932593
-0.20549766619914378 | [-0.35 -0.63] | -0.6737037952552284
-0.11710909425975574 | [-0.2 -0.6] | -0.5584054516915106
-0.007981153548940727 | [-0.06 -0.48] | -0.39023779431483285
0.10926977714270526 | [0.06 0.92] | -0.9959634583617145
0.222921536038317 | [0.17 1.49] | -2.3946347284491054
0.3227807897076846 | [0.15 1.57] | -2.626072872635061
0.40560441588171414 | [0.12 1.54] | -2.5322708458054404
0.4741563939734785 | [0.1  1.51] | -2.434348013391199
0.5312591672827108 | [0.08 1.49] | -2.368298079967727
0.579226403040187 | [0.07 1.48] | -2.3243793674127846
0.6198275173476958 | [0.06 1.46] | -2.290999305725274
0.6544245167758206 | [0.05 1.46] | -2.2617287303199496
0.6840825993467097 | [0.04 1.45] | -2.233796194862773
0.709647497674044 | [0.03 1.44] | -2.2063203454391167
0.7317982449648147 | [0.03 1.43] | -2.1792202540968395
0.7510845675916124 | [0.03 1.42] | -2.1526823280132272
0.767954447494569 | [0.02 1.41] | -2.1269336705218627
0.7827750504361002 | [0.02 1.4 ] | -2.102161499620476
0.7958489143034925 | [0.02 1.39] | -2.078494576913809
0.807426611183546 | [0.02 1.38] | -2.0560076906407447
0.8177167214669372 | [0.01 1.38] | -2.0347326599481415
0.8268937312416594 | [0.01 1.37] | -2.01466954368069
0.8351043130998512 | [0.01 1.36] | -1.9957960542805486
0.8424723424823513 | [0.01 1.36] | -1.9780748567189899
0.8491029212487874 | [0.01 1.35] | -1.9614590007401755
0.8550856190160473 | [0.01 1.34] | -1.9458958662382124
0.8604970959069514 | [0.01 1.34] | -1.9313299787888503
0.8654032342383305 | [0.01 1.33] | -1.9177049870811447
0.8698608788182591 | [0.01 1.33] | -1.904965026918179
0.873919263995698 | [0.01 1.33] | -1.8930556399477059
0.8776211889416736 | [0.   1.32] | -1.8819243712077554
[1.] | [ 2.93 -2.58] | -15.553468693874002
0.9949444679582218 | [ 1.68 -0.22] | -3.1895020954321347
0.9762105830629012 | [0.36 1.21] | -1.8770835507269106
0.925782547851601 | [-0.21  0.57] | -0.6450952978982863
0.8477181150419569 | [-0.06 -0.06] | -0.2646928741569027
0.7540325637029409 | [-0.09  0.3 ] | -0.33412721480790103
0.6484510095309898 | [-0.09  0.21] | -0.26892148513752695
0.5370403654954362 | [-0.08  0.26] | -0.26630980505976376
0.423830252833575 | [-0.07  0.3 ] | -0.2599432515161818
0.31135732289105167 | [-0.05  0.34] | -0.2590217680439293
0.20131792639977325 | [-0.05  0.39] | -0.2683502441147875
0.09488884258280589 | [-0.05  0.45] | -0.28398047245720365
-0.006586927825666124 | [-0.08  0.49] | -0.3017428155211763
-0.10099383120719903 | [-0.13  0.51] | -0.31561385264712444
-0.18488256178139276 | [-0.21  0.48] | -0.3199567699119023
-0.25315252815386446 | [-0.31  0.35] | -0.29924950944886247
-0.2992551214356586 | [-0.42  0.13] | -0.29338354880924433
-0.31619665384210277 | [-0.49 -0.17] | -0.3802609368622043
-0.2984471866174902 | [-0.47 -0.45] | -0.543635185857951
-0.24444987981596086 | [-0.36 -0.6 ] | -0.6273282159404299
-0.1585953996288274 | [-0.21 -0.6 ] | -0.5445849769871879
-0.050824646041258796 | [-0.08 -0.49] | -0.3920550815056594
0.06665768398586347 | [0.03 0.64] | -0.5537190532564209
0.182547411139933 | [0.17 1.39] | -2.1114190855917085
0.28614448052609226 | [0.16 1.51] | -2.441162576955788
0.37278074887495605 | [0.13 1.49] | -2.389588624524649
0.4446567354259418 | [0.1  1.47] | -2.306546455068002
0.5045690004333282 | [0.08 1.45] | -2.2481240915938563
0.5548815434259959 | [0.07 1.44] | -2.209305583565059
0.5974361878792019 | [0.06 1.43] | -2.1800235928874425
0.633661862280824 | [0.05 1.42] | -2.1542725787640724
0.6646808669892954 | [0.04 1.41] | -2.1294387536241715
0.6913861746251804 | [0.04 1.4 ] | -2.1047226938685277
0.7144954751995243 | [0.03 1.39] | -2.080102924509719
0.7345899838306192 | [0.03 1.39] | -2.055813872971223
0.7521432965522922 | [0.02 1.38] | -2.0321218206795737
0.767543424456818 | [0.02 1.37] | -2.009245493766551
0.7811099004589916 | [0.02 1.36] | -1.9873386811558234
0.7931071912130647 | [0.02 1.35] | -1.9664959303371865
0.8037552767947299 | [0.01 1.35] | -1.9467646570635146
0.8132380338269724 | [0.01 1.34] | -1.928157282414676
0.8217099043702869 | [0.01 1.33] | -1.9106613888051585
0.8293012218031013 | [0.01 1.33] | -1.8942475957062617
0.8361224812653282 | [0.01 1.32] | -1.8788754334413071
0.8422677781253264 | [0.01 1.32] | -1.8644976241740376
0.8478175884630369 | [0.01 1.31] | -1.8510631519744918
0.8528410273153976 | [0.01 1.31] | -1.8385194334755113
0.8573976908399484 | [0.01 1.3 ] | -1.8268138289837919
0.8615391656446942 | [0.01 1.3 ] | -1.8158946736796027
0.8653102707768247 | [0.01 1.29] | -1.8057119615764128
[1.] | [ 2.7  -2.42] | -13.3989902983091
0.999137276378882 | [ 1.47 -0.07] | -2.4166582457940984
0.9970767933975282 | [0.18 1.15] | -1.6183937764287872
0.9715992996195292 | [-0.11  0.28] | -0.34667977486361357
0.9207303340493841 | [-0.03  0.06] | -0.2585846480492363
0.8504736297757989 | [-0.06  0.26] | -0.3236369177576527
0.764693531556421 | [-0.07  0.22] | -0.30466715379202086
0.6686214813577387 | [-0.06  0.27] | -0.32409665144865724
0.5663784118828843 | [-0.06  0.31] | -0.3403209074247364
0.4611322296560144 | [-0.05  0.36] | -0.3638839633880352
0.35526511471618094 | [-0.05  0.41] | -0.39628860431468615
0.25066409518779836 | [-0.06  0.47] | -0.43397390759628846
0.1493137878867309 | [-0.08  0.51] | -0.4678702256465321
0.05394741879968042 | [-0.14  0.53] | -0.47804660242740293
-0.03129567210262552 | [-0.22  0.49] | -0.4413735356479461
-0.1004553335724475 | [-0.33  0.35] | -0.35965147327914326
-0.14596911382347724 | [-0.44  0.11] | -0.29760087750595704
-0.1599640948492731 | [-0.5  -0.21] | -0.3490821356205793
-0.13677969355634573 | [-0.46 -0.49] | -0.4864782091925199
-0.07606214301312991 | [-0.34 -0.64] | -0.535220802639331
0.015459461999012845 | [-0.18 -0.61] | -0.42995373748186033
0.12560479172612832 | [-0.05 -0.49] | -0.2697472053351705
0.24126685957390495 | [0.06 0.92] | -0.8799729788126032
0.3511190135228634 | [0.17 1.47] | -2.2330095182523646
0.4460036917766393 | [0.15 1.53] | -2.4039020802939763
0.5236814496122603 | [0.12 1.49] | -2.267132082501909
0.5873887379527503 | [0.09 1.45] | -2.139493784609388
0.640121686229071 | [0.07 1.42] | -2.0509277859883777
0.6842235320606274 | [0.06 1.4 ] | -1.9885441754538702
0.7214355853844613 | [0.05 1.38] | -1.9392798335133907
0.7530717566997814 | [0.04 1.36] | -1.895967189639518
0.7801451175498466 | [0.04 1.35] | -1.855398948431227
0.8034517521850109 | [0.03 1.33] | -1.8163961430359985
0.8236259735701574 | [0.03 1.32] | -1.778655665430733
0.8411783687486334 | [0.02 1.31] | -1.7421915201456533
0.8565232109763409 | [0.02 1.29] | -1.7070953390620813
0.8699988975630849 | [0.02 1.28] | -1.6734476643419574
0.881883532501247 | [0.02 1.27] | -1.6412933299864956
0.8924069774289927 | [0.01 1.25] | -1.6106411622875387
0.9017602601108876 | [0.01 1.24] | -1.581471157378127
0.9101029717900921 | [0.01 1.23] | -1.5537426445167764
