-0.8, 3.6, -2.3, 5.1, -2.2, 1.3, 0.3, 3.1, 7.7, -5.2, -6.3, 1.1, 2.0, -5.4, 1.8, 5.2, 2.2, -0.2, -0.6, 0.8, 1.1, -1.2
parameter ends

state | action | reward
[1.] | [-0.09  7.04] | -49.68325424181529
0.9980334182540165 | [ 6.39 29.55] | -914.3732788688935
0.9995575147021086 | [21.29 28.65] | -1274.3880116113155
0.9966674244802934 | [35.81 27.86] | -2059.1471759269702
0.9637775634593059 | [50.05 26.81] | -3223.829143143053
0.8609329362543403 | [64.13 24.97] | -4735.822347933369
0.6437677848103943 | [78.24 21.75] | -6595.267944041842
0.2851410034293503 | [92.58 16.87] | -8855.224606969568
-0.19110614088423344 | [107.13  10.71] | -11591.207909467525
-0.6768651888163727 | [110.06 -28.19] | -12906.813335342596
-0.9784831913822419 | [  65.61 -200.36] | -44448.71979807309
-0.8876529308312724 | [  64.93 -243.8 ] | -63655.490699835296
-0.3337097504220532 | [  65.24 -279.18] | -82195.33137940108
0.45825877206816124 | [  64.07 -311.72] | -101277.09697445772
0.9768682955536024 | [  61.44 -343.04] | -121452.24376189694
0.7482075361619426 | [  58.47 -375.45] | -144383.6917212843
-0.15537189573253624 | [  56.85 -410.13] | -171435.55839698963
-0.937904332910785 | [  57.22 -445.61] | -201838.75846314649
-0.7218766188796762 | [  58.2  -479.06] | -232887.26291787747
0.3606643698647347 | [  57.72 -510.1 ] | -263538.35949113115
0.9995602152200074 | [  55.95 -542.5 ] | -297432.00119122263
0.2518740711653844 | [  55.89 -579.25] | -338656.77197887417
-0.8847265591791007 | [  59.01 -615.79] | -382675.05548571015
-0.6149888706418111 | [ 142.07 -412.75] | -190548.6295488249
0.7051028401370137 | [ 160.3  -380.18] | -170234.9573500485
0.7601209301127368 | [ 161.18 -395.12] | -182103.02087860432
-0.6300389490298675 | [ 164.2 -421.3] | -204451.68880934175
-0.7619328646645552 | [ 170.32 -442.09] | -224450.22208206207
0.6997432778235098 | [ 172.97 -452.61] | -234772.590059812
0.6276514411560303 | [ 173.93 -464.85] | -246337.91137069193
-0.8700269115829903 | [ 180.07 -483.48] | -266179.8636162421
-0.3028522302604091 | [ 187.08 -495.59] | -280607.6523835264
0.9984405452273419 | [ 188.39 -501.64] | -287134.3996780355
-0.23680772575189274 | [ 191.42 -516.32] | -303231.9707041028
-0.8385050481038265 | [ 199.36 -531.75] | -322508.3426057834
0.8162330029844949 | [ 202.19 -536.94] | -329180.7059201436
0.19547731368095655 | [ 203.34 -548.01] | -341661.7460653336
-0.9658120981482288 | [ 210.9  -564.41] | -363043.86496316944
0.6890837291797043 | [ 214.43 -569.5 ] | -370310.67584556626
0.270927215215672 | [ 214.91 -579.04] | -381477.7390699047
-0.9555330641443976 | [ 222.33 -595.09] | -403558.1952955052
0.789354251341741 | [ 225.24 -599.05] | -409598.2132999745
0.014611993136580476 | [ 225.94 -609.38] | -422392.01190900395
-0.785614871200848 | [ 233.59 -623.77] | -443653.654708193
0.9824963867644073 | [ 234.64 -626.11] | -447076.24704107805
-0.5335950540720366 | [ 237.   -639.29] | -464859.3723973077
-0.22261048887973509 | [ 243.97 -649.41] | -481250.7760596487
0.8300787252687251 | [ 243.03 -652.36] | -484637.25308832043
-0.991395741401383 | [ 248.59 -667.98] | -508001.92958023434
0.6801742006129554 | [ 252.2  -671.47] | -514473.46105020866
[1.] | [-1.45  7.76] | -62.665076011040085
0.9989650032409748 | [-2.14 49.82] | -2486.7354134783486
0.9973645733807451 | [-2.61 91.15] | -8314.670443465347
0.9644229895036167 | [ -2.78 131.52] | -17304.53192656387
0.8588551703153465 | [ -2.58 170.56] | -29096.332046991232
0.6357620906528823 | [ -2.   207.81] | -43191.247429605835
0.26922675056674056 | [ -1.18 242.94] | -59023.08246378377
-0.21313012559449032 | [ -0.46 276.01] | -76180.89178974774
-0.6818535776493239 | [  3.87 296.35] | -87836.42804182353
-0.9501440485244695 | [ 18.64 286.05] | -82174.81623106221
-0.9952815952797314 | [-31.68  93.58] | -9761.171007166091
-0.8758798294371224 | [-49.31  86.49] | -9912.392916674293
-0.5561573828783498 | [-55.29 113.36] | -15907.91981273992
-0.04251030098544239 | [-60.17 142.41] | -23900.6442439143
0.5422045888463232 | [-65.27 167.88] | -32444.56285682492
0.9507472662023561 | [-70.13 189.35] | -40770.626823700804
0.9076722619982933 | [-74.52 207.12] | -48453.66479979832
0.31938554768356736 | [-79.02 222.12] | -55582.34674475163
-0.5232324999356667 | [-84.7  236.33] | -63024.02975358882
-0.9965916261196923 | [-92.1  252.26] | -72117.36677161965
-0.6093094161472161 | [-100.36  271.04] | -83537.49820959105
0.3916544526045647 | [-107.35  290.73] | -96048.51612409548
0.9986221416209157 | [-111.68  307.38] | -106954.76175513006
0.43526806005941415 | [-114.75  319.37] | -115165.75281903284
-0.7022762761763963 | [-119.76  330.47] | -123551.88680458593
-0.881589927998964 | [-127.68  346.02] | -136031.23367379594
