1.1, -1.8, 1.2, -1.0, 0.5, 0.7, 1.0, 2.3, -1.4, -0.4, 1.8, -1.0, -0.5, -0.1, 0.0, -0.2, 0.0, -1.8, -0.3, 1.0, -1.0, 0.4
parameter ends

state | action | reward
[1.] | [ 1.06 -2.54] | -7.9167218872416045
0.9983842830938363 | [-0.94 -2.2 ] | -6.063465275814508
0.9952192976015389 | [ 0.85 -1.27] | -2.6518956327020966
0.9909763878807141 | [-1.06 -1.21] | -2.866544066816998
0.9865727901505221 | [ 0.58 -0.45] | -0.8089817250985208
0.98442754277746 | [-1.06 -0.66] | -1.7842663817682782
0.9851939284667944 | [0.4 0.2] | -0.3831707561498463
0.9895949827971345 | [-0.89  0.14] | -0.953011635701257
0.9952459787294986 | [0.54 0.9 ] | -1.2366042805380715
0.9992723757855134 | [-0.72  0.57] | -0.9707908726929168
0.9996236146618176 | [0.65 0.93] | -1.4288150687041674
0.9955563543494915 | [-0.67  0.32] | -0.6982232771918401
0.9870983232893529 | [0.66 0.6 ] | -0.9433069000525495
0.9744877906833835 | [-0.68  0.03] | -0.6284201207136885
0.9577340544241313 | [0.64 0.3 ] | -0.6662122744180193
0.936831374789871 | [-0.72 -0.4 ] | -0.8400317083172791
0.9111539042712085 | [ 0.62 -0.17] | -0.5757051455004052
0.8802198967933935 | [-0.72 -0.41] | -0.8557274633076758
0.8434308222060081 | [ 0.61 -0.09] | -0.5465533932779318
0.800514124574827 | [-0.73 -0.3 ] | -0.7885895304222039
0.7508397339815628 | [0.6  0.04] | -0.5318144211873256
0.6941630271400482 | [-0.74 -0.18] | -0.7462598037015636
0.6297980467013831 | [0.6  0.26] | -0.5909168762930693
0.557695156604515 | [-0.75 -0.12] | -0.749641064491559
0.4770801083240825 | [0.58 0.36] | -0.6348407431707631
0.38789034593250615 | [-0.77 -0.08] | -0.7661319968804973
0.28957709491061623 | [0.57 0.37] | -0.6232490378195565
0.1824365613280625 | [-0.78 -0.08] | -0.7849962704894353
0.06657344764389224 | [0.55 0.37] | -0.6161357887330032
-0.05669196732966568 | [-0.79 -0.07] | -0.7956670272459988
-0.18591982909221152 | [0.55 0.38] | -0.6226716792990729
-0.3181604993812324 | [-0.78 -0.07] | -0.7925386866678026
-0.45016070006032544 | [0.57 0.36] | -0.6451524729403084
-0.5772604597463243 | [-0.75 -0.1 ] | -0.771778055301217
-0.6948332533496802 | [0.61 0.33] | -0.6855037953458618
-0.7977341314919035 | [-0.7  -0.14] | -0.739738012799693
-0.8818691694217992 | [0.66 0.27] | -0.7440449766076179
-0.9440364007237264 | [-0.65 -0.2 ] | -0.7142836918320362
-0.9830198141217331 | [0.71 0.21] | -0.8118286643323029
-0.9992598976484741 | [-0.6  -0.26] | -0.7084269664499478
-0.9949363572307989 | [0.74 0.16] | -0.8690652924931422
-0.9733529917677946 | [-0.57 -0.29] | -0.7188075347764162
-0.9383203778373197 | [0.75 0.14] | -0.901035413666397
-0.8937818749912706 | [-0.57 -0.3 ] | -0.7355865707570515
-0.8431336067377994 | [0.75 0.14] | -0.9090495665355813
-0.789408837588847 | [-0.57 -0.3 ] | -0.7528121905604087
-0.7347298681091836 | [0.73 0.14] | -0.9028836794649993
-0.6809037237704405 | [-0.58 -0.29] | -0.7683909739518354
-0.6288935843574912 | [0.72 0.15] | -0.8909686085100419
-0.5795900507922404 | [-0.59 -0.28] | -0.7816994331521676
[1.] | [ 1.7  -2.93] | -11.84230907818317
0.9999733309949711 | [-0.29 -2.6 ] | -7.1854885520423215
0.9982319303731103 | [ 0.24 -1.92] | -4.08535331194853
0.9924681757911561 | [-0.41 -1.61] | -3.089917880280186
0.9841881342769567 | [ 0.08 -1.11] | -1.5809918626174781
0.9760080531835463 | [-0.57 -0.74] | -1.1902130043953778
0.9711664945449747 | [-0.02 -0.03] | -0.28827365481078493
0.9717996086348919 | [-0.51  0.33] | -0.6214715502665649
0.9771708640377661 | [0.17 0.94] | -1.1294750511983216
0.9843354564708438 | [-0.29  0.88] | -1.0346004064901315
0.9907077029424419 | [0.31 0.92] | -1.110349479045777
0.9952500373630425 | [-0.24  0.5 ] | -0.4564864682275027
0.9980644971376301 | [ 0.29 -0.37] | -0.37126714108691034
0.9995606268821621 | [-0.32 -0.97] | -1.1937783211760462
0.9999938913299414 | [ 0.27 -0.91] | -1.0511577180103957
0.9992905799741318 | [-0.32 -1.02] | -1.2878549430621395
0.9973390715699219 | [ 0.27 -0.89] | -1.017641763791559
0.9940474527675794 | [-0.32 -1.01] | -1.2671841134784252
0.9893045277598568 | [ 0.27 -0.89] | -1.02128242396587
0.9830241712795672 | [-0.32 -1.02] | -1.2853528879530811
0.975067752445642 | [ 0.27 -0.9 ] | -1.0356329042286438
0.9653362420005809 | [-0.32 -1.02] | -1.2978194903069404
0.9536530724747911 | [ 0.27 -0.9 ] | -1.0341144011197456
0.9399007631162697 | [-0.32 -1.02] | -1.286215811846688
0.9238600572783178 | [ 0.26 -0.89] | -1.0063637833859445
0.9053916819593658 | [-0.33 -1.  ] | -1.2425076753656878
0.8842299090232053 | [ 0.26 -0.86] | -0.9470694645308725
0.8602114150972161 | [-0.33 -0.96] | -1.1617376928107856
0.8330219390723109 | [ 0.25 -0.81] | -0.8541845818549846
0.8024739268422989 | [-0.33 -0.89] | -1.041224153591575
0.7682070325941714 | [ 0.25 -0.73] | -0.727182078672446
0.7300156653726272 | [-0.34 -0.79] | -0.8823926741247761
0.6875039435873983 | [ 0.24 -0.61] | -0.5721025759840253
0.640464795017384 | [-0.35 -0.66] | -0.6941527149723196
0.5884917841272397 | [ 0.23 -0.46] | -0.40484436068969876
0.5314108232429491 | [-0.35 -0.49] | -0.49762188562010073
0.46885317841721014 | [ 0.23 -0.27] | -0.2568202820916805
0.4007396534610064 | [-0.36 -0.27] | -0.332478012848018
0.3268210752788535 | [ 0.22 -0.02] | -0.18158918545027658
0.24721192559359534 | [-0.36  0.01] | -0.26350061267390745
0.16190572029724445 | [0.21 0.28] | -0.2541782935946724
0.0713370487512262 | [-0.38  0.09] | -0.27781383444765884
-0.024458968009466366 | [0.2  0.28] | -0.24036580778583716
-0.1249820792472716 | [-0.39  0.07] | -0.274123825028014
-0.22960222293903376 | [0.19 0.25] | -0.2116144757526404
-0.3368748587904264 | [-0.39  0.04] | -0.25846144719892905
-0.44501815912953135 | [0.2  0.22] | -0.18440706894570003
-0.5513883944617907 | [-0.38  0.01] | -0.22966873788977324
-0.653082335976751 | [0.22 0.19] | -0.15978724366384683
-0.7466695138004915 | [-0.35 -0.03] | -0.1929307836089261
[1.] | [ 1.31 -2.65] | -9.117901390128758
0.9982165483635062 | [-0.68 -2.32] | -6.2434544125568205
0.999963927369589 | [ 0.62 -1.51] | -3.0269076233130017
0.9992315384830597 | [-0.8  -1.37] | -2.8678000599213123
0.9969093777080911 | [ 0.46 -0.73] | -1.095567545891076
0.99457273161219 | [-0.94 -0.73] | -1.7249190894128565
0.9939412101654925 | [0.37 0.11] | -0.4078715220804317
0.9956527647269116 | [-0.9   0.14] | -1.041545691604129
0.9984564033637363 | [0.53 0.97] | -1.4081695897773248
0.9999915360987179 | [-0.7   0.67] | -1.119701123365327
0.9985725517687936 | [0.66 1.01] | -1.6365349891683172
0.9938087071924291 | [-0.65  0.38] | -0.7432855700559976
0.9859716111749166 | [0.66 0.62] | -1.0102753202934305
0.9754462281255281 | [-0.67 -0.41] | -0.8069393270536807
0.9621899917376417 | [ 0.6  -0.47] | -0.7666223607073432
0.945678333152647 | [-0.69 -0.75] | -1.211564690022052
0.9254170778520999 | [ 0.6  -0.45] | -0.7487485931338667
0.9012060700793293 | [-0.69 -0.68] | -1.11630172691446
0.8726071228935687 | [ 0.6  -0.38] | -0.6817764835241759
0.8394273080683093 | [-0.69 -0.6 ] | -1.0241508080438466
0.801142617611017 | [ 0.59 -0.29] | -0.6144091299513639
0.7575463855427618 | [-0.7 -0.5] | -0.9176075332986091
0.7080497150130124 | [ 0.58 -0.17] | -0.5477717472410528
0.6524710797894548 | [-0.71 -0.35] | -0.8011689178484069
0.5902130163477979 | [0.57 0.01] | -0.5114725047135451
0.5211911907485113 | [-0.71 -0.14] | -0.7138484481296412
0.44489578679595526 | [0.56 0.25] | -0.5661029324584446
0.3614637665670427 | [-0.73 -0.08] | -0.7199747385783422
0.2703545959149502 | [0.55 0.37] | -0.6263379754918817
0.17187781055757384 | [-0.74 -0.05] | -0.7338126254247074
0.06591046938091716 | [0.54 0.37] | -0.6059729401130397
-0.046674195620458096 | [-0.75 -0.06] | -0.7433572193893506
-0.16504004261413083 | [0.53 0.37] | -0.5887342940830236
-0.28703523687176674 | [-0.75 -0.07] | -0.7383126889963887
-0.4103181814329354 | [0.54 0.35] | -0.5860102103270463
-0.531201387700894 | [-0.73 -0.09] | -0.7173851565856669
-0.645929320775046 | [0.56 0.32] | -0.6018304561281126
-0.7499490889148052 | [-0.69 -0.13] | -0.6869213187478218
-0.8393266681244637 | [0.61 0.27] | -0.6391758066854535
-0.9104512853940576 | [-0.64 -0.19] | -0.6618579811239936
-0.9612186545084478 | [0.65 0.21] | -0.6935980349491193
-0.9907865682191291 | [-0.6  -0.25] | -0.6558176151336954
-0.9999959528579142 | [0.69 0.15] | -0.749156419030728
-0.9908993609026652 | [-0.57 -0.29] | -0.6696025506480774
-0.9664128290183807 | [0.71 0.12] | -0.788215190704529
-0.9298972482304502 | [-0.55 -0.32] | -0.69491974391248
-0.8845362452009048 | [0.71 0.1 ] | -0.8047513509857165
-0.8333457483589968 | [-0.56 -0.33] | -0.7247962874251827
-0.7786000572684378 | [0.69 0.09] | -0.8037073197845905
-0.7222795963450653 | [-0.57 -0.33] | -0.7564121238873733
[1.] | [ 1.55 -2.82] | -10.763728805284128
0.9989330607026249 | [-0.45 -2.5 ] | -6.821592924378211
0.9998941115489424 | [ 0.39 -1.77] | -3.6605136450501714
0.997414824801085 | [-0.56 -1.53] | -3.027287524344808
0.9926585318718751 | [ 0.23 -0.98] | -1.3888219123257624
0.9877242729204181 | [-0.72 -0.69] | -1.3424009274414521
0.9851912262882191 | [0.13 0.03] | -0.3136361109924614
0.9865762258068911 | [-0.67  0.27] | -0.7638482387522458
0.9909648722722086 | [0.31 0.97] | -1.244456954760064
0.9957887379893939 | [-0.45  0.81] | -1.0420783909862275
0.9990141763756817 | [0.45 0.96] | -1.3118874645343093
0.999998288611109 | [-0.4   0.45] | -0.5373991794724551
0.998979593089237 | [ 0.44 -0.1 ] | -0.3818456496789966
0.9963174831987652 | [-0.47 -0.86] | -1.140735847088028
0.9919338527631164 | [ 0.42 -0.76] | -0.9331815467599897
0.9856550044637853 | [-0.48 -0.94] | -1.2825545473887274
0.9772770527749779 | [ 0.42 -0.74] | -0.9015442760312529
0.9666792062364158 | [-0.48 -0.92] | -1.2397500992688366
0.9536382031684076 | [ 0.42 -0.73] | -0.8732442387833694
0.938024184053272 | [-0.48 -0.9 ] | -1.2120868951114745
0.9195551652494702 | [ 0.41 -0.71] | -0.8388545009134906
0.8980777091274336 | [-0.48 -0.87] | -1.1631014964102506
0.8732458341755949 | [ 0.41 -0.67] | -0.7789163789159947
0.8448824149621569 | [-0.49 -0.82] | -1.0776339430139894
