1.8, -1.2, 1.4, -1.6, 0.5, 0.8, 1.6, 2.1, -1.1, -0.9, 2.3, -1.9, -0.2, 0.3, -0.3, -0.4, 0.3, -1.9, -0.3, 1.6, -0.8, 1.4
parameter ends

state | action | reward
[1.] | [ 2.71 -1.57] | -10.171815182182929
0.992597692734218 | [3.06 1.16] | -11.05263364461775
0.9713764214044325 | [1.03 0.78] | -2.0047222669557385
0.9070057165143299 | [-0.65  1.07] | -1.9064821109127779
0.8025624105696486 | [-1.23 -0.71] | -2.332506943079366
0.7148766053457263 | [ 0.5  -0.22] | -0.6107065367992808
0.6315045466333825 | [0.37 1.15] | -1.7438739311852118
0.5127650523260191 | [-1.15  0.55] | -1.9023092148351464
0.40902474047990156 | [-0.99 -0.82] | -1.9276941313801292
0.37610884248966214 | [ 0.84 -0.17] | -0.9886076508410432
0.34871948155722765 | [0.38 1.49] | -2.592139340602793
0.275313846482324 | [-1.2   0.87] | -2.408665209501282
0.2258128686206685 | [-1.56 -1.07] | -3.752544482872025
0.25396265334677803 | [ 0.37 -0.21] | -0.35217086814079457
0.3049355978875947 | [0.27 0.82] | -0.9082862931429662
0.3301188140524201 | [-1.09  0.11] | -1.3329743977131172
0.38149370117696374 | [-0.62 -1.05] | -1.6341811623978282
0.4876991723630856 | [ 0.96 -0.2 ] | -1.099653440206682
0.5740832891036122 | [0.35 1.21] | -1.7103069084225024
0.6127765799311401 | [-1.33e+00 -1.10e-03] | -1.8902347672134758
0.6687628609088383 | [-0.78 -1.33] | -2.503433229705768
0.7673272557913298 | [ 0.9  -0.92] | -1.7905390828913812
0.8463057704831208 | [1.25 1.44] | -3.764897210933948
0.8749494542208773 | [-0.83  0.92] | -1.6655023283032735
0.897514880565757 | [-1.48 -1.76] | -5.431559081864623
0.9439627413791203 | [ 0.33 -1.67] | -3.0088558511917185
0.9816318925447545 | [1.43 0.47] | -2.3817697789164782
0.9946919044825516 | [0.57 1.58] | -2.957798800740864
0.9969664353872771 | [0.04 2.17] | -4.851148758760748
0.9970094481341402 | [-0.02  2.19] | -4.922579639698518
0.9969709527912827 | [-0.02  2.15] | -4.756759936390045
0.9970367521807115 | [-0.01  2.13] | -4.6429297296045835
0.9971741606058053 | [-0.01  2.11] | -4.57929085891718
0.9973465130716236 | [-0.   2.1] | -4.541980658461634
0.9975336926436548 | [-0.   2.1] | -4.516503300876779
0.9977262119531842 | [-0.    2.09] | -4.495846243592516
0.997919699150039 | [-0.    2.09] | -4.47686777698882
0.9981119842682034 | [-0.    2.08] | -4.458203537365199
0.9983017700937454 | [-0.    2.08] | -4.4392630354949345
0.998488060100946 | [-0.    2.07] | -4.419782262835687
0.9986699164914951 | [-0.    2.07] | -4.399631492617367
0.9988463552123694 | [-0.    2.06] | -4.378734535860522
0.9990162955643614 | [-0.    2.06] | -4.357035287730979
0.9991785303131271 | [-0.    2.05] | -4.334483950024957
0.9993317023821591 | [-0.    2.05] | -4.311031318149707
0.9994742823826941 | [-0.    2.04] | -4.286626328744963
0.9996045444591031 | [-0.    2.03] | -4.261214904169225
0.9997205391463111 | [-0.    2.03] | -4.2347392978976055
0.9998200623483534 | [-0.    2.02] | -4.207137619649138
0.9999006196323206 | [-0.    2.01] | -4.178343410243873
[1.] | [ 2.67 -1.64] | -9.955069920462005
0.9966903553149722 | [3.02 1.09] | -10.454424369163045
0.9801813345453136 | [0.99 0.71] | -1.6440091985958123
0.9234230611116766 | [-0.58  1.09] | -1.684695043074056
0.8249762752895652 | [-1.21 -0.62] | -2.0105817381718123
0.7379297871035521 | [ 0.41 -0.27] | -0.4007029597599045
0.6560953201836109 | [0.42 1.07] | -1.4773805688814083
0.5402562056821261 | [-1.14  0.52] | -1.7332763823217943
0.43677587719562705 | [-0.95 -0.82] | -1.7345183172701835
0.4012283017348816 | [ 0.84 -0.13] | -0.8806525234074983
0.36976720831736853 | [0.33 1.46] | -2.400916654332579
0.2947073751322446 | [-1.21  0.78] | -2.2440363604551044
0.24523459431148054 | [-1.45 -1.02] | -3.310916508458256
0.27300426085032864 | [ 0.49 -0.18] | -0.41380835748358413
0.3190817035310194 | [0.26 0.94] | -1.0938341190753855
0.3357592619126316 | [-1.23  0.04] | -1.652091614806757
