2.2, 5.5, 2.2, 6.0, -3.8, 2.2, 2.2, 0.0, 1.2, -1.5, -5.0, -4.0, 2.2, 2.2, 2.2, -0.9, 3.0, 3.0
parameter ends

state | action | reward
[-0.02] | [3.56 3.77] | 0.07904317379809528
-0.04304552474293847 | [11.84  6.93] | 0.08906378710398556
-0.0902123038556369 | [18.22  9.46] | 0.1270669777819098
-0.15737061275634784 | [22.22 11.18] | 0.19496068821841817
-0.23632554727225485 | [24.3  12.27] | 0.28088553434267843
-0.3213309855222396 | [25.17 12.96] | 0.37222162988841506
-0.4089363204021455 | [25.33 13.4 ] | 0.4605346551915875
-0.49718140197512745 | [25.08 13.71] | 0.5411508438514063
-0.5849457429978905 | [24.57 13.93] | 0.6117213475150652
-0.6715620754534661 | [23.91 14.1 ] | 0.6712192620933889
-0.7566113734837607 | [23.15 14.22] | 0.719401736168081
-0.8398185070588218 | [22.3  14.32] | 0.7565366585241733
-0.9209998039773318 | [21.41 14.4 ] | 0.7832536291063215
-1.0000368332755822 | [20.48 14.46] | 0.8004479170158482
-1.0768633743456553 | [19.54 14.52] | 0.8092058553605268
-1.151458971363277 | [18.59 14.56] | 0.8107397306069315
-1.2238457175726714 | [17.66 14.61] | 0.80632924755214
-1.2940865909783068 | [16.75 14.66] | 0.7972703696892078
-1.3622845688907177 | [15.87 14.72] | 0.7848333917148131
-1.428582268056643 | [15.04 14.8 ] | 0.7702318664749018
-1.4931621794038543 | [14.26 14.91] | 0.7546032470076088
-1.5562477920077424 | [13.55 15.04] | 0.7390012603433134
-1.6181060918299837 | [12.92 15.22] | 0.7243993512721276
-1.679052127951706 | [12.38 15.44] | 0.8431780055881641
-1.7432955454024643 | [12.7  19.53] | 0.21535330434116898
-1.7577641017084957 | [-6.02  5.9 ] | -0.29490241711814585
-1.7366831230897166 | [-10.52   2.29] | -0.6005195235394809
-1.697428117646645 | [-14.25  -0.5 ] | -0.8296567340243575
-1.645040391209161 | [-17.08  -2.44] | -0.9547098696011819
-1.5849956742646492 | [-18.9   -3.02] | -0.989516581387629
-1.5215188946469955 | [-20.04  -3.39] | -0.9999741405904341
-1.4561117961484047 | [-20.77  -3.7 ] | -0.9987972894080764
-1.3893701576477788 | [-21.33  -4.04] | -0.9948994990509052
-1.321269977492413 | [-21.88  -4.45] | -0.9937221111404637
-1.251379114602538 | [-22.55  -4.96] | -0.997368404961132
-1.1790254212823426 | [-23.38  -5.59] | -1.0040206514134378
-1.1034769685248755 | [-24.39  -6.3 ] | -1.0087471054810886
-1.0240928784035719 | [-25.53  -7.06] | -1.0041350068841088
-0.9404583342945343 | [-26.72  -7.82] | -0.9814823848530784
-0.8524853319804668 | [-27.87  -8.5 ] | -0.9327980381953264
-0.7604449652029833 | [-28.86  -9.06] | -0.8529480431297806
-0.6649144369370548 | [-29.61  -9.45] | -0.7409952083101644
-0.5666565122823316 | [-30.06  -9.66] | -0.6000796267851874
-0.46648061537372243 | [-30.2   -9.73] | -0.43608428131936666
-0.36513599489877663 | [-30.06  -9.66] | -0.2559875441633307
-0.26325909250352436 | [-29.65  -9.5 ] | -0.06666600684790629
-0.16136725642443847 | [-29.03  -9.27] | 0.12565152936959206
-0.05987927755248067 | [-28.22  -8.99] | 0.3154588019932476
0.04085363427594289 | [-27.25  -8.68] | 0.4977877598936613
0.14051946895408204 | [-26.15  -8.36] | 0.6675955075378072
0.23885821090948192 | [-24.94  -8.04] | 0.8200816034727636
0.335670468955301 | [-23.66  -7.75] | 0.9519546691383041
0.4307962192516087 | [-22.31  -7.52] | 1.0618248118346667
0.5241199122496826 | [-20.91  -7.36] | 1.1501886054337207
0.6155806862501589 | [-19.49  -7.27] | 1.218822592712563
0.7051667508754943 | [-18.07  -7.24] | 1.2697982095506364
0.7928919637562893 | [-16.66  -7.25] | 1.304694706889965
0.8787679355221212 | [-15.26  -7.29] | 1.3243806445062802
0.9627860784640274 | [-13.89  -7.34] | 1.3292709957410775
1.044914491319812 | [-12.54  -7.38] | 1.3197369519515774
1.1251058103110216 | [-11.21  -7.41] | 1.2964259702180385
1.203309721354889 | [-9.93 -7.43] | 1.260418540403372
1.2794856768475709 | [-8.7  -7.45] | 1.2132487358640558
1.353613888820082 | [-7.52 -7.45] | 1.1568393848419711
1.42570424927313 | [-6.41 -7.46] | 1.0933932954843246
1.4958034791764756 | [-5.38 -7.47] | 1.0252687035989538
1.5640010065141428 | [-4.43 -7.5 ] | 0.9548581498151035
1.630434164398511 | [-3.58 -7.55] | 0.8844841519125947
1.6952934228165641 | [-2.84 -7.64] | 0.8163200100931364
1.758828552054232 | [-1.94 -8.64] | 1.2900046763954616
1.8367949023996781 | [ -0.6  -14.47] | 0.6544921620887899
1.8705024422848398 | [10.09 -2.2 ] | 0.12636800299375575
