4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 4.0, -4.0, 0.0, 0.0
parameter ends

state | action | reward
[0.02] | [-0.78  0.78] | -0.002185779935693312
0.049573178767252424 | [-0.77  0.77] | -0.01775891562861818
0.11771387427749719 | [-0.55  0.55] | -0.052324375396676996
0.1996636225198588 | [-0.25  0.25] | -0.08459239727726912
0.27397939322329684 | [ 0.06 -0.06] | -0.09874714651553301
0.33191653325081893 | [ 0.31 -0.31] | -0.09214134016088635
0.37106435277144506 | [ 0.46 -0.46] | -0.0695841597453373
0.39135616795167777 | [ 0.49 -0.49] | -0.03791706549849752
0.3938328934695432 | [ 0.43 -0.43] | -0.003813894979708507
0.3804271394427481 | [ 0.37 -0.37] | 0.027245782172758463
0.3535894595443962 | [ 0.35 -0.35] | 0.05261732838304993
0.31486222972516914 | [ 0.37 -0.37] | 0.07141105159305472
0.2644860726966108 | [ 0.41 -0.41] | 0.08272090272317363
0.20205772682945125 | [ 0.46 -0.46] | 0.08522345045760137
0.1274491047747208 | [ 0.52 -0.52] | 0.07626514789753039
0.04222055458778019 | [ 0.5 -0.5] | 0.0539134245828374
-0.047836605004291766 | [ 0.32 -0.32] | 0.02330871229368417
-0.13165254609694393 | [-0.07  0.07] | -0.004243991135529739
-0.19626738608171287 | [-0.53  0.53] | -0.017732234793627486
-0.2301038226419123 | [-0.89  0.89] | -0.013401427490684088
-0.22179037491208684 | [-1.09  1.09] | 0.0023256438084594214
-0.16346445172129048 | [-1.14  1.14] | 0.00808675268890066
-0.06395784628621146 | [-1.05  1.05] | -0.021963889411154056
0.05490855099853138 | [-0.81  0.81] | -0.07851523844393954
0.1695026568673296 | [-0.44  0.44] | -0.12724831336273965
0.26588567183557227 | [-0.07  0.07] | -0.14937276435250155
0.3402012102848325 | [ 0.24 -0.24] | -0.14371110753314517
0.3928593379233441 | [ 0.44 -0.44] | -0.11753887319896915
0.4254216331311905 | [ 0.51 -0.51] | -0.08007264217802378
0.440093475942896 | [ 0.46 -0.46] | -0.039879047676183756
0.4396023440111177 | [ 0.35 -0.35] | -0.00325011857288134
0.42717823972996266 | [ 0.29 -0.29] | 0.027588192761684185
0.4056321624321493 | [ 0.28 -0.28] | 0.053620618068527026
0.37622718162967184 | [ 0.29 -0.29] | 0.0755454380631078
0.3389928702193428 | [ 0.31 -0.31] | 0.09292955595015817
0.2933272352594216 | [ 0.33 -0.33] | 0.10499533167213114
0.23838992702095052 | [ 0.38 -0.38] | 0.111264500641167
0.17333983416106596 | [ 0.45 -0.45] | 0.11102043279229395
0.09762904789875043 | [ 0.52 -0.52] | 0.10147592877735193
0.01212665136518189 | [ 0.53 -0.53] | 0.08014220843502343
-0.07833412994224435 | [ 0.36 -0.36] | 0.0488299790142583
-0.1637231742359459 | [-0.03  0.03] | 0.015021125625111827
-0.23109504099777503 | [-0.57  0.57] | -0.010576642277037565
-0.2670259626819136 | [-1.1  1.1] | -0.02164571496550576
-0.2581591402237197 | [-1.52  1.52] | -0.018728487231362764
-0.19876109346817397 | [-1.65  1.65] | -0.01533571168919442
-0.09925314851865091 | [-1.5  1.5] | -0.040935602801831714
0.020535039870060685 | [-1.14  1.14] | -0.10068304802603295
0.141182679490827 | [-0.69  0.69] | -0.16284999470733727
0.24817433408586684 | [-0.26  0.26] | -0.19677396871834027
0.3339770209415646 | [ 0.1 -0.1] | -0.1966724968557771
0.397917425400426 | [ 0.33 -0.33] | -0.1725346326260482
0.44202212392232665 | [ 0.44 -0.44] | -0.13514187689658033
0.46915007678583215 | [ 0.43 -0.43] | -0.09402557126088705
0.4824889953331473 | [ 0.34 -0.34] | -0.05671580357232462
0.485330857987317 | [ 0.22 -0.22] | -0.028004805566383073
0.4810362672386777 | [ 0.15 -0.15] | -0.00756389767590787
0.4723037331427833 | [ 0.12 -0.12] | 0.008293031673180046
0.4605825775859343 | [ 0.11 -0.11] | 0.022081398222752742
0.4464271724771486 | [ 0.1 -0.1] | 0.034687765910454776
0.4299964425308815 | [ 0.1 -0.1] | 0.04608015000886996
0.4113205399812795 | [ 0.1 -0.1] | 0.055862617542847146
0.39042132849736694 | [ 0.09 -0.09] | 0.06359841453306704
0.367366841889898 | [ 0.08 -0.08] | 0.0689894115895451
0.3422976607118847 | [ 0.07 -0.07] | 0.07195466123999893
0.31544111949808606 | [ 0.06 -0.06] | 0.07262365497013533
0.2871212876628766 | [ 0.05 -0.05] | 0.07126294669555171
0.2577713180353292 | [ 0.04 -0.04] | 0.0681639216564087
0.22795489439735886 | [ 0.02 -0.02] | 0.06353151438298237
0.1984022970862576 | [-1.73e-05  1.73e-05] | 0.05740114332927125
0.17006352874552894 | [-0.03  0.03] | 0.04957344296404852
0.1441822671120888 | [-0.06  0.06] | 0.03960417170458368
0.12237783621738753 | [-0.11  0.11] | 0.026873250906441017
0.10665792380259405 | [-0.15  0.15] | 0.010749927315536431
0.09923566127506249 | [-0.18  0.18] | -0.008836670318171
0.10191172522386607 | [-0.16  0.16] | -0.02950501099044636
0.11458829880706758 | [-0.12  0.12] | -0.04665352272901307
0.1343928250311861 | [-0.06  0.06] | -0.056408656239261126
0.15701228867490988 | [ 0.02 -0.02] | -0.05686334697625277
0.17830765886937108 | [ 0.08 -0.08] | -0.048553429919970484
0.19526577054769387 | [ 0.12 -0.12] | -0.03379272911840509
0.2061637096539319 | [ 0.14 -0.14] | -0.015720083429331757
0.21037632448936353 | [ 0.13 -0.13] | 0.0023370455256894007
0.20818708697519087 | [ 0.09 -0.09] | 0.01691373579907409
0.2008232207756288 | [ 0.05 -0.05] | 0.02545816636559159
0.19027086072266422 | [ 0.01 -0.01] | 0.027778342025759593
0.1786596043165113 | [-0.03  0.03] | 0.024974728663561575
0.16790121250110707 | [-0.06  0.06] | 0.01826078429393935
0.1596076300075543 | [-0.08  0.08] | 0.008679485395006136
0.1550429770999108 | [-0.09  0.09] | -0.002642416169142495
0.1549650550959368 | [-0.08  0.08] | -0.013895341935759635
0.15928999770224425 | [-0.05  0.05] | -0.022536880073429636
0.1668425210719661 | [-0.01  0.01] | -0.026592032044745573
0.175722882876126 | [ 0.02 -0.02] | -0.025370902986072696
0.1839344823740453 | [ 0.06 -0.06] | -0.019459708358109066
0.18986152163086814 | [ 0.07 -0.07] | -0.010367104304756583
0.19250144252054144 | [ 0.07 -0.07] | -8.919150657677374e-05
0.1915264556774725 | [ 0.06 -0.06] | 0.009155876327816581
0.1873127031453599 | [ 0.03 -0.03] | 0.0153928423263178
0.18086957724408728 | [ 0.01 -0.01] | 0.01771153640180366
0.1735365302903742 | [-0.02  0.02] | 0.01618552764000866
0.16669229415738324 | [-0.04  0.04] | 0.011396172478027159
0.16157196314239414 | [-0.06  0.06] | 0.004181004282731322
0.1591259812934863 | [-0.06  0.06] | -0.004336886679524173
0.15985402056552447 | [-0.05  0.05] | -0.012504056916289853
0.16358321972976264 | [-0.03  0.03] | -0.018394972076698428
0.169393976323466 | [-0.  0.] | -0.020638277862673263
0.1758997946949254 | [ 0.03 -0.03] | -0.018805516286589632
0.18164884186103836 | [ 0.05 -0.05] | -0.013415088907301038
0.1854532891671132 | [ 0.06 -0.06] | -0.005702639370637231
0.18658169077586112 | [ 0.06 -0.06] | 0.002677011569631229
0.18484486641754422 | [ 0.04 -0.04] | 0.00986304261825957
0.1806446778057571 | [ 0.02 -0.02] | 0.014335446632154542
0.17487529650579803 | [-0.  0.] | 0.015427653193164437
0.1686799103355049 | [-0.02  0.02] | 0.013190330917982345
0.16323333810875357 | [-0.04  0.04] | 0.00811521185648324
0.15957819449854113 | [-0.05  0.05] | 0.0010070778854868504
0.1584741131791193 | [-0.05  0.05] | -0.006944937776454339
0.16021945655519482 | [-0.04  0.04] | -0.014037075225207918
0.16445942847158632 | [-0.02  0.02] | -0.01855201956358431
0.17021536181859503 | [ 0.01 -0.01] | -0.019415460790411242
0.17617581801991145 | [ 0.03 -0.03] | -0.016449995250344147
0.18104329488698634 | [ 0.05 -0.05] | -0.010333882418539702
0.18380681756741027 | [ 0.06 -0.06] | -0.00237482554401144
0.18390175348965546 | [ 0.05 -0.05] | 0.005733728501189486
0.1812966995873353 | [ 0.04 -0.04] | 0.012174833933814279
0.17652536394624269 | [ 0.01 -0.01] | 0.015658482447599723
0.17054105184867258 | [-0.01  0.01] | 0.015710296757538635
0.1644887168096415 | [-0.03  0.03] | 0.012470231416147979
0.1595156767264527 | [-0.05  0.05] | 0.006475964473286055
0.1566164453483905 | [-0.06  0.06] | -0.0013927073958296269
0.15647107145041084 | [-0.05  0.05] | -0.009757898210294826
0.15923638557317354 | [-0.04  0.04] | -0.016722521796905487
0.16436625252713408 | [-0.01  0.01] | -0.020566795787430328
0.17072195657599185 | [ 0.01 -0.01] | -0.02034641613084924
0.17690306733330466 | [ 0.04 -0.04] | -0.01608944031988269
0.18159754502494718 | [ 0.06 -0.06] | -0.008699473218930637
0.1838383563648876 | [ 0.06 -0.06] | 0.00030200165487330276
0.18314804004576868 | [ 0.05 -0.05] | 0.00899055776856141
0.17963154690076957 | [ 0.03 -0.03] | 0.015438887807465728
0.17397852473192174 | [ 0.01 -0.01] | 0.018454265955301707
0.16726982566106732 | [-0.01  0.01] | 0.017692633551356564
0.16074743659275267 | [-0.04  0.04] | 0.013385274902824177
0.15563579331733848 | [-0.06  0.06] | 0.006133676137692327
0.15298822211102628 | [-0.06  0.06] | -0.0030837371342831888
0.15350589346807758 | [-0.06  0.06] | -0.012633468646318459
0.1572747183736575 | [-0.04  0.04] | -0.020285972928199603
0.16356965981210858 | [-0.01  0.01] | -0.02411978111113144
0.17102891487052382 | [ 0.02 -0.02] | -0.023168082501682914
0.1780513591934987 | [ 0.05 -0.05] | -0.017599528644502697
0.18318729182390228 | [ 0.07 -0.07] | -0.008561470030497821
0.18540472695463556 | [ 0.07 -0.07] | 0.0021283797550331277
0.18423103303816485 | [ 0.06 -0.06] | 0.012186348434726013
0.17985695010094188 | [ 0.04 -0.04] | 0.019423693439323566
0.17311770097212445 | [ 0.01 -0.01] | 0.022612890822738194
0.16525201207714063 | [-0.02  0.02] | 0.021477765130789778
0.15765584297394736 | [-0.04  0.04] | 0.016310934034817978
0.1517090073785552 | [-0.06  0.06] | 0.0077355290937108434
0.14862744323211863 | [-0.08  0.08] | -0.003241804173736168
0.14926602969134145 | [-0.07  0.07] | -0.014791411174215325
0.15378498640014607 | [-0.05  0.05] | -0.02422173183548495
0.16136519360415905 | [-0.02  0.02] | -0.029135839457505655
0.1704012841164216 | [ 0.02 -0.02] | -0.028289165101035192
0.17899127118989558 | [ 0.06 -0.06] | -0.02182597199197836
0.18541257968466754 | [ 0.08 -0.08] | -0.01107336426429823
0.18843034329342057 | [ 0.09 -0.09] | 0.001845790585312279
0.18744671729590567 | [ 0.07 -0.07] | 0.0142280977543572
0.1826162852920024 | [ 0.05 -0.05] | 0.023396872214441478
0.17484865771779132 | [ 0.02 -0.02] | 0.027861215637197016
0.16552678320420236 | [-0.01  0.01] | 0.027311436115851125
0.1562199106917158 | [-0.04  0.04] | 0.022062203744786096
0.1485088961135033 | [-0.07  0.07] | 0.012691810336409029
0.14386088240520312 | [-0.09  0.09] | 6.745272149693421e-05
0.1434489156318065 | [-0.09  0.09] | -0.014120315257596702
0.1477869692948919 | [-0.07  0.07] | -0.026795669683878878
0.1562401567127445 | [-0.04  0.04] | -0.03472180108255492
0.16707398634327408 | [ 0.01 -0.01] | -0.03588849043125048
0.1780261192189631 | [ 0.05 -0.05] | -0.030004057949082813
0.18693607983638533 | [ 0.09 -0.09] | -0.018321843413652863
0.1921649360983449 | [ 0.1 -0.1] | -0.0031477458744279888
0.19278216615910837 | [ 0.1 -0.1] | 0.012504979083376918
0.1886685349763608 | [ 0.07 -0.07] | 0.025240395048701198
0.18060796010385205 | [ 0.04 -0.04] | 0.03280543752563385
0.17003559431854348 | [ 0. -0.] | 0.03459441913185325
0.1586604864205626 | [-0.03  0.03] | 0.030898960328496834
0.14824995356586584 | [-0.06  0.06] | 0.022259044094368945
0.14053238024625572 | [-0.09  0.09] | 0.009294975381700554
0.13708829749400653 | [-0.11  0.11] | -0.006943097652007764
0.13908576930543953 | [-0.1  0.1] | -0.023856214519223238
0.14666274476381064 | [-0.07  0.07] | -0.03733944449408954
0.1584544509549294 | [-0.03  0.03] | -0.0439017120199478
0.1720085579671496 | [ 0.03 -0.03] | -0.041951276233894545
0.18460593868988265 | [ 0.08 -0.08] | -0.031993420037054424
0.19393867873355286 | [ 0.11 -0.11] | -0.01612402810185221
0.19844742100357213 | [ 0.12 -0.12] | 0.002616373965378577
0.19742011529580827 | [ 0.11 -0.11] | 0.020427532046136416
0.19110246571179207 | [ 0.07 -0.07] | 0.033596965151706126
0.18069897075586086 | [ 0.04 -0.04] | 0.04038964667220861
0.16794353431880826 | [-0.  0.] | 0.04078861120224247
0.1547230169548074 | [-0.04  0.04] | 0.03539170420898764
0.14293256231485374 | [-0.08  0.08] | 0.024764509440391803
0.13444218812613415 | [-0.11  0.11] | 0.009406558645088181
0.13101047752124642 | [-0.13  0.13] | -0.009677977505190064
0.13396531443166276 | [-0.12  0.12] | -0.029413221828312023
0.14338675691958908 | [-0.09  0.09] | -0.044898268162186054
0.1575558208606383 | [-0.03  0.03] | -0.05211094466481243
0.1735430677643212 | [ 0.04 -0.04] | -0.04938119161979549
0.18822550235435376 | [ 0.09 -0.09] | -0.03750223635808535
0.19905059619706386 | [ 0.13 -0.13] | -0.01901422810410894
0.2043557819930719 | [ 0.14 -0.14] | 0.002583647251818082
0.20341841108926972 | [ 0.12 -0.12] | 0.022987810166209523
0.19654935509060692 | [ 0.08 -0.08] | 0.03802936494352578
0.18509049719539047 | [ 0.04 -0.04] | 0.04594161627083823
0.1709111163640366 | [ 0. -0.] | 0.04693845501708814
0.15598985985660865 | [-0.03  0.03] | 0.04181787907872752
0.1422899063749773 | [-0.07  0.07] | 0.031184331864975344
0.13177623890410628 | [-0.11  0.11] | 0.01537617155882644
0.12639352493424974 | [-0.14  0.14] | -0.005026985624417692
0.12782280647425098 | [-0.14  0.14] | -0.027526613140489334
0.13666926316367697 | [-0.11  0.11] | -0.046854108604125644
0.15152562809570294 | [-0.05  0.05] | -0.057926792419272816
0.16934793650365582 | [ 0.02 -0.02] | -0.05809584029384385
0.18661631305329776 | [ 0.08 -0.08] | -0.047619084799241804
0.20032338175578535 | [ 0.13 -0.13] | -0.02893512184234672
0.20841963683148954 | [ 0.15 -0.15] | -0.005672164511068174
0.20987288875707372 | [ 0.14 -0.14] | 0.017786933513521987
0.20468177276921942 | [ 0.11 -0.11] | 0.03657349133892033
0.1939795224364554 | [ 0.06 -0.06] | 0.04791262078584702
0.17962464771111103 | [ 0.02 -0.02] | 0.051711042518572586
0.1636447948643794 | [-0.02  0.02] | 0.048907101777080055
0.14803047873666342 | [-0.05  0.05] | 0.04031222691942807
0.13475802294227482 | [-0.09  0.09] | 0.026290215658031062
0.12584494532881882 | [-0.13  0.13] | 0.007035454047443472
0.12326276288878123 | [-0.15  0.15] | -0.016384652035817484
0.12845466999695584 | [-0.14  0.14] | -0.03980754045867178
0.14116247753861863 | [-0.1  0.1] | -0.057187491208579064
0.15895500684624914 | [-0.03  0.03] | -0.06407082949603862
0.1781967186038363 | [ 0.05 -0.05] | -0.05909760037151693
0.19532192597850667 | [ 0.11 -0.11] | -0.043774770687263695
0.2076221323641805 | [ 0.15 -0.15] | -0.021394469124646147
0.2134660457575522 | [ 0.16 -0.16] | 0.0038981984965664384
0.21225882524271977 | [ 0.13 -0.13] | 0.027153355376549126
0.20451405672916637 | [ 0.09 -0.09] | 0.043852574607894435
0.1918016213839966 | [ 0.05 -0.05] | 0.0525114619467051
