-0.4, -2.4, 3.2, -5.7, -3.3, 1.1, -1.6, -0.3, 1.1, 4.5, 2.1, -0.9, -4.4, 0.5, -2.7, -1.7, -1.3, -0.7
parameter ends

state | action | reward
[0.04] | [-1.47 -1.22] | 0.04454538769282494
0.05529922207894867 | [ 5.1  -3.76] | -0.007942044564268044
0.052862284582873884 | [-2.7  12.93] | -0.030680709633525476
0.05379867649364064 | [ 5.2  -6.51] | -0.03239764245777232
0.05379299430516144 | [-2.48 10.57] | -0.033883410991461846
0.05595118870484951 | [ 5.33 -7.79] | -0.037103852365860654
0.056982744965990394 | [-2.28  9.08] | -0.031116840327801668
0.05957772430313458 | [ 5.42 -8.48] | -0.036759048576055144
0.06096100122054271 | [-2.12  8.05] | -0.027488567331097287
0.06359188665800415 | [ 5.5  -8.87] | -0.035231096256282006
0.06498851294209652 | [-2.    7.31] | -0.024274085854795277
0.06745443367098516 | [ 5.55 -9.12] | -0.03366011007808408
0.06869845068258755 | [-1.9   6.73] | -0.021721356986403453
0.07090424888493191 | [ 5.6  -9.28] | -0.03236911539200075
0.07191838873530117 | [-1.8   6.28] | -0.019794975464761173
0.07382532363450572 | [ 5.65 -9.38] | -0.03141535371759297
0.07457912465199573 | [-1.71  5.89] | -0.018390497072930126
0.0761786263060535 | [ 5.69 -9.45] | -0.030769050500422772
0.07666662416953947 | [-1.63  5.56] | -0.017399008553036124
0.07796606769532757 | [ 5.74 -9.5 ] | -0.030377479498071708
0.07819597851883076 | [-1.54  5.27] | -0.016726824641597922
0.07921076398036074 | [ 5.79 -9.54] | -0.030187796467385706
0.07919689157230488 | [-1.46  5.01] | -0.016298673329558304
0.07994600595724446 | [ 5.83 -9.56] | -0.030153907235167164
0.07970557293048126 | [-1.37  4.77] | -0.01605551904156724
0.08020926418924512 | [ 5.88 -9.58] | -0.030238037511415423
0.07976046804460839 | [-1.28  4.55] | -0.0159519262894542
0.08003890324095993 | [ 5.93 -9.6 ] | -0.030410445679071068
0.07939979808892057 | [-1.19  4.34] | -0.015954128354841186
0.07947230928962602 | [ 5.98 -9.61] | -0.030648339030341212
0.07866019735476773 | [-1.1   4.15] | -0.016034992726573105
0.07854515270163676 | [ 6.04 -9.62] | -0.03093292244757858
0.0775764687717524 | [-1.01  3.96] | -0.016173495473651895
0.07729101570925709 | [ 6.09 -9.63] | -0.03124959968647846
0.07618108953693986 | [-0.92  3.78] | -0.024921430600348595
0.07378943285008072 | [ 5.58 -8.95] | -0.04540976259512415
0.06896338496575337 | [-1.28  4.14] | -0.031565916403691836
0.0651145964261975 | [ 5.78 -9.08] | -0.04330960646801266
0.06084350451619819 | [-1.02  3.76] | -0.02917691251565438
0.057453547626760804 | [ 5.94 -9.19] | -0.0417513578464098
0.053612976582708735 | [-0.79  3.42] | -0.04691444166162722
0.04584039541941652 | [ 4.69 -7.62] | -0.07164987568308936
0.03350291596034416 | [-1.72  4.4 ] | -0.05824623437541317
0.02279047217653749 | [ 5.13 -8.  ] | -0.06327794490677344
0.012336086234944567 | [-1.15  3.63] | -0.04997383788890693
0.0031994666999375547 | [ 5.49 -8.29] | -0.05742660358610168
-0.005800427710814664 | [-0.66  2.99] | -0.06774490212108274
-0.02098899568591404 | [ 3.56 -6.03] | -0.08816386150419121
-0.042556987412662645 | [-2.05  4.34] | -0.0736692472683905
-0.06155447346469248 | [ 4.31 -6.73] | -0.0712911174122322
-0.07954814585254096 | [-1.08  3.1 ] | -0.05831304130870731
-0.09563221251342874 | [ 4.9  -7.26] | -0.06065077479127754
-0.11097495682976764 | [-0.28  2.1 ] | -0.06997754097161164
-0.13848356273762244 | [ 1.   -3.26] | -0.072849615959298
-0.17668375868491826 | [-3.02  4.48] | -0.05497209287261372
-0.20975722517134235 | [ 2.59 -4.85] | -0.04184717350532695
-0.24005761600100955 | [-1.21  2.35] | -0.030087724218444595
-0.26699187532044427 | [ 3.69 -5.93] | -0.02722949497127815
-0.2920505937285221 | [0.15 0.77] | -0.014649158789484662
-0.33238492349827625 | [-1.05 -1.15] | -0.05293876863497205
-0.35469750414763807 | [ 7.13 -4.74] | -0.24353985826381908
-0.3726157503155231 | [4.12 0.57] | -0.19941338782551252
-0.41616799472182275 | [-1.12  2.08] | -0.03964160703533876
-0.4557184101346274 | [ 3.13 -4.57] | -0.03875568045377254
-0.4908682738882285 | [ 1.32 -0.64] | -0.10059787509567436
-0.5416536121232156 | [-0.17  1.35] | -0.017463395329179073
-0.593789286719917 | [ 0.03 -2.31] | -0.04650515205829087
-0.6351357657445855 | [ 4.25 -2.99] | -0.18634953179461172
-0.6712166838657454 | [ 7.28 -7.93] | -0.13968504855340552
-0.6602459040711842 | [ 12.18 -12.74] | -0.1740994125426996
-0.6460008360762588 | [ 11.4  -11.77] | -0.16939700250156092
-0.6357986658269876 | [ 11.05 -11.4 ] | -0.1646398082124518
-0.6269558981439204 | [ 10.95 -11.35] | -0.16072491853784912
-0.6185514106644682 | [ 10.92 -11.35] | -0.15715734714652602
-0.6103904301594302 | [ 10.9  -11.37] | -0.15378020094882927
-0.602434489116416 | [ 10.88 -11.39] | -0.15055471021445258
-0.5946705857834836 | [ 10.86 -11.41] | -0.14746718376240533
-0.5870893625283108 | [ 10.84 -11.43] | -0.14450860460913398
-0.5796823117915961 | [ 10.82 -11.45] | -0.14167116009838074
-0.572441504634422 | [ 10.81 -11.47] | -0.13894770700159456
-0.5653595451670091 | [ 10.79 -11.48] | -0.13633165890949234
-0.5584295291232392 | [ 10.78 -11.5 ] | -0.13381692892944383
-0.5516450019811764 | [ 10.76 -11.52] | -0.13139788265996716
-0.5449999203137904 | [ 10.75 -11.53] | -0.12906929655442775
-0.5384886170426134 | [ 10.73 -11.55] | -0.12682632081557882
-0.5321057703063156 | [ 10.72 -11.56] | -0.12466444627481958
-0.5258463755234889 | [ 10.71 -11.58] | -0.12257947476973084
-0.5197057202628119 | [ 10.7  -11.59] | -0.120567492593173
-0.5136793615852737 | [ 10.69 -11.6 ] | -0.11862484664463988
-0.5077631055692017 | [ 10.67 -11.62] | -0.11674812296469068
-0.5019529887679129 | [ 10.66 -11.63] | -0.1149341273761342
-0.49624526138292413 | [ 10.65 -11.64] | -0.11317986799206506
-0.4906363719638005 | [ 10.64 -11.65] | -0.11148253938191022
-0.48512295346975803 | [ 10.63 -11.67] | -0.10983950821321832
-0.4797018105487045 | [ 10.62 -11.68] | -0.10824830020970833
-0.47436990790708033 | [ 10.61 -11.69] | -0.10670658828567399
-0.46912435965908694 | [ 10.6 -11.7] | -0.10521218173375906
-0.46396241955704653 | [ 10.6  -11.71] | -0.10376301635770174
-0.4588814720160379 | [ 10.59 -11.72] | -0.1023571454543652
-0.45387902385585444 | [ 10.58 -11.73] | -0.10099273156035252
-0.4489526966919572 | [ 10.57 -11.75] | -0.09966803888807811
-0.44410021991462617 | [ 10.56 -11.76] | -0.09838142638462796
-0.43931942420210535 | [ 10.55 -11.77] | -0.0971313413539641
-0.4346082355193174 | [ 10.55 -11.78] | -0.0959163135895724
-0.42996466955880924 | [ 10.54 -11.79] | -0.0947349499702142
-0.4253868265850676 | [ 10.53 -11.8 ] | -0.09358592947646978
-0.4208728866472986 | [ 10.53 -11.81] | -0.09246799859013806
-0.41642110512926345 | [ 10.52 -11.81] | -0.0913799670424587
-0.41202980860786476 | [ 10.51 -11.82] | -0.09032070388051927
-0.40769739099492863 | [ 10.51 -11.83] | -0.08928913382429221
-0.40342230993908296 | [ 10.5  -11.84] | -0.08828423388947168
-0.3992030834668105 | [ 10.49 -11.85] | -0.08730503025363047
-0.39503828684371006 | [ 10.49 -11.86] | -0.08635059534544137
-0.3909265496387391 | [ 10.48 -11.87] | -0.08542004513857239
-0.38686655297577394 | [ 10.48 -11.88] | -0.08451253663362161
-0.3828570269582257 | [ 10.47 -11.89] | -0.08362726551293993
-0.3788967482537085 | [ 10.47 -11.89] | -0.0827634639546606
-0.37498453782688773 | [ 10.46 -11.9 ] | -0.08192039859338025
-0.3711192588096606 | [ 10.45 -11.91] | -0.08109736861614217
-0.36729981449873766 | [ 10.45 -11.92] | -0.08029370398332814
-0.36352514647153117 | [ 10.44 -11.93] | -0.07950876376498354
-0.3597942328120055 | [ 10.44 -11.93] | -0.07874193458390212
-0.35610608643882974 | [ 10.44 -11.94] | -0.07799262915756554
-0.35245975352878994 | [ 10.43 -11.95] | -0.07726028493166172
-0.348854312028982 | [ 10.43 -11.96] | -0.07654436279853404
-0.3452888702518164 | [ 10.42 -11.96] | -0.07584434589446426
-0.3417625655473325 | [ 10.42 -11.97] | -0.07515973847016919
-0.33827456304774245 | [ 10.41 -11.98] | -0.07449006482936885
-0.33482405447951474 | [ 10.41 -11.98] | -0.07383486833066942
-0.3314102570386584 | [ 10.4  -11.99] | -0.07319371044840584
-0.32803241232519254 | [ 10.4 -12. ] | -0.07256616988841416
-0.32468978533308324 | [ 10.4  -12.01] | -0.07195184175500693
-0.32138166349220043 | [ 10.39 -12.01] | -0.07135033676574384
-0.3181073557590941 | [ 10.39 -12.02] | -0.0707612805108051
-0.3148661917536207 | [ 10.38 -12.03] | -0.07018431275406209
-0.31165752093865795 | [ 10.38 -12.03] | -0.06961908677309535
-0.3084807118403404 | [ 10.38 -12.04] | -0.06906526873570248
-0.305335151306425 | [ 10.37 -12.05] | -0.06852253711051173
-0.30222024380056034 | [ 10.37 -12.05] | -0.06799058210956463
-0.2991354107303837 | [ 10.37 -12.06] | -0.06746910516089376
-0.296080089807509 | [ 10.36 -12.06] | -0.06695781840915897
-0.2930537344375986 | [ 10.36 -12.07] | -0.0664564442426967
-0.2900558131388291 | [ 10.36 -12.08] | -0.06596471484529648
-0.2870858089871738 | [ 10.35 -12.08] | -0.0654823717712664
-0.28414321908702256 | [ 10.35 -12.09] | -0.06500916554235768
-0.2812275540657599 | [ 10.35 -12.09] | -0.06454485526524163
-0.27833833759100296 | [ 10.34 -12.1 ] | -0.06408920826836068
-0.2754751059092883 | [ 10.34 -12.11] | -0.06364199975698634
-0.272637407405068 | [ 10.34 -12.11] | -0.06320301248545085
-0.26982480217894766 | [ 10.33 -12.12] | -0.06277203644554291
-0.2670368616441626 | [ 10.33 -12.12] | -0.06234886857017961
-0.26427316814035134 | [ 10.33 -12.13] | -0.06193331245144482
-0.2615333145637395 | [ 10.32 -12.14] | -0.06152517807221883
-0.2588169040129021 | [ 10.32 -12.14] | -0.06112428155064682
-0.2561235494493197 | [ 10.32 -12.15] | -0.060730444896704996
-0.2534528733719906 | [ 10.32 -12.15] | -0.060343495780243464
-0.2508045075054036 | [ 10.31 -12.16] | -0.05996326730983912
-0.24817809250021633 | [ 10.31 -12.16] | -0.05958959782189431
-0.2455732776460201 | [ 10.31 -12.17] | -0.059222330679457286
-0.24298972059560986 | [ 10.31 -12.17] | -0.05886131408019863
