-1.9, 2.6, 0.9, 1.4, 3.5, -3.1, -2.2, 1.3, 0.3, -2.8, 0.1, -0.2, 1.1, 1.3, -7.0, 2.2, 0.8, -2.0
parameter ends

state | action | reward
[-0.01] | [ 1.85 -2.55] | -0.050834348503576585
-0.04145976089312485 | [30.04 -9.9 ] | -0.1935051765095656
-0.12318174247703755 | [ 45.06 -13.34] | -0.38275867939470154
-0.22376824023271435 | [ 48.76 -13.51] | -0.49259137355538735
-0.32549313448519374 | [ 47.87 -12.34] | -0.5508064814496979
-0.42280837236577556 | [ 45.71 -10.8 ] | -0.5979072791259306
-0.513546020030732 | [43.18 -9.18] | -0.6603459821514489
-0.595483852417018 | [40.44 -7.56] | -0.7499706101218425
-0.6663634520648313 | [37.49 -5.96] | -0.920206319018638
-0.7173046998823824 | [32.35 -5.26] | -1.3599902628171427
-0.666505556423473 | [-3.51  4.09] | -0.3165010665255703
-0.6299749334160926 | [-11.88   6.05] | -0.1344447698724614
-0.5861163543925134 | [-17.71   7.28] | 0.0538127404544247
-0.5366357351814105 | [-23.27   8.42] | 0.22264504383873915
-0.4811597833144452 | [-28.87   9.57] | 0.3530897992542794
-0.4174482339995732 | [-34.84  10.82] | 0.4380840053253747
-0.3420629669142705 | [-41.5   12.26] | 0.47886611460003076
-0.2511470326885036 | [-48.99  13.93] | 0.4783855719989896
-0.14183641859792562 | [-56.79  15.66] | 0.43090578962103054
-0.015437812900446927 | [-62.68  16.79] | 0.3217554051094165
0.11918801005267353 | [-62.91  16.17] | 0.19380624421012488
0.2492574381820097 | [-58.14  13.98] | 0.10407127258575849
0.36885272284159243 | [-52.96  11.58] | 0.0213981441582603
0.4782715116300902 | [-48.53   9.34] | -0.0640219054349764
0.579091227851203 | [-44.76   7.27] | -0.1514968292138067
0.6722018191893222 | [-41.33   5.31] | -0.2559580686192479
0.7565604673142489 | [-37.85   3.36] | -0.38985093951934774
0.8301084716019416 | [-34.12   1.39] | -0.5519865992191209
0.8910473434606077 | [-30.2   -0.57] | -0.7600039228106297
0.8803238918595562 | [ 7.68 -8.76] | -0.3795106154523116
0.845588129314558 | [13.62 -9.91] | -0.25598103542147543
0.802925630051414 | [ 18.79 -10.8 ] | -0.11614481829808383
0.7544994395192006 | [ 23.64 -11.6 ] | 0.002417784265673989
0.700151252080355 | [ 28.63 -12.44] | 0.07203719765616302
0.6377662741770919 | [ 34.15 -13.47] | 0.07798789700884948
0.5639292576610475 | [ 40.53 -14.77] | 0.016347840677884834
0.4746924374226734 | [ 47.88 -16.37] | -0.10825579791032264
0.36693478756091 | [ 55.7  -18.11] | -0.281060398086891
0.2414707734677037 | [ 61.88 -19.37] | -0.4669320376063353
0.10670330457047367 | [ 62.8  -19.06] | -0.5856476981591417
-0.024433866710223177 | [ 58.66 -17.16] | -0.6146168657558517
-0.14535974503697 | [ 53.94 -15.  ] | -0.628456634731174
-0.25606248373267 | [ 49.95 -12.97] | -0.6478990258511786
-0.35802389691408004 | [ 46.59 -11.09] | -0.6713572380333871
-0.4522708095294087 | [43.57 -9.31] | -0.7117105693606992
-0.5378848504361035 | [40.59 -7.59] | -0.7814912244058834
-0.6128056673556769 | [37.5  -5.91] | -0.8808229276899646
-0.6751556907815969 | [34.32 -4.28] | -0.727290335088065
-0.6813568079068435 | [-4.89  4.47] | -0.3233126499179796
-0.6447319245232288 | [-11.49   5.92] | -0.14427811775180663
-0.6008546052916669 | [-17.4    7.18] | 0.04511558542516333
-0.5516792591786526 | [-23.     8.34] | 0.21407260453393723
-0.496843784058559 | [-28.62   9.49] | 0.34279457888193987
-0.4340923617206341 | [-34.59  10.74] | 0.4234652398288276
-0.359930181127912 | [-41.22  12.16] | 0.4569863933957027
-0.270375995641131 | [-48.65  13.8 ] | 0.4472176323110387
-0.16231807279603794 | [-56.41  15.51] | 0.3920260882929576
-0.036637458761722475 | [-62.34  16.67] | 0.281969848611184
0.09817716648679449 | [-62.75  16.12] | 0.1591817996012433
0.229208762677441 | [-58.05  13.97] | 0.07720237408047187
0.3499949957496028 | [-52.86  11.58] | 0.0018040598042310951
0.46056922291053576 | [-48.43   9.35] | -0.07807607651861359
0.5624227780798793 | [-44.67   7.29] | -0.16063994083827463
0.6565602823231808 | [-41.25   5.32] | -0.2603489042691155
0.7420397328132722 | [-37.78   3.37] | -0.39021524362661564
0.816796681808775 | [-34.07   1.4 ] | -0.5496132404079038
0.8789640659535676 | [-30.16  -0.57] | -0.5704526845152772
0.8856714634030272 | [ 8.06 -8.8 ] | -0.40108399687364005
0.848423655847001 | [13.95 -9.94] | -0.2673507000420893
0.8041221024242818 | [ 19.07 -10.83] | -0.12166978678215298
0.7546385110865793 | [ 23.9  -11.63] | -0.0011438924214915575
0.6995326053689033 | [ 28.88 -12.48] | 0.0679939974710197
0.6364915604055803 | [ 34.41 -13.52] | 0.07226751828227926
0.5619851307136543 | [ 40.81 -14.83] | 0.008559275436044983
0.4720207895007248 | [ 48.19 -16.44] | -0.11799711762587697
0.3635229644132285 | [ 55.98 -18.18] | -0.29207244704915025
0.23750455157339317 | [ 62.04 -19.4 ] | -0.477265608237136
0.10262321479483943 | [ 62.73 -19.01] | -0.5922139332169403
