-2.7, -4.8, 3.3, -1.3, -2.1, 3.8, -0.3, -0.5, -1.1, -3.1, -2.5, 4.6, -6.8, 2.7, -7.8, -5.5, 1.2, 2.6
parameter ends

state | action | reward
[0.09] | [1.57 2.43] | -0.10430717807230999
0.07605173795102135 | [-9.02 -5.63] | -0.10899170531833334
0.06397278873329096 | [2.39 3.26] | -0.0965678534502656
0.052288699930184014 | [-8.25 -4.86] | -0.09975381334429392
0.04188740150609309 | [3.04 3.94] | -0.09097863854958502
0.031785127449336134 | [-7.62 -4.21] | -0.09273894671836103
0.022771233681690567 | [3.58 4.49] | -0.08685408689988221
0.013981097753856246 | [-7.09 -3.67] | -0.08730326718326854
0.006130182683279723 | [4.02 4.96] | -0.08374978947760026
-0.0015571660659482052 | [-6.64 -3.21] | -0.08301441639817962
-0.008422277179046478 | [4.4  5.35] | -0.08137008049842293
-0.015174089092931508 | [-6.25 -2.81] | -0.07957432138246576
-0.02119707980360936 | [4.71 5.68] | -0.07951117609113421
-0.02714922743848166 | [-5.92 -2.47] | -0.07677109072541939
-0.03244814939897102 | [4.98 5.97] | -0.07802985686485968
-0.03771226626051731 | [-5.63 -2.17] | -0.07445110087797835
-0.042385041129820965 | [5.22 6.21] | -0.07682421943494111
-0.04705376812911755 | [-5.38 -1.91] | -0.07250147842247269
-0.0511823871994404 | [5.42 6.43] | -0.0758212291550741
-0.05533345778912137 | [-5.16 -1.68] | -0.07083860461354566
-0.058987329625734095 | [5.59 6.61] | -0.07496772095570976
-0.06268679688858894 | [-4.97 -1.48] | -0.06939957550875593
-0.06592538607758909 | [5.74 6.78] | -0.07422431091673491
-0.06923004748497526 | [-4.8 -1.3] | -0.06813631963139681
-0.07210481542752964 | [5.88 6.92] | -0.07356189721133435
-0.07506373314385209 | [-4.65 -1.14] | -0.0670122223934361
-0.07761931070813478 | [6.   7.05] | -0.07295894534164588
-0.08027496895239132 | [-4.51 -1.01] | -0.06599908230113337
-0.0825501346117437 | [6.1  7.16] | -0.0723995325140014
-0.08493940648232232 | [-4.39 -0.88] | -0.06750239146036385
-0.08587505728113254 | [5.22 5.88] | -0.07398656870695416
-0.08592548884699691 | [-5.23 -2.01] | -0.07049283136439104
-0.08570667379684861 | [5.31 6.16] | -0.0737997330871397
-0.08572744113850554 | [-5.1  -1.68] | -0.06956606611736545
-0.08548577141971053 | [5.39 6.4 ] | -0.07344597586857127
-0.08548844623265539 | [-5.   -1.39] | -0.06860440729663962
-0.08523422136877286 | [5.44 6.61] | -0.07297365506634561
-0.08522815615642304 | [-4.91 -1.13] | -0.06762806613220268
-0.08496973415727055 | [5.49 6.79] | -0.07241749056439972
-0.08496250031426798 | [-4.83 -0.91] | -0.06970916518546319
-0.08385672932474032 | [4.82 5.94] | -0.07599533697726021
-0.08223827731764992 | [-5.46 -1.61] | -0.07273934577240868
-0.08043808783813548 | [4.86 6.23] | -0.07545705005596061
