-2.3, -0.5, 0.3, -0.7, -0.3, 4.0, 4.1, -2.7, 3.4, 2.3, -0.7, 1.5, -2.3, -6.1, -0.3, 2.4, 2.1, 0.1
parameter ends

state | action | reward
[0.04] | [ 2.25 -0.18] | -0.010690951139481139
0.014535699410066608 | [  2.46 -18.08] | -0.09081602480281448
-0.0645572304571973 | [  2.47 -38.85] | -0.2448816750770885
-0.1707206320546502 | [  2.42 -47.04] | -0.3548623374227304
-0.2809111391895175 | [  2.23 -48.77] | -0.4204623797608512
-0.38663644191178576 | [  1.92 -48.44] | -0.47764631046636286
-0.4852635822863882 | [  1.46 -47.4 ] | -0.549951263475628
-0.574922368706157 | [  0.83 -45.84] | -0.6616088890006385
-0.6516579247505287 | [ -0.06 -42.93] | -0.874490889823996
-0.7034890870251315 | [ -1.51 -35.71] | -0.8160396022372856
-0.7241672192895753 | [  2.89 -10.35] | -0.2945069664586874
-0.7055738359006469 | [ 3.2  -3.87] | -0.31463206194058213
-0.6849884985440756 | [ 2.94 -5.62] | -0.31962213896448277
-0.6673514374311278 | [ 2.89 -6.33] | -0.3088026727142159
-0.6511566879496432 | [ 2.91 -6.54] | -0.29475832739050506
-0.6358213655428749 | [ 2.94 -6.63] | -0.28115161372521924
-0.6211758952943519 | [ 2.97 -6.7 ] | -0.26857643912232265
-0.6071475994557914 | [ 3.   -6.77] | -0.25700647202413923
-0.5936851359746318 | [ 3.02 -6.82] | -0.2463362438841966
-0.5807447160412644 | [ 3.04 -6.88] | -0.23646628845264359
-0.5682875668120861 | [ 3.06 -6.93] | -0.2273108034675163
-0.5562790809635114 | [ 3.08 -6.97] | -0.2187958950832621
-0.544688238717909 | [ 3.09 -7.01] | -0.2108575341773505
-0.5334871306517455 | [ 3.11 -7.05] | -0.2034399357938309
-0.522650555794231 | [ 3.12 -7.09] | -0.19649426696746988
-0.5121556821159957 | [ 3.13 -7.13] | -0.18997759538321507
-0.501981758516926 | [ 3.14 -7.16] | -0.18385202429660624
-0.49210986929542033 | [ 3.15 -7.19] | -0.17808397555130692
-0.4825227238060507 | [ 3.16 -7.22] | -0.17264359179809738
-0.47320447542196464 | [ 3.16 -7.25] | -0.1675042353849061
-0.4641405650339193 | [ 3.17 -7.27] | -0.16264206614135168
-0.45531758519923526 | [ 3.18 -7.3 ] | -0.15803568392561143
-0.4467231617540024 | [ 3.18 -7.32] | -0.1536658246248539
-0.43834585026138845 | [ 3.18 -7.34] | -0.1495151005043293
-0.4301750451188553 | [ 3.19 -7.37] | -0.14556777753183248
-0.42220089951104955 | [ 3.19 -7.39] | -0.14180958367391638
-0.4144142546911603 | [ 3.19 -7.41] | -0.13822754324973602
-0.40680657731557657 | [ 3.19 -7.42] | -0.134809833300308
-0.39936990375556014 | [ 3.2  -7.44] | -0.13154565863251497
-0.39209679047384777 | [ 3.2  -7.46] | -0.12842514276455672
-0.3849802696902674 | [ 3.2  -7.48] | -0.12543923246064084
-0.3780138096738731 | [ 3.2  -7.49] | -0.12257961391935548
-0.37119127909395855 | [ 3.2  -7.51] | -0.11983863898906517
-0.3645069149419476 | [ 3.2  -7.52] | -0.11720926003813927
-0.3579552936032842 | [ 3.2  -7.53] | -0.1146849723184663
-0.35153130471521155 | [ 3.2  -7.55] | -0.11225976283547429
-0.3452301274945142 | [ 3.2  -7.56] | -0.10992806488374551
-0.3390472092603266 | [ 3.2  -7.57] | -0.10768471752926272
-0.33297824591216285 | [ 3.2  -7.59] | -0.10552492942172159
-0.3270191641533528 | [ 3.19 -7.6 ] | -0.10344424640673769
-0.3211661052758833 | [ 3.19 -7.61] | -0.10143852248057696
-0.31541541034488285 | [ 3.19 -7.62] | -0.09950389369198405
-0.309763606640214 | [ 3.19 -7.63] | -0.09763675464820953
-0.30420739522929013 | [ 3.19 -7.64] | -0.09583373732718127
-0.298743639559701 | [ 3.19 -7.65] | -0.09409169193617618
-0.29336935497282884 | [ 3.18 -7.66] | -0.09240766959012754
-0.2880816990506333 | [ 3.18 -7.67] | -0.09077890661109647
-0.2828779627173989 | [ 3.18 -7.68] | -0.08920281027470742
-0.2777555620266747 | [ 3.18 -7.69] | -0.08767694585049177
-0.27271203057104515 | [ 3.17 -7.69] | -0.0861990248011926
-0.2677450124588931 | [ 3.17 -7.7 ] | -0.08476689402206718
-0.26285225580807214 | [ 3.17 -7.71] | -0.08337852601486835
-0.2580316067114924 | [ 3.17 -7.72] | -0.08203200990322237
-0.25328100363412737 | [ 3.16 -7.73] | -0.08072554320663224
-0.24859847220494835 | [ 3.16 -7.73] | -0.07945742429949663
-0.24398212037084258 | [ 3.16 -7.74] | -0.07822604548955003
-0.23943013388273526 | [ 3.15 -7.75] | -0.07702988665724718
-0.2349407720869543 | [ 3.15 -7.75] | -0.07586750940384289
-0.2305123639973968 | [ 3.15 -7.76] | -0.07473755166136166
-0.22614330462630822 | [ 3.15 -7.77] | -0.07363872272251352
-0.22183205155350605 | [ 3.14 -7.77] | -0.07256979865298338
-0.2175771217156899 | [ 3.14 -7.78] | -0.07152961805217749
-0.21337708839910868 | [ 3.14 -7.79] | -0.07051707813203915
-0.20923057842032103 | [ 3.13 -7.79] | -0.06953113108644877
-0.20513626948110525 | [ 3.13 -7.8 ] | -0.06857078072639557
-0.20109288768476608 | [ 3.13 -7.8 ] | -0.0676350793586257
-0.19709920520216173 | [ 3.12 -7.81] | -0.06672312488735185
-0.19315403807674977 | [ 3.12 -7.81] | -0.0658340581208166
-0.18925624415883102 | [ 3.12 -7.82] | -0.06496706026592151
-0.18540472115997153 | [ 3.11 -7.82] | -0.06412135059588397
-0.18159840481930853 | [ 3.11 -7.83] | -0.06329618427712505
-0.1778362671741071 | [ 3.11 -7.83] | -0.062490850342869574
-0.17411731492753382 | [ 3.1  -7.84] | -0.061704669802055426
-0.17044058790716302 | [ 3.1  -7.84] | -0.060936993873167186
-0.16680515760822906 | [ 3.1  -7.85] | -0.06018720233346603
-0.16321012581609362 | [ 3.09 -7.85] | -0.05945470197489583
-0.15965462330281538 | [ 3.09 -7.86] | -0.05873892515882019
-0.1561378085930882 | [ 3.09 -7.86] | -0.058039328462201
-0.1526588667951644 | [ 3.08 -7.87] | -0.05735539140861129
-0.14921700849269956 | [ 3.08 -7.87] | -0.05668661527792615
-0.14581146869374764 | [ 3.07 -7.88] | -0.05603252198910221
-0.14244150583340606 | [ 3.07 -7.88] | -0.055392653050841775
-0.139106400826857 | [ 3.07 -7.88] | -0.05476656857541452
-0.13580545616977968 | [ 3.06 -7.89] | -0.05415384635120088
-0.13253799508331815 | [ 3.06 -7.89] | -0.05355408097001357
-0.12930336070098136 | [ 3.06 -7.9 ] | -0.052966883005414196
-0.12610091529503395 | [ 3.05 -7.9 ] | -0.05239187823854434
-0.12293003954009517 | [ 3.05 -7.9 ] | -0.05182870692842061
-0.1197901318118206 | [ 3.05 -7.91] | -0.05127702312364845
-0.11668060751867988 | [ 3.04 -7.91] | -0.05073649401286798
-0.11360089846497298 | [ 3.04 -7.91] | -0.05020679931145225
-0.11055045224334901 | [ 3.04 -7.92] | -0.049687630682094676
-0.10752873165520292 | [ 3.03 -7.92] | -0.04917869118712239
-0.10453521415742871 | [ 3.03 -7.92] | -0.04867969477053291
-0.10156939133410366 | [ 3.03 -7.93] | -0.048190365767939995
-0.09863076839176768 | [ 3.02 -7.93] | -0.047710438442610026
-0.09571886367704424 | [ 3.02 -7.93] | -0.0472396565460665
-0.09283320821542661 | [ 3.02 -7.94] | -0.046777772901694215
-0.08997334527012413 | [ 3.01 -7.94] | -0.04632454901003541
-0.08713882991993122 | [ 3.01 -7.94] | -0.04587975467437697
-0.08432922865514288 | [ 3.01 -7.95] | -0.0454431676454993
-0.08154411899059863 | [ 3.   -7.95] | -0.04501457328443183
-0.07878308909499131 | [ 3.   -7.95] | -0.044593764242153416
-0.07604573743562609 | [ 3.   -7.95] | -0.04418054015525866
-0.07333167243786473 | [ 2.99 -7.96] | -0.04377470735670316
-0.07064051215853183 | [ 2.99 -7.96] | -0.043376078600687526
-0.06797188397260107 | [ 2.99 -7.96] | -0.04298447280098451
-0.06532542427252033 | [ 2.98 -7.97] | -0.042599714781860254
-0.06270077817956705 | [ 2.98 -7.97] | -0.0422216350409611
-0.06009759926666211 | [ 2.98 -7.97] | -0.041850069523455824
-0.05751554929209946 | [ 2.97 -7.97] | -0.04148485940679254
-0.05495429794368012 | [ 2.97 -7.98] | -0.04112585089556578
-0.05241352259276701 | [ 2.97 -7.98] | -0.040772895025920346
-0.049892908057803484 | [ 2.96 -7.98] | -0.04042584747900977
-0.047392146376859394 | [ 2.96 -7.98] | -0.04008456840294182
-0.04491093658879486 | [ 2.96 -7.99] | -0.03974892224282884
-0.042448984522653645 | [ 2.95 -7.99] | -0.03941877757849141
-0.04000600259491807 | [ 2.95 -7.99] | -0.03909400696941946
-0.037581709614274685 | [ 2.95 -7.99] | -0.03877448680665816
-0.035175830593559734 | [ 2.94 -8.  ] | -0.038460097171158864
-0.03278809656857041 | [ 2.94 -8.  ] | -0.038150721698420244
-0.030418244423441647 | [ 2.94 -8.  ] | -0.03784624744895088
-0.0280660167223075 | [ 2.93 -8.  ] | -0.037546564784345135
-0.025731161546975294 | [ 2.93 -8.  ] | -0.03725156724868589
-0.023413432340358052 | [ 2.93 -8.01] | -0.036961151454983125
-0.021112587755420794 | [ 2.92 -8.01] | -0.03667521697643328
-0.0188283915094106 | [ 2.92 -8.01] | -0.036393666242185894
-0.016560612243148864 | [ 2.92 -8.01] | -0.03611640443757772
-0.01430902338517724 | [ 2.91 -8.01] | -0.035843339408366925
-0.012073403020556704 | [ 2.91 -8.02] | -0.03557438156900304
-0.009853533764131173 | [ 2.91 -8.02] | -0.035309443814603644
-0.00764920263807329 | [ 2.9  -8.02] | -0.03504844143651742
-0.005460200953540394 | [ 2.9  -8.02] | -0.03479129204129523
-0.003286324196276562 | [ 2.9  -8.02] | -0.03453791547290877
-0.001127371916003347 | [ 2.89 -8.03] | -0.03428823373806093
0.001016852380549734 | [ 2.89 -8.03] | -0.034042170934460866
0.0031465413331187636 | [ 2.89 -8.03] | -0.03379965318192382
0.005261883828018131 | [ 2.88 -8.03] | -0.03356060855612461
0.007363065095023371 | [ 2.88 -8.03] | -0.033324967024986635
0.009450266801147958 | [ 2.88 -8.04] | -0.03309266038747715
0.011523667141432692 | [ 2.88 -8.04] | -0.0328636222147399
0.013583440926861885 | [ 2.87 -8.04] | -0.03263778779352816
0.01562975966951368 | [ 2.87 -8.04] | -0.03241509407172177
0.017662791665049214 | [ 2.87 -8.04] | -0.032195479605926704
0.01968270207263927 | [ 2.86 -8.05] | -0.03197888451101339
0.02168965299242361 | [ 2.86 -8.05] | -0.03176525041154754
0.023683803540593573 | [ 2.86 -8.05] | -0.031554520395031406
0.025665309922185266 | [ 2.85 -8.05] | -0.0313466389668049
0.02763432550166647 | [ 2.85 -8.05] | -0.031141552006653705
0.029591000871396756 | [ 2.85 -8.05] | -0.030939206726970307
0.03153548391803766 | [ 2.85 -8.06] | -0.030739551632420252
0.03346791988698605 | [ 2.84 -8.06] | -0.0305425364810575
0.03538845144490067 | [ 2.84 -8.06] | -0.03034811224684593
0.037297218740388986 | [ 2.84 -8.06] | -0.03015623108345921
0.039194359462919576 | [ 2.83 -8.06] | -0.02996684628942895
0.04108000890002187 | [ 2.83 -8.06] | -0.029779912274456394
0.042954299992831874 | [ 2.83 -8.06] | -0.029595384526928704
0.04481736339004158 | [ 2.83 -8.07] | -0.029413219582543833
0.046669327500306855 | [ 2.82 -8.07] | -0.02923337499404436
0.0485103185431659 | [ 2.82 -8.07] | -0.02905580930194073
0.050340460598519376 | [ 2.82 -8.07] | -0.028880482006297257
0.05215987565472027 | [ 2.81 -8.07] | -0.028707353539414258
0.053968683655319885 | [ 2.81 -8.07] | -0.028536385239476034
0.05576700254451562 | [ 2.81 -8.08] | -0.028367539325034732
0.05755494831134304 | [ 2.81 -8.08] | -0.02820077887042465
0.05933263503265296 | [ 2.8  -8.08] | -0.02803606778189119
0.06110017491491481 | [ 2.8  -8.08] | -0.027873370774586428
0.0628576783348836 | [ 2.8  -8.08] | -0.027712653350288663
0.0646052538791675 | [ 2.79 -8.08] | -0.027553881775852863
0.06634300838273198 | [ 2.79 -8.08] | -0.02739702306235252
0.06807104696637338 | [ 2.79 -8.09] | -0.027242044944925194
0.06978947307319663 | [ 2.79 -8.09] | -0.027088915863212222
0.07149838850412733 | [ 2.78 -8.09] | -0.02693760494249215
0.07319789345248924 | [ 2.78 -8.09] | -0.02678808197535852
0.07488808653767612 | [ 2.78 -8.09] | -0.02664031740400017
0.07656906483794722 | [ 2.77 -8.09] | -0.02649428230304012
0.07824092392237236 | [ 2.77 -8.09] | -0.02634994836291633
0.07990375788195386 | [ 2.77 -8.09] | -0.026207287873749385
0.0815576593599506 | [ 2.77 -8.1 ] | -0.026066273709777227
0.08320271958142765 | [ 2.76 -8.1 ] | -0.025926879314171727
0.08483902838205643 | [ 2.76 -8.1 ] | -0.025789078684436348
0.08646667423618733 | [ 2.76 -8.1 ] | -0.02565284635813902
0.08808574428421681 | [ 2.76 -8.1 ] | -0.025518157399173656
0.08969632435926998 | [ 2.75 -8.1 ] | -0.025384987384373447
0.09129849901321983 | [ 2.75 -8.1 ] | -0.025253312390525834
0.0928923515420621 | [ 2.75 -8.1 ] | -0.02512310898185851
0.09447796401066495 | [ 2.75 -8.11] | -0.02499435419778622
0.09605541727691193 | [ 2.74 -8.11] | -0.024867025541095197
0.09762479101525606 | [ 2.74 -8.11] | -0.024741100966460525
0.09918616373970242 | [ 2.74 -8.11] | -0.024616558869280082
0.10073961282623486 | [ 2.73 -8.11] | -0.024493378074857505
0.10228521453470421 | [ 2.73 -8.11] | -0.02437153782790747
0.1038230440301926 | [ 2.73 -8.11] | -0.024251017782338978
0.10535317540386843 | [ 2.73 -8.11] | -0.02413179799133768
0.10687568169334806 | [ 2.72 -8.12] | -0.02401385889776319
0.10839063490257632 | [ 2.72 -8.12] | -0.02389718132477899
0.10989810602124105 | [ 2.72 -8.12] | -0.023781746466780537
0.11139816504373327 | [ 2.72 -8.12] | -0.02366753588056486
0.1128908809876667 | [ 2.71 -8.12] | -0.023554531476750764
