0.1, -7.8, 1.5, -0.3, -4.2, -8.2, 1.0, 1.7, -0.4, 2.2, -0.1, 3.3, 0.3, -0.1, 0.4, 0.6, -0.8, -2.5
parameter ends

state | action | reward
[0.03] | [-0.94 -2.92] | 0.07686995194691967
0.04647480996115024 | [-1.25 -2.16] | 0.10178083619397842
0.08695600487194442 | [-1.33 -1.26] | 0.1561683195688001
0.14960759085259812 | [-1.23 -0.49] | 0.2618340704321372
0.23028123346851168 | [-0.78  0.79] | 0.46501898193799346
0.3299383403779596 | [0.02 2.5 ] | 0.596516901568637
0.4279952546528396 | [-0.04  1.17] | 0.5464091747516525
0.5102797524464886 | [-0.59 -0.7 ] | 0.47796177590328404
0.5818189860323615 | [-1.89 -3.22] | 0.5888170630506349
0.6566996209726303 | [-2.68 -4.12] | 0.8040264470484945
0.7406165138481027 | [-3.14 -4.58] | 1.0162754433393835
0.8303186909899078 | [-3.31 -4.72] | 1.189576582024848
0.9224761394879212 | [-3.27 -4.6 ] | 1.3135099549170823
1.01464954417779 | [-3.07 -4.3 ] | 1.3925813750125082
1.1054471813806843 | [-2.76 -3.86] | 1.436379154003907
1.1942580209303573 | [-2.39 -3.32] | 1.4539344775305025
1.280927972259822 | [-1.98 -2.72] | 1.4513834852718928
1.3655202947130047 | [-1.55 -2.08] | 1.4320372129939614
1.4481711487048587 | [-1.11 -1.43] | 1.3973119720178178
1.5290167297744979 | [-0.67 -0.8 ] | 0.999974804745351
1.5881742166709976 | [-0.5  -3.26] | 0.759808387256294
1.636856939886184 | [ 0.03 -2.65] | 0.5179770384182733
1.6761287180582978 | [ 0.44 -3.44] | 0.09290190336989522
1.6965613531174073 | [ 0.84 -5.01] | -0.4869917034947147
1.690362703797342 | [ 1.25 -7.32] | -1.1706600352919971
1.652569832657862 | [ 1.75 -9.37] | -1.0380611852364237
1.6097421576047226 | [ 4.96 -2.26] | -0.48361590533413296
1.5753423938828894 | [ 4.89 -3.84] | -0.8259182776533907
1.5232457296251094 | [ 4.71 -5.31] | -1.0876247271196855
1.4578777559302516 | [ 4.71 -5.84] | -1.264926328480957
1.3830164380322596 | [ 4.78 -5.88] | -1.4007923246221987
1.300349585576941 | [ 4.88 -5.67] | -1.5125911957289462
1.2105217733967517 | [ 5.01 -5.28] | -1.6034445868302045
1.1138184373366826 | [ 5.17 -4.76] | -1.6681115193766904
1.0106400707454124 | [ 5.36 -4.07] | -1.6963973009106224
0.901852114713546 | [ 5.6  -3.22] | -1.6781674036595713
0.7889315140047719 | [ 5.89 -2.18] | -1.6095820119500377
0.6737992430377504 | [ 6.22 -1.  ] | -1.4968322696214005
0.5583714348152972 | [6.59 0.27] | -1.3352044226390076
