1.2, -1.6, -0.9, 0.2, -1.3, -0.6, 1.1, 2.0, 2.6, 0.6, 1.4, 4.0, 2.3, -4.3, 1.3, -1.2, 2.5, -1.6
parameter ends

state | action | reward
[-0.08] | [ 2.88 -1.63] | 0.08683617284708492
-0.11228872606497968 | [  8.59 -17.29] | 0.17022765691128408
-0.1983775328332455 | [ 11.78 -25.84] | 0.14501186569716878
-0.30542054366928756 | [ 12.55 -27.92] | 0.08681493736550557
-0.414408406279171 | [ 12.2  -27.31] | 0.020536954996428644
-0.5188856042101224 | [ 11.5  -26.02] | -0.05684635961299158
-0.6168623626437972 | [ 10.69 -24.51] | -0.15926747577843625
-0.706388238192809 | [  9.83 -22.75] | -0.29707262275303936
-0.7851162722043113 | [  8.94 -20.74] | -0.46752706311422804
-0.8510803858606448 | [  8.05 -18.56] | 0.0677339038867627
-0.8982938282430273 | [3.1  2.54] | -0.23551014460254222
-0.8728559898836148 | [3.24 3.28] | 0.15046529085204355
-0.8666728027142621 | [ 5.06 -0.19] | 0.326177436018674
-0.8720177456868089 | [ 4.57 -0.43] | 0.23396503126472473
-0.8762514188087965 | [3.69 0.17] | 0.18796784544824208
-0.879639717177267 | [ 3.75 -0.07] | 0.19677376564069077
-0.8838622939563349 | [3.46 0.07] | 0.19067249026453423
-0.8882754900364023 | [ 3.42 -0.02] | 0.1929138581409241
-0.893129477963524 | [3.24 0.04] | 0.18976589648733286
-0.8981714972589375 | [ 3.17 -0.  ] | 0.18922084525747696
-0.9034631821303413 | [3.03 0.03] | 0.18675990737382955
-0.9088956518303547 | [2.96e+00 5.04e-04] | 0.18532972824455576
-0.9144832904100855 | [2.85 0.02] | 0.18318662886838052
-0.9201724084026013 | [2.78e+00 2.44e-03] | 0.18149646546952317
-0.9259628790733058 | [2.69 0.02] | 0.17960022165707837
-0.931826897501039 | [2.62 0.  ] | 0.17786957171143947
-0.9377583888461307 | [2.53 0.02] | 0.17621312423847152
-0.9437447367363198 | [2.48e+00 2.14e-03] | 0.17450516454145684
-0.9497751494767019 | [2.39 0.02] | 0.17310700045691438
-0.9558490844514421 | [2.34e+00 2.91e-04] | 0.17140188564047457
-0.9619486587437452 | [2.26 0.02] | 0.17031702354844466
-0.968087316630646 | [ 2.22 -0.  ] | 0.16851593681744254
-0.9742335594289959 | [2.14 0.03] | 0.16788022921208978
-0.9804232395677263 | [ 2.11 -0.01] | 0.1657499334456692
-0.9865964658310635 | [2.01 0.04] | 0.16589007405926048
-0.9928329612349244 | [ 2.01 -0.03] | 0.16289516454558836
-0.9990101742305687 | [1.89 0.06] | 0.16460946064090362
-1.0053042779266528 | [ 1.93 -0.06] | 0.15945750681998344
-1.011446353387516 | [1.74 0.1 ] | 0.16476985485156595
-1.017842113327722 | [ 1.88 -0.13] | 0.15414865954053164
-1.0238601707345834 | [1.55 0.22] | 0.16843232714370887
-1.0304894468979149 | [ 1.92 -0.31] | 0.1433441354953323
-1.0361467774904694 | [1.23 0.5 ] | 0.18155498332863224
-1.0433928617162476 | [ 2.18 -0.77] | 0.11612785246310475
-1.0479975433345452 | [0.54 1.28] | 0.15878158058129183
-1.0541558677478555 | [ 2.5  -1.27] | 0.1534230177873225
-1.0605702452866044 | [0.37 1.37] | 0.13925092701606445
-1.0657878356689194 | [ 2.26 -0.98] | 0.14876620932767282
-1.0722935557495394 | [0.27 1.41] | 0.1236335817492032
-1.0763424812749682 | [ 2.   -0.48] | 0.2729571419849986
-1.0894128375328307 | [1.15 0.08] | 0.13876645596192064
-1.0947374371864154 | [1.18 0.12] | 0.18046751499634267
-1.1020904113520749 | [ 1.38 -0.31] | 0.13663293394284595
-1.1077039711710521 | [0.7  0.57] | 0.18854416374336058
-1.115586973244844 | [ 1.78 -1.  ] | 0.08724613208497853
-1.1191427659039614 | [-0.33  1.89] | -0.016064867546403423
-1.1134753314646189 | [0.49 2.78] | 0.2804468588591408
-1.1174438997992013 | [1.98 0.45] | 0.553932798557383
-1.1390259379379766 | [ 3.07 -3.5 ] | 0.6288050876335027
-1.1755204716908298 | [ 2.86 -7.2 ] | 0.3834194634399876
