-2.1, 4.2, -1.8, 0.8, -1.6, -4.3, -2.1, -5.2, 0.8, 5.3, -3.3, -2.4, 1.0, 6.0, -0.2, 0.3, -0.9, 0.6
parameter ends

state | action | reward
[0.09] | [-0.97  1.19] | 0.015161538125305163
0.11919651255343301 | [-11.92 -31.55] | -0.0009959867861786126
0.18919346853448785 | [-12.97 -33.8 ] | 0.09281233826244131
0.27078886699327215 | [-13.76 -35.22] | 0.23963024727913979
0.35976064961776444 | [-14.08 -35.22] | 0.40236944022580545
0.45226300488903703 | [-14.04 -34.1 ] | 0.5535746398456807
0.5455118364935538 | [-13.74 -32.28] | 0.6822092206059093
0.6378137567730268 | [-13.32 -30.1 ] | 0.7871282513497845
0.7282934510416783 | [-12.84 -27.8 ] | 0.8712215505215936
0.8165963733140846 | [-12.36 -25.52] | 0.9380027203484305
0.9026560640986446 | [-11.88 -23.31] | 0.990246960724922
0.9865283980193476 | [-11.42 -21.16] | 1.0297260263555268
1.0683067945732583 | [-10.97 -19.07] | 1.0574079755457797
1.1480846803758191 | [-10.52 -17.  ] | 1.0737926066674146
1.2259423628255033 | [-10.07 -14.96] | 1.0792066044392878
1.3019459936381141 | [ -9.63 -12.93] | 1.0740100968483348
1.3761520612359208 | [ -9.18 -10.92] | 1.0587172943568486
1.4486140217586365 | [-8.74 -8.94] | 1.0340492656254099
1.5193894319973047 | [-8.3 -7. ] | 1.000938086609315
1.5885469070909306 | [-7.87 -5.11] | 0.9604983364588254
1.6561727426591577 | [-7.45 -3.28] | 0.9139815419883602
1.7223773283698602 | [-7.04 -1.54] | 0.8627384473165057
1.787301475127627 | [-6.67  0.12] | 0.9371915575240265
1.8548316242487095 | [-8.15 -3.05] | 0.9839037021857565
1.9245685187589765 | [-7.6  -1.09] | 0.4858894688695299
1.9695708282809925 | [-0.6 15.1] | 0.13549185198351515
1.9891445302333617 | [-0.4  14.27] | 0.23624786419171986
1.9979688455738531 | [-0.41 13.74] | 0.2661881071078306
2.002247194373768 | [-0.3 13.3] | 0.2639770228357629
2.0005808280992325 | [1.20e-02 1.31e+01] | 0.23354953375063597
1.992093908726291 | [ 0.43 12.93] | 0.18140162847040148
1.97657537082524 | [ 0.9  12.83] | 0.06386314705781679
1.9516514187940084 | [ 2.17 14.49] | -0.11864751044555377
1.915673688054773 | [ 3.44 16.25] | -0.2962156116393967
1.8707159011258236 | [ 4.36 17.41] | -0.45223047147290013
1.8192316230587569 | [ 5.06 18.21] | -0.5979982803927476
1.76267180102351 | [ 5.67 18.89] | -0.7442626877812164
1.7016644100991136 | [ 6.27 19.64] | -0.899567448452005
1.6362446159739517 | [ 6.93 20.62] | -1.0683811158026346
1.5660974547082271 | [ 7.7  21.94] | -1.2498814188312
1.4907859777790011 | [ 8.59 23.64] | -1.4374142447985454
1.409954735667959 | [ 9.56 25.7 ] | -1.61891251102725
1.3234919815806887 | [10.56 28.03] | -1.7792785679363776
1.231607625025662 | [11.53 30.46] | -1.9040678689557868
1.1348068094785706 | [12.4  32.84] | -1.982758615857356
1.0337855802149019 | [13.13 35.03] | -2.0102776494178207
0.9293026149691984 | [13.7  36.94] | -1.9867108516000174
0.8220717079755171 | [14.12 38.53] | -1.915963131915818
0.7126936710123924 | [14.39 39.8 ] | -1.804170844722973
0.6016272073906428 | [14.54 40.79] | -1.6583548596673616
0.48919224438832704 | [14.6  41.51] | -1.4856494991747728
0.37562346465592444 | [14.55 41.95] | -1.2929918028426
0.26120513909092036 | [14.41 42.05] | -1.0872529568026024
0.14637741666501577 | [14.14 41.71] | -0.8760048187924017
0.031775424720844436 | [13.73 40.87] | -0.6675920632528749
-0.08180777226164819 | [13.18 39.52] | -0.47033061744601806
-0.19352015048735555 | [12.52 37.72] | -0.2912257325975013
-0.30255985361293763 | [11.76 35.6 ] | -0.13502018489183432
-0.4082426808859188 | [10.96 33.28] | -0.004046335856752334
-0.5100162933093455 | [10.13 30.86] | 0.10134632352817409
-0.6074470895786268 | [ 9.3  28.44] | 0.1822909311849506
-0.7002092324215914 | [ 8.47 26.05] | 0.24107877885383966
-0.7880867990424719 | [ 7.67 23.73] | 0.28095748476851923
-0.8709847351412763 | [ 6.89 21.49] | 0.30592742295164754
-0.9489405647052214 | [ 6.14 19.34] | 0.3204855468443264
-1.0221315230155537 | [ 5.43 17.29] | 0.3293390291063856
-1.0908752613514108 | [ 4.77 15.33] | 0.3371365111563729
-1.1556245479867855 | [ 4.14 13.45] | 0.34825689041713337
-1.2169575952144176 | [ 3.57 11.65] | 0.36667657355718747
-1.2755662506636716 | [3.04 9.92] | 0.3959183541928274
-1.3322445765330153 | [2.56 8.23] | -0.24048578191647646
-1.3412601116579783 | [-5.33 -9.79] | -0.8975095907646993
-1.2992405799127995 | [ -6.59 -12.53] | -1.013780039945073
-1.2457318837357894 | [ -7.47 -14.61] | -1.0561922160214583
-1.1854032128852794 | [ -8.01 -16.03] | -1.0436131956803016
-1.1218596017624016 | [ -8.32 -16.91] | -0.9982447697634333
-1.057344078577089 | [ -8.49 -17.42] | -0.936733952431216
-0.9929989728715234 | [ -8.59 -17.71] | -0.8690732503762866
-0.9292334495327419 | [ -8.67 -17.93] | -0.8002761423984511
-0.8660070908552335 | [ -8.76 -18.15] | -0.7322849179353951
-0.8030049740528928 | [ -8.89 -18.46] | -0.6657227348713666
-0.7397423831960689 | [ -9.07 -18.89] | -0.6006243826355459
-0.6756331968088002 | [ -9.32 -19.48] | -0.536638024790813
-0.6100397560876096 | [ -9.64 -20.24] | -0.47326602017120967
-0.5423204135696847 | [-10.03 -21.18] | -0.409620160918065
-0.4718737884401148 | [-10.49 -22.26] | -0.3442828915045741
-0.3981817001390208 | [-11.01 -23.49] | -0.2753093828346437
-0.32085083593066605 | [-11.58 -24.82] | -0.20041030050146455
-0.2396503588624541 | [-12.19 -26.23] | -0.11735034295692887
-0.15454039787440918 | [-12.81 -27.65] | -0.024505515885692664
-0.06568456981403167 | [-13.43 -29.02] | 0.07858032388451089
0.026559819079668784 | [-14.01 -30.27] | 0.1908514313533039
0.12167613739205783 | [-14.53 -31.32] | 0.3097686757830177
0.2190427559776964 | [-14.98 -32.11] | 0.4317230895547657
0.31799635368993895 | [-15.32 -32.6 ] | 0.5527666195050818
0.4178925906280673 | [-15.57 -32.79] | 0.6695748364012006
0.5181557178165556 | [-15.73 -32.69] | 0.7793855525234903
0.6182865442899699 | [-15.79 -32.32] | 0.8798315339448762
0.7178468410421781 | [-15.77 -31.71] | 0.9690182168560069
0.8164471175795203 | [-15.67 -30.87] | 1.045500453777305
0.9137358365653361 | [-15.48 -29.83] | 1.1082641221739546
1.0093922145139802 | [-15.23 -28.61] | 1.1566970936185865
1.1031231865492004 | [-14.91 -27.24] | 1.190605818201784
1.1946640428975508 | [-14.53 -25.73] | 1.2102579092084798
1.283782228351328 | [-14.1  -24.11] | 1.2163589996944562
1.3702828995813712 | [-13.62 -22.4 ] | 1.2099963941162433
1.4540149781764238 | [-13.1  -20.63] | 1.1925571446046583
1.5348767649471122 | [-12.56 -18.81] | 1.1656279578131405
1.6128204611861001 | [-11.99 -16.97] | 1.1308873629702214
1.6878551853411163 | [-11.43 -15.13] | 1.0900008142744357
1.7600482931034356 | [-10.86 -13.31] | 1.0445276215333736
1.8295250175475906 | [-10.3  -11.51] | 0.995845646852168
1.8964666452159804 | [-9.76 -9.75] | 0.9450963278866756
1.9611076256824223 | [-9.25 -8.04] | 0.8931493862937784
2.0237321653404146 | [-8.76 -6.38] | 0.8405839427669122
2.0846709760087427 | [-8.31 -4.77] | 0.7876808327374752
2.1442989427611527 | [-7.89 -3.22] | 0.7344195892896073
2.20303456644493 | [-7.52 -1.72] | 0.26645952256751027
2.236316117517504 | [ 0.65 16.12] | -0.2631849279147297
