0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0
parameter ends

state | action | reward
[0.] | [ 1.04 -1.04] | 0.008426926201532629
-0.030345946390392384 | [ 1.02 -1.02] | -0.015114638649988972
-0.1140447558013197 | [ 0.8 -0.8] | -0.07095602724847112
-0.21245569798507416 | [ 0.49 -0.49] | -0.12530572121127906
-0.3019748784605947 | [ 0.26 -0.26] | -0.1596097987685189
-0.37674994596254585 | [ 0.14 -0.14] | -0.1773264168188694
-0.438515809300794 | [ 0.08 -0.08] | -0.18724503211705668
-0.4900720086013151 | [ 0.04 -0.04] | -0.19413507962917348
-0.5335640461109671 | [ 0.01 -0.01] | -0.19949525800157195
-0.5704416954501361 | [-0.01  0.01] | -0.20352983908109612
-0.6017302275520472 | [-0.03  0.03] | -0.20617825060402656
-0.6282375030802188 | [-0.04  0.04] | -0.20749394598359694
-0.6506611282483107 | [-0.04  0.04] | -0.20770039479339866
-0.6696283971802901 | [-0.04  0.04] | -0.20711793051983562
-0.6857029530046621 | [-0.03  0.03] | -0.20607114302447063
-0.6993806377419908 | [-0.03  0.03] | -0.20482637109890708
-0.7110859694402796 | [-0.02  0.02] | -0.3125921402853366
-0.706852403529751 | [-1.13  1.13] | -0.3654847195521589
-0.6798432604332273 | [-0.49  0.49] | -0.2462796384171196
-0.6447834912583692 | [ 0.04 -0.04] | -0.16640828114893022
-0.6108360394406073 | [ 0.28 -0.28] | -0.138883514368333
-0.5832985862519603 | [ 0.31 -0.31] | -0.14346792142444278
-0.5630819009496438 | [ 0.24 -0.24] | -0.15881288185781184
-0.5488876042706068 | [ 0.16 -0.16] | -0.1730870560325827
-0.5389155046041624 | [ 0.1 -0.1] | -0.1827650197708734
-0.531673224707589 | [ 0.07 -0.07] | -0.1885117500004537
-0.5261690731176855 | [ 0.05 -0.05] | -0.19177193207075804
-0.5218042494826872 | [ 0.04 -0.04] | -0.1756506865618948
-0.5188081664781825 | [ 0.59 -0.59] | 0.006261041361824353
-0.5286026950720261 | [ 1.29 -1.29] | 0.11590476335932541
-0.558268835741558 | [ 1.89 -1.89] | 0.23994198159321742
-0.6083130456683123 | [ 2.52 -2.52] | 0.12003241402349374
-0.6364775970710818 | [ 0.42 -0.42] | -0.13158247156860012
-0.6247682412580756 | [ 0.39 -0.39] | -0.10710238760775888
-0.6167138931810342 | [ 0.52 -0.52] | -0.09188206679168583
-0.6111179396476047 | [ 0.56 -0.56] | -0.08642081604198258
-0.6062160675765851 | [ 0.57 -0.57] | -0.08476999035286747
-0.6014164580463269 | [ 0.58 -0.58] | -0.08359890118340743
-0.5966697371523566 | [ 0.59 -0.59] | -0.08238060662382166
-0.5919928516279225 | [ 0.59 -0.59] | -0.08119169526178154
-0.5873842491339004 | [ 0.6 -0.6] | -0.08003496487868403
-0.5828413831103285 | [ 0.6 -0.6] | -0.07890751265080086
-0.5783624085575001 | [ 0.61 -0.61] | -0.07780828588778327
-0.573945562594059 | [ 0.61 -0.61] | -0.07673628116245414
-0.5695891390399671 | [ 0.62 -0.62] | -0.07569051144261606
-0.5652915029187289 | [ 0.62 -0.62] | -0.07467003898794092
-0.5610510862855068 | [ 0.63 -0.63] | -0.07367397072850873
-0.5568663841051397 | [ 0.63 -0.63] | -0.07270145510716344
-0.5527359509094552 | [ 0.64 -0.64] | -0.07175167974946205
-0.5486583976624981 | [ 0.64 -0.64] | -0.07082386922878346
-0.5446323888195929 | [ 0.65 -0.65] | -0.06991728297643528
-0.5406566395785276 | [ 0.65 -0.65] | -0.06903121333493863
-0.5367299133073187 | [ 0.66 -0.66] | -0.06816498374130096
-0.5328510191346796 | [ 0.66 -0.66] | -0.06731794703007542
-0.5290188096909131 | [ 0.67 -0.67] | -0.06648948384706511
-0.5252321789880083 | [ 0.67 -0.67] | -0.06567900116532283
-0.5214900604286782 | [ 0.67 -0.67] | -0.06488593089572729
-0.5177914249349598 | [ 0.68 -0.68] | -0.0641097285851588
-0.5141352791877903 | [ 0.68 -0.68] | -0.06334987219584738
-0.510520663969684 | [ 0.69 -0.69] | -0.06260586095999456
-0.5069466526032892 | [ 0.69 -0.69] | -0.06187721430430256
-0.5034123494791874 | [ 0.69 -0.69] | -0.06116347083942461
-0.49991688866683387 | [ 0.7 -0.7] | -0.060464187409787214
-0.4964594326030214 | [ 0.7 -0.7] | -0.05977893819961934
-0.493039170852689 | [ 0.7 -0.7] | -0.05910731389127993
-0.4896553189373028 | [ 0.71 -0.71] | -0.05844892087237291
-0.4863071172263982 | [ 0.71 -0.71] | -0.057803380488331745
