-2.4, 4.1, -1.3, 0.1, -2.0, -4.5, -1.8, -5.3, 1.4, 5.5, -3.3, -3.0, 0.8, 6.0, 0.0, 0.3, -0.5, 0.7
parameter ends

state | action | reward
[0.05] | [-0.96  0.03] | 0.08885638391931086
0.07731422742266117 | [ -8.42 -22.68] | 0.10491420603543439
0.13927524919402007 | [-11.08 -28.76] | 0.17429882635845706
0.21709124617493994 | [-12.64 -31.74] | 0.28020797086197147
0.3035013486134918 | [-13.35 -32.42] | 0.3973782472248809
0.3935450069705514 | [-13.52 -31.75] | 0.5094518773975593
0.4843824817300353 | [-13.4  -30.39] | 0.6096797121017392
0.574547018915214 | [-13.13 -28.72] | 0.6964792713294417
0.6633208597355306 | [-12.79 -26.93] | 0.7700958593299456
0.7503628554184919 | [-12.4  -25.08] | 0.8311048418399151
0.8355046118276842 | [-11.99 -23.2 ] | 0.8800346319528309
0.9186570668186218 | [-11.56 -21.3 ] | 0.9173593309431327
0.9997713530329234 | [-11.12 -19.39] | 0.9435858440491277
1.0788235468894993 | [-10.66 -17.47] | 0.9593264888039414
1.1558097977430632 | [-10.2  -15.55] | 0.9653355523737964
1.2307458855269606 | [ -9.74 -13.65] | 0.9625137521196299
1.303668552483595 | [ -9.27 -11.77] | 0.9518898712398044
1.3746374341679675 | [-8.82 -9.94] | 0.9345885718799156
1.4437371221666127 | [-8.38 -8.16] | 0.9117918291655343
1.5110792617068476 | [-7.95 -6.44] | 0.8846997313431282
1.5768048087665458 | [-7.54 -4.8 ] | 0.8544948122691594
1.6410867309798396 | [-7.16 -3.25] | 0.8223126394860993
1.704133582990141 | [-6.8  -1.78] | 0.789220036192544
1.76619455646147 | [-6.48 -0.41] | 0.8175070138299892
1.829324362522337 | [-6.94 -1.46] | 0.8616666472327409
1.8841701128660522 | [-1.   12.26] | 0.09299240806666292
1.8833586692007047 | [ 0.93 16.57] | -0.03425968373916634
1.8704323584289908 | [ 2.67 20.3 ] | -0.23151691052921666
1.842736548732999 | [ 4.22 23.59] | -0.4023662341467898
1.8035590408827802 | [ 5.31 25.78] | -0.5267932163262026
1.7568411260527284 | [ 6.01 27.1 ] | -0.6130863858680926
1.7055233955388416 | [ 6.46 27.83] | -0.6730371877969864
1.6514703169351346 | [ 6.76 28.23] | -0.7171965559689989
1.5957032129707363 | [ 6.98 28.48] | -0.7536915267691319
1.5386551586602955 | [ 7.2  28.72] | -0.788505208938973
1.4803578413941818 | [ 7.45 29.04] | -0.8257893005385142
1.4205703687323592 | [ 7.75 29.5 ] | -0.868026829130734
1.3588763728304005 | [ 8.12 30.14] | -0.9162148305019104
1.294762764636099 | [ 8.56 30.96] | -0.9699590904719739
1.2276881615751936 | [ 9.08 31.98] | -1.027496438090342
1.1571450310733744 | [ 9.66 33.15] | -1.0856760514981707
1.0827171845894017 | [10.28 34.43] | -1.140018870476479
1.0041309178482427 | [10.93 35.77] | -1.1849820454223283
0.9212954479389407 | [11.56 37.09] | -1.2145299319844483
0.8343262604721995 | [12.14 38.3 ] | -1.2230092076609609
0.7435449578676095 | [12.63 39.29] | -1.206163419505211
0.6494525911457542 | [13.02 39.99] | -1.1619933686595318
0.5526797823990927 | [13.27 40.33] | -1.0911727729519238
0.4539234457110223 | [13.39 40.27] | -0.9968804704955979
0.35388315765967443 | [13.36 39.82] | -0.8840143383083122
0.2532058202760069 | [13.22 39.02] | -0.7580025925643852
0.1524565355727791 | [12.98 37.91] | -0.6240929235795203
0.05212289388385585 | [12.66 36.55] | -0.4870551483618086
-0.04737245645432778 | [12.26 34.99] | -0.35103280610247617
-0.14565701102295356 | [11.81 33.26] | -0.2195175554935912
-0.2423963392091899 | [11.32 31.41] | -0.09539413846753479
-0.3372869186455158 | [10.79 29.48] | 0.019023406655759523
-0.43005369617911215 | [10.24 27.48] | 0.12205714279161117
-0.5204518658065039 | [ 9.67 25.44] | 0.21268244662861993
-0.6082715703363957 | [ 9.09 23.39] | 0.2905138061710857
-0.6933439113624849 | [ 8.51 21.35] | 0.35576732651092424
-0.7755470179799225 | [ 7.93 19.33] | 0.4091937967052609
