-5.5, -5.1, -5.2, -0.3, -3.2, -0.5, -5.6, -1.0, -1.2, 5.9, -5.5, 5.9, -2.0, -5.5, 0.5, 4.0, 6.0, -3.4
parameter ends

state | action | reward
[0.04] | [ 4.31 -3.72] | 0.02454768992755718
0.004961834202369137 | [  3.12 -35.64] | -0.1910854661320474
-0.07762148328036747 | [  2.72 -52.55] | -0.4307812938785075
-0.17887708000890837 | [  2.96 -56.63] | -0.559579645535483
-0.2809200632649355 | [  3.49 -55.7 ] | -0.6241790851246214
-0.37831936446705405 | [  4.09 -53.53] | -0.6721331000640576
-0.4692745648011725 | [  4.6  -50.87] | -0.7290873199360416
-0.5517870467285073 | [  5.01 -47.69] | -0.8071036327243932
-0.6235996135584401 | [  5.33 -43.96] | -0.9329964373125619
-0.6791310898851147 | [  5.17 -27.24] | -1.2649597596379747
-0.6307077199965577 | [4.96 6.88] | -0.2517511503685673
-0.6051381158514967 | [5.11 7.28] | 0.07162868512490633
-0.5986619839715976 | [5.17 7.74] | 0.34360638566582014
-0.6059581793441032 | [5.21 8.83] | 0.5983500402233761
-0.625398644226619 | [5.29 9.93] | 0.839712639694772
-0.656512258999258 | [ 5.43 10.93] | 1.0610544781357707
-0.6986929209574781 | [ 5.63 11.76] | 1.2527896809221182
-0.7508826971798496 | [ 5.87 12.36] | 1.4049366668980041
-0.8115420193176291 | [ 6.15 12.61] | 1.5089055498440282
-0.8787224268564746 | [ 6.45 12.43] | 1.56093243009597
-0.9502284480161022 | [ 6.73 11.85] | 1.5653861963699858
-1.023869427343722 | [ 6.95 11.01] | 1.5340607771856611
-1.0978233516194837 | [ 7.1  10.08] | 1.4798741295540077
-1.170850408488246 | [7.21 9.19] | 1.4129122469643676
-1.2422638007265419 | [7.29 8.38] | 1.3400199860785444
-1.311797730710351 | [7.36 7.63] | 1.2649748910709704
-1.3794631199098806 | [7.44 6.92] | 1.1888749872427458
-1.445408287286099 | [7.54 6.23] | 1.1109069760472603
-1.5098011330058232 | [7.66 5.55] | 1.0293797722407032
-1.5727505933591936 | [7.82 4.9 ] | 0.9426399661529288
