-2.2, 2.0, -6.0, 4.4, -3.0, -2.8, 0.0, 4.9, 6.0, 5.6, 5.6, -1.7, 2.4, -1.8, 1.1, 0.8, -0.8, 4.5
parameter ends

state | action | reward
[0.1] | [-0.19  4.27] | -0.06510152510519567
0.11736586543193013 | [-2.7   3.77] | -0.015180980554074743
0.17585483100723395 | [-6.96  0.16] | 0.020934210456317527
0.264463264965337 | [-7.69 -2.56] | 0.12866783331602072
0.35828570924712816 | [-6.8  -4.46] | 0.3426172485894411
0.45410048354277055 | [-6.11 -5.49] | 0.5963878855672902
0.5531031651477933 | [-5.27 -5.88] | 0.8537918881330898
0.6543783068308542 | [-4.06 -5.7 ] | 1.0847348260008665
0.7564142336650468 | [-2.49 -5.09] | 1.2749290262945627
0.8578749727152235 | [-0.66 -4.2 ] | 1.3799673708410771
0.9539588721508846 | [ 1.53 -3.23] | 1.1898260488805077
1.0236088222682571 | [ 4.24 -3.22] | 0.7117649349365502
1.0538992795888824 | [ 6.16 -3.46] | 0.09608589879234616
1.045301535074179 | [ 7.46 -3.7 ] | -0.6229319023760965
0.996167346224595 | [ 8.65 -3.45] | -1.2978605309239106
0.9104238309100486 | [10.14 -2.15] | -1.7965101244631514
0.7972108536162664 | [11.88  0.31] | -1.8673906586592772
0.6763617017310819 | [12.3   4.88] | -1.570781230326849
0.5636030411336612 | [11.96  9.12] | -1.2431315691895233
0.4583014513366167 | [11.77 12.59] | -0.9696422310518786
0.3557800643171148 | [11.63 15.77] | -0.7207414581145762
0.2535011407443146 | [11.29 18.67] | -0.481259210941366
0.15042094908845105 | [10.64 21.28] | -0.2441625637413492
0.04636880862221289 | [ 9.68 23.59] | -0.008391228676021115
-0.05846431304642784 | [ 8.49 25.6 ] | 0.22460137623454704
-0.16379032592878512 | [ 7.09 27.34] | 0.4525055744380754
-0.26930922453788864 | [ 5.54 28.79] | 0.6726176147752347
-0.3747230257479033 | [ 3.85 29.95] | 0.8818526584355789
-0.47972682351470497 | [ 2.03 30.81] | 1.0762178430825862
-0.5839956906093955 | [ 0.11 31.34] | 1.1963058447807735
-0.677643591951166 | [-2.53 29.96] | 1.1463626371150943
-0.7429610371947251 | [-5.43 26.34] | 0.9122669508443421
-0.7721112946183651 | [-7.76 21.64] | 0.5271531510168854
-0.7644528864508989 | [-9.83 15.33] | 0.038066479592795126
-0.7180419491655816 | [-11.92   8.02] | -0.4374196946093367
-0.6353362564143819 | [-14.16   0.75] | -0.7691343240375792
-0.5253636606947293 | [-16.14  -5.28] | -0.7515114192375674
-0.4114458837932373 | [-15.63  -7.48] | -0.5159025945619684
-0.3049885206680581 | [-15.12  -8.51] | -0.28120078673443716
-0.2023233935671492 | [-14.59  -9.08] | -0.04417729622941634
-0.10106535076648963 | [-13.94  -9.38] | 0.18890549243996027
0.00030387961121042945 | [-13.07  -9.43] | 0.41564941051031545
0.10231552821082858 | [-11.94  -9.2 ] | 0.6335013210650305
0.20487453722059112 | [-10.57  -8.72] | 0.8389575984580249
0.30762458351143196 | [-9.   -8.02] | 1.0282854311417162
0.4101472995583136 | [-7.26 -7.14] | 1.1979143825188132
0.5120319993954883 | [-5.4  -6.12] | 1.3444641609662515
0.612883742070705 | [-3.45 -5.  ] | 1.4646722399314072
0.7123342194542466 | [-1.47 -3.8 ] | 1.555727570968471
0.8100779989699379 | [ 0.52 -2.57] | 1.4071065527214053
0.8865214205779547 | [ 3.67 -1.73] | 0.9125943335900217
0.9217296012672166 | [ 6.21 -1.59] | 0.21821847645537448
0.911946187670822 | [ 8.   -1.47] | -0.5545331019893276
0.8574391138184653 | [ 9.6  -0.75] | -1.1946321789306495
0.7667080186571956 | [11.09  1.4 ] | -1.3139158433071603
0.6652125903249297 | [11.01  6.43] | -1.105120023684329
0.5664056755136192 | [11.05 10.2 ] | -0.9015353416489729
0.46794954443713094 | [11.1  13.57] | -0.691181564781522
0.36868508179771003 | [11.   16.65] | -0.47834755245169036
0.26804219865758927 | [10.61 19.38] | -0.2635998671637553
0.1661135224690402 | [ 9.9  21.76] | -0.04815735235243256
0.06334329206582631 | [ 8.89 23.76] | 0.16502902960327037
-0.03975276623322544 | [ 7.63 25.41] | 0.37235557339036374
-0.14270140100260403 | [ 6.18 26.72] | 0.5701497777386876
-0.24508101081603734 | [ 4.58 27.69] | 0.7546844088905151
-0.34649572635259523 | [ 2.86 28.33] | 0.9216385268913092
-0.446572208660731 | [ 1.05 28.61] | 1.066073720193905
-0.54498413713034 | [-0.81 28.53] | 1.0623558147036762
-0.6193026645720123 | [-4.55 24.36] | 0.823592132881579
-0.6507913272368475 | [-7.71 18.69] | 0.4099700458351465
-0.6387586855306729 | [-10.43  11.46] | -0.08532921925637277
-0.5831521110175707 | [-13.02   3.65] | -0.5111262945737975
-0.49049994576376216 | [-15.49  -3.37] | -0.5829167994135784
-0.3866587822752437 | [-15.05  -6.14] | -0.39321031183479743
-0.2865396784619873 | [-14.72  -7.62] | -0.1908250894585144
-0.18738643447443734 | [-14.38  -8.53] | 0.027035673260151917
-0.08780932881611239 | [-13.91  -9.07] | 0.250369772782617
0.012959026668580648 | [-13.16  -9.28] | 0.4723107770792447
0.11497289624179984 | [-12.09  -9.16] | 0.6880109469217182
