-4.9, -5.1, -3.1, -5.3, -0.9, -6.0, -0.4, 3.0, 0.1, 5.9, -5.5, 5.9, -2.0, -5.5, 0.3, 4.2, 6.0, -3.5
parameter ends

state | action | reward
[-0.09] | [ 6.45 -1.45] | 0.15427664508827146
-0.12755107873230645 | [  7.61 -33.69] | 0.11913251397184037
-0.21120324093447665 | [  8.22 -50.6 ] | -0.026185683214353384
-0.31513966622838296 | [  8.28 -54.86] | -0.12255951851561936
-0.4213406927034821 | [  8.11 -54.23] | -0.18847968857485087
-0.5235713998372573 | [  7.84 -52.27] | -0.25942943753771286
-0.619318952713581 | [  7.4 -49.8] | -0.35572923416144364
-0.7062486090663119 | [  6.71 -46.87] | -0.4845568685672049
-0.7819808639199963 | [  5.79 -43.51] | -0.5587970979905574
-0.8472627153435252 | [  8.49 -29.87] | -0.1613847849049772
-0.8591981338832098 | [3.38 9.1 ] | -0.20940429663269383
-0.8357088699875335 | [ 5.33 10.42] | 0.1674287714362739
-0.8318214439619732 | [ 7.32 11.15] | 0.48744467690991505
-0.8429359762118045 | [ 9.07 12.5 ] | 0.7704527611763178
-0.866503594860604 | [10.77 13.8 ] | 1.0277667314748824
-0.9016561751992237 | [12.43 14.8 ] | 1.2529055487631138
-0.9475668891562422 | [13.98 15.41] | 1.434614548995906
-1.002987652202935 | [15.36 15.5 ] | 1.5619974984557348
-1.06621344768762 | [16.5  14.95] | 1.6280008608838363
-1.1351825094206924 | [17.33 13.71] | 1.6338298187118487
-1.2076572497937028 | [17.85 11.91] | 1.5908695978408327
-1.2815386929232266 | [18.11  9.79] | 1.5158356237322468
-1.3552066350717047 | [18.17  7.57] | 1.4231461880393559
-1.4276364422714136 | [18.13  5.4 ] | 1.322848461803963
-1.4983127286119589 | [18.05  3.34] | 1.2209706966244185
-1.5670882247188114 | [17.96  1.36] | 1.1201416276800058
-1.6340404745392614 | [17.88 -0.56] | 0.935820411921215
-1.6910287983924384 | [15.29 -5.09] | 0.7122234904008792
-1.7311114937631884 | [12.86 -8.4 ] | 0.5469900757938093
-1.7566540225875098 | [ 10.91 -10.72] | 0.42178973224931005
-1.7698241687030767 | [  9.13 -12.63] | 0.2985233049692335
-1.7714259473585354 | [  7.42 -13.94] | 0.15105219871399145
-1.761642341703505 | [  5.75 -14.65] | -0.02866932856617982
-1.740662854470129 | [  4.13 -14.97] | -0.23764591864404788
-1.708999999306452 | [  2.62 -15.12] | -0.46888478337474526
-1.6674875210488127 | [  1.23 -15.26] | -0.7131921323267127
-1.6172369090280017 | [ 9.32e-03 -1.55e+01] | -0.9645084825225624
-1.559246568879949 | [ -1.02 -15.56] | -1.282658993178849
-1.4896581954750643 | [ -2.21 -10.96] | -1.5974337763823148
-1.4065709988696302 | [-2.99 -7.78] | -1.8179652906656085
-1.3141673208268287 | [-3.46 -5.42] | -1.9529368842755064
-1.2154148649036098 | [-3.7  -3.46] | -2.0127745679800992
-1.112358743361831 | [-3.76 -1.64] | -2.0084054860933263
-1.0063771014735488 | [-3.71  0.21] | -1.8090065525884587
-0.9018121297175965 | [-1.75  9.28] | -1.4309274001841454
-0.80111317821338 | [ 0.65 21.51] | -0.9443274393027037
-0.7208523436531733 | [ 4.34 21.24] | -0.42420805943212
-0.6763282682002695 | [ 7.62 18.93] | -0.027682137160068863
-0.6646351935825421 | [10.38 16.54] | 0.2710259631491233
-0.6807458414009017 | [12.69 13.81] | 0.49521054084640787
-0.7185716240440282 | [14.35 11.12] | 0.6513443699824357
-0.7710472149322799 | [15.36  8.57] | 0.7589709664292158
-0.8325049518580223 | [15.91  6.07] | 0.8403724928044288
-0.8993446380202309 | [16.18  3.63] | 0.909141010318091
-0.9694892589508594 | [16.3   1.32] | 0.969593071287943
-1.0417043291823502 | [16.35 -0.8 ] | 1.2086458113608916
-1.124018292912013 | [ 14.46 -22.78] | 1.5497463604418638
-1.2216889002973876 | [ 12.47 -41.15] | 1.5941235723768814
-1.324291490548796 | [ 10.27 -52.76] | 1.3129613378013534
-1.4196400441485486 | [  8.26 -56.79] | 0.4653231728243535
-1.4713165071471355 | [  1.97 -12.79] | -0.9639193639319286
-1.412903037372178 | [-0.67 -7.1 ] | -1.2500787181891353
-1.3434746188547864 | [-1.85 -8.29] | -1.5134036213507835
-1.263601980653095 | [-2.87 -6.17] | -1.7198276285036411
-1.173622173722967 | [-3.43 -4.13] | -1.8289854393599552
-1.0768476219046201 | [-3.69 -2.16] | -1.8564709605306353
-0.9755721044326892 | [-3.75 -0.17] | -1.71392267558396
-0.8740655233342418 | [-2.51  5.92] | -1.3478323497341949
-0.776829358152396 | [-0.19 16.72] | -0.8989657214443999
-0.6914278566664399 | [ 2.38 21.36] | -0.41697697406100304
-0.6353897812225936 | [ 5.95 18.11] | 0.04162498330870352
-0.6162795923812364 | [ 8.93 15.31] | 0.4040920014216303
-0.6293059363161582 | [11.65 12.48] | 0.7088701444398186
-0.6693535483378056 | [13.88 10.21] | 0.945948428269463
-0.72851354955497 | [15.46  8.71] | 1.1113556567653
-0.7990671992893416 | [16.46  7.66] | 1.2128174453755394
-0.8753400521657999 | [17.03  6.63] | 1.2671302417799886
-0.9539117160558561 | [17.32  5.36] | 1.2929492872621995
-1.0330506261020573 | [17.43  3.82] | 1.3038181966581766
-1.1120143733780765 | [17.46  2.1 ] | 1.3069576895921506
-1.1905431788464234 | [17.46  0.29] | 1.3580666088148936
-1.2709688858987431 | [16.65 -8.67] | 1.580191583437985
-1.3601172267116683 | [ 14.49 -29.11] | 1.7682544313043793
-1.4583745482481736 | [ 12.31 -45.  ] | 1.6580075098468234
-1.5561176457801034 | [ 10.04 -54.11] | 0.23999671393118133
-1.575468375602596 | [ 3.08 -3.53] | -0.637154107825562
-1.5257587405489252 | [ 1.25 -8.06] | -0.8123540210465253
-1.4731720048249006 | [ -0.02 -12.56] | -1.033686093614445
-1.4158893485939124 | [ -1.02 -14.01] | -1.3331692185586959
-1.3473035346795708 | [-2.27 -9.59] | -1.6209709289059422
-1.2645409391976064 | [-3.05 -6.31] | -1.8000844423155449
-1.1722638920148485 | [-3.47 -3.72] | -1.8850830501605291
-1.0737783519177988 | [-3.63 -1.46] | -1.8930448623001455
-0.9712760385866605 | [-3.61  0.69] | -1.6339969615023036
-0.8715204327684472 | [-1.23 10.8 ] | -1.221216249592026
-0.7765886333651941 | [ 0.72 20.78] | -0.7396428832044436
