-1.9, -4.1, 4.3, 1.5, 4.4, 1.2, -5.3, -1.4, -0.6, -0.2, 2.6, 1.5, 2.7, -0.7, 0.5, 2.0, 9.1, 0.3
parameter ends

state | action | reward
[0.02] | [ 8.73 -0.13] | 0.054008091182638863
-0.0065149613814998 | [10.46 -7.05] | -0.008354035753490842
-0.08201707340345793 | [ 12.72 -15.44] | -0.08769752058993799
-0.18431731294901038 | [ 13.98 -18.04] | -0.1608511930852946
-0.29061670758549524 | [ 14.76 -17.72] | -0.2286308733836489
-0.39268974745740576 | [ 15.37 -16.49] | -0.29886302242662
-0.4880412842017847 | [ 16.03 -14.94] | -0.386405120061595
-0.5747376019082305 | [ 16.87 -13.18] | -0.5026821761982415
-0.6506275102661792 | [ 17.91 -11.23] | -0.6467059062755024
-0.7139503115300344 | [19.08 -9.17] | -1.0367010668109147
-0.6929909741266246 | [14.03  5.9 ] | -0.2682331813633635
-0.6682528068971215 | [11.43  6.41] | 0.07254427741977089
-0.6615916515627397 | [9.62 6.52] | 0.3642583906684746
-0.669078672777479 | [7.98 6.85] | 0.6343027685882144
-0.6888318579427269 | [6.5  7.27] | 0.887899733741231
-0.720265966080467 | [5.25 7.77] | 1.1182262251608126
-0.762741674473342 | [4.31 8.35] | 1.3149553623886312
-0.8151864602146728 | [3.76 9.01] | 1.467359413655518
-0.8760514599316619 | [3.66 9.7 ] | 1.5664210018052764
-0.9433829018604936 | [ 4.04 10.36] | 1.6086875858383973
-1.014983779770321 | [ 4.86 10.97] | 1.5998631181035348
-1.088668926223398 | [ 6.02 11.52] | 1.553484378891835
-1.1626287459099829 | [ 7.39 12.01] | 1.483859970598428
-1.2356373044289068 | [ 8.87 12.48] | 1.401868008875046
-1.3070191617275093 | [10.38 12.94] | 1.3146751591066301
-1.37651661509744 | [11.86 13.36] | 1.2261285007343299
-1.4441455446180587 | [13.3  13.76] | 1.1372923186493338
-1.5100563990090856 | [14.69 14.11] | 1.0472953007806056
-1.574417036869952 | [16.03 14.44] | 0.9543928431345261
-1.6373350662733563 | [17.35 14.73] | 0.8568827136679509
-1.6988224863015862 | [18.66 15.02] | 0.7536542554897355
-1.7587924218933928 | [19.97 15.31] | 0.6443807073855291
-1.8170745971106035 | [21.29 15.61] | 0.5294753420390909
-1.873439215240883 | [22.62 15.94] | 0.4099983960552982
-1.9276245749195327 | [23.96 16.3 ] | 0.3427563719645183
-1.9751712429951302 | [23.99 11.56] | 0.38496608849844616
-2.001582044584917 | [24.39 11.15] | 0.3215651696395121
-2.0256133818471787 | [24.76 11.77] | 0.28385130787060475
-2.0498357759265238 | [25.06 12.09] | 0.2522664618058662
-2.0732408809995024 | [25.33 12.3 ] | 0.22374091803373203
-2.0955283097176856 | [25.57 12.47] | 0.19832890368701053
-2.116743116425569 | [25.79 12.62] | 0.17562648026411692
-2.1369825657465014 | [25.98 12.76] | 0.1551960029467107
-2.1563343251561315 | [26.16 12.9 ] | 0.13670604293386807
-2.174873331054864 | [26.33 13.02] | 0.11990212859153752
-2.192664817313159 | [26.48 13.14] | 0.10457693207852942
-2.209766338430948 | [26.62 13.25] | 0.09055609032045772
-2.2262290342287643 | [26.76 13.36] | 0.07769104444151322
-2.242098564771428 | [26.88 13.46] | 0.06585435296527213
-2.2574158670177322 | [26.99 13.56] | 0.054936109770864563
-2.2722177841007163 | [27.1  13.65] | 0.044841073391264766
-2.286537593362248 | [27.2  13.74] | 0.03548633680773457
-2.3004054520058363 | [27.29 13.82] | 0.026799423485938778
-2.3138487752587467 | [27.38 13.9 ] | 0.018716722354597426
-2.3268925589320864 | [27.46 13.98] | 0.011182193867777676
-2.3395596559069594 | [27.54 14.05] | 0.004146294224950942
-2.351871014224778 | [27.62 14.12] | -0.0024349237493442727
-2.363845883007425 | [27.69 14.19] | -0.008600565816160352
-2.375501991286146 | [27.76 14.25] | -0.014385533639706488
-2.386855703906496 | [27.82 14.32] | -0.01982106500902306
-2.3979221579474763 | [27.88 14.38] | -0.024935193687981985
-2.408715382506032 | [27.94 14.44] | -0.02975314241806025
-2.4192484042229645 | [28.  14.5] | -0.03429766006952989
-2.4295333405395443 | [28.05 14.55] | -0.03858931192581434
-2.43958148235769 | [28.1  14.61] | -0.04264673047847152
-2.449403367516372 | [28.15 14.66] | -0.04648683281804286
-2.45900884628198 | [28.2  14.71] | -0.050125009662411096
-2.468407139872005 | [28.24 14.76] | -0.05357529021705451
